序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2801,688030,山石网科,20.0,-0.74,-0.15,24458.0,49175372.0,3.33,20.51,19.84,20.3,20.15,1.03,1.36,-23.54,4.35,3604653160.0,3604653160.0,-0.2,-0.5,27.06,29.03
2802,603488,展鹏科技,8.1,-0.74,-0.06,31913.0,25901261.0,2.08,8.23,8.06,8.22,8.16,0.76,1.09,-32.64,2.5,2365122564.0,2365122564.0,0.0,-0.12,1.0,4.25
2803,603198,迎驾贡酒,42.7,-0.74,-0.32,87115.0,368587569.0,2.63,43.02,41.89,42.99,43.02,1.17,1.09,15.11,3.49,34160000000.0,34160000000.0,-0.21,-0.12,9.99,-18.57
2804,301337,亚华电子,28.18,-0.74,-0.21,12632.0,35866737.44,2.96,28.9,28.06,28.51,28.39,0.89,3.42,-311.02,2.68,2936356000.0,1042259140.0,0.11,0.14,-2.32,-3.16
2805,600827,百联股份,9.41,-0.74,-0.07,132597.0,124511958.0,1.58,9.48,9.33,9.46,9.48,0.98,0.83,26.82,0.84,16789021981.0,15097873747.0,0.0,0.0,5.85,-11.81
2806,688084,晶品特装,87.0,-0.74,-0.65,30506.0,268844610.0,5.15,90.01,85.5,87.82,87.65,1.47,8.64,-435.69,4.24,6582338742.0,3073328157.0,-0.02,-0.01,15.55,54.53
2807,002161,远 望 谷,7.98,-0.75,-0.06,181215.0,144774674.08,2.11,8.09,7.92,8.04,8.04,0.62,2.57,41.04,3.69,5903264052.0,5623846124.0,0.0,-0.13,21.65,43.53
2808,600694,大商股份,18.48,-0.75,-0.14,42790.0,79059206.0,1.29,18.64,18.4,18.58,18.62,0.67,1.24,8.37,0.73,6426749461.0,6363732661.0,0.0,0.05,-2.17,-19.86
2809,688184,ST帕瓦,10.56,-0.75,-0.08,14016.0,14892730.0,1.6,10.72,10.55,10.7,10.64,0.7,1.39,-5.3,1.02,1679541748.0,1061148148.0,0.0,-0.19,6.77,-22.98
2810,605339,南侨食品,17.24,-0.75,-0.13,7713.0,13282782.0,1.27,17.37,17.15,17.35,17.37,0.76,0.18,101.7,2.14,7314770220.0,7314770220.0,0.0,0.0,4.8,2.31
2811,600479,千金药业,10.53,-0.75,-0.08,61523.0,64666874.0,1.98,10.65,10.44,10.59,10.61,0.59,1.47,17.25,1.8,4406879942.0,4406879942.0,0.0,0.0,4.99,2.03
2812,002316,亚联发展,5.29,-0.75,-0.04,218997.0,114269080.0,4.13,5.35,5.13,5.29,5.33,0.86,6.43,168.29,27.05,2079604800.0,1802554275.0,-0.19,-0.19,6.01,62.77
2813,300864,南大环境,19.8,-0.75,-0.15,10360.0,20586935.72,1.65,20.1,19.77,19.91,19.95,0.83,0.66,18.73,2.43,3123664612.0,3123664612.0,-0.1,-0.4,-0.25,-1.59
2814,603006,联明股份,14.63,-0.75,-0.11,47474.0,69570774.0,2.65,14.92,14.53,14.92,14.74,0.42,1.87,53.08,2.7,3719739678.0,3719739678.0,-0.14,0.0,22.02,45.57
2815,688046,药康生物,18.57,-0.75,-0.14,24557.0,45695977.0,3.31,19.0,18.38,18.62,18.71,0.45,0.6,53.69,3.51,7613700000.0,7613700000.0,-0.16,-0.11,39.52,45.76
2816,002810,山东赫达,13.3,-0.75,-0.1,38677.0,51541970.95,2.09,13.49,13.21,13.36,13.4,0.7,1.21,20.46,2.07,4630220943.0,4256134237.0,0.15,0.23,12.33,5.56
2817,002375,亚厦股份,3.95,-0.75,-0.03,212080.0,83132280.72,3.27,3.99,3.86,3.98,3.98,1.21,1.6,17.3,0.65,5292986167.0,5240835107.0,0.25,0.0,2.6,4.22
