序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920046,亿能电力,24.51,29.96,5.65,231032.0,496767828.61,38.6,24.51,17.23,17.23,18.86,1.34,36.06,151.98,9.94,2479186500.0,1570534304.0,0.0,0.0,71.04,82.23
2,300444,双杰电气,14.82,20.0,2.47,2433798.0,3440787121.74,20.16,14.82,12.33,12.33,12.35,1.39,39.16,70.97,6.65,11835623834.0,9209840079.0,0.0,0.0,80.51,53.89
3,688308,欧科亿,39.78,20.0,6.63,76419.0,294537830.0,9.95,39.78,36.48,36.48,33.15,1.65,4.81,92.66,2.45,6316336344.0,6316336344.0,0.0,0.0,46.04,25.73
4,300279,和晶科技,9.61,19.98,1.6,1032870.0,927961415.37,16.73,9.61,8.27,8.31,8.01,5.01,21.21,53.83,4.54,4700246099.0,4679533781.0,0.0,0.0,29.86,33.1
5,300658,延江股份,17.78,19.97,2.96,767148.0,1279518774.92,24.9,17.78,14.09,17.77,14.82,3.58,34.02,104.41,4.41,5916545787.0,4009639169.0,0.0,0.0,107.23,19.97
6,300111,向日葵,4.88,19.9,0.81,2527337.0,1130365820.77,21.87,4.88,3.99,4.07,4.07,1.65,19.63,3606.89,9.13,6281588284.0,6281588284.0,0.0,0.0,-39.45,-20.39
7,688610,埃科光电,91.25,18.54,14.27,57967.0,517963628.0,8.94,91.88,85.0,85.0,76.98,2.55,14.16,82.29,4.15,6205000000.0,3735096830.0,0.05,-0.04,25.69,47.63
8,920299,灿能电力,28.1,17.72,4.23,145113.0,375938206.08,21.7,28.18,23.0,23.18,23.87,1.24,32.93,119.81,9.03,2532070656.0,1238220599.0,0.25,4.07,57.87,39.73
9,300855,图南股份,39.2,17.08,5.72,274244.0,1034629268.21,20.55,40.18,33.3,33.48,33.48,3.32,9.36,94.27,7.87,15504834800.0,11483880610.0,-0.23,-0.51,40.8,21.36
10,300215,电科院,9.52,16.67,1.36,1640137.0,1514516058.17,19.49,9.79,8.2,8.21,8.16,3.98,32.81,-230.36,3.64,7131376660.0,4758766170.0,0.0,0.74,56.32,49.69
11,301005,超捷股份,219.52,16.15,30.52,209435.0,4400541495.98,18.7,225.0,189.66,189.66,189.0,1.07,15.82,777.56,38.32,29472977135.0,29057991039.0,0.0,0.28,399.36,41.38
12,301128,强瑞技术,113.68,16.0,15.68,132973.0,1470624417.09,15.91,116.0,100.41,100.41,98.0,2.64,15.07,76.08,13.21,11759203574.0,10030140550.0,0.02,-0.1,36.83,12.65
13,300427,红相股份,17.99,15.17,2.37,2060319.0,3563233678.43,16.33,18.48,15.93,15.93,15.62,1.15,40.96,110.15,7.15,9148280161.0,9049057935.0,0.0,-0.06,202.86,46.86
14,688510,航亚科技,35.79,15.01,4.67,242892.0,845701787.0,19.96,37.34,31.13,31.2,31.12,1.9,9.36,89.46,7.76,9288314140.0,9288314140.0,0.31,0.56,51.14,33.05
15,301468,博盈特焊,70.52,14.95,9.17,148344.0,1020088744.41,16.82,72.88,62.56,63.35,61.35,1.16,19.78,165.36,4.01,9175630606.0,5289183775.0,0.23,0.57,105.78,34.89
16,300863,卡倍亿,56.56,14.33,7.09,138250.0,777627980.75,17.44,58.47,49.84,49.84,49.47,2.79,7.64,58.04,7.45,10643225284.0,10229941251.0,0.0,-0.02,14.8,12.22
17,300257,开山股份,18.61,14.24,2.32,481082.0,893753246.32,15.04,19.5,17.05,17.05,16.29,2.8,5.04,45.61,2.8,18491547685.0,17766784622.0,0.0,-0.27,13.48,32.46
18,920706,铁拓机械,32.98,13.1,3.82,103057.0,322948069.29,17.39,33.95,28.88,29.3,29.16,1.52,24.34,54.31,5.21,3047524980.0,1396599773.0,-0.03,0.92,33.47,31.92
19,300291,百纳千成,10.13,12.81,1.15,1323934.0,1304826955.38,14.37,10.29,9.0,9.04,8.98,0.92,14.22,-105.96,3.12,9541342165.0,9428585064.0,0.0,-0.2,62.34,35.25
20,300129,泰胜风能,16.23,12.63,1.82,1760098.0,2790975528.74,15.75,16.87,14.6,14.67,14.41,1.04,24.49,62.32,3.12,17996688166.0,11664666319.0,0.12,0.19,101.36,55.16
21,301225,恒勃股份,173.0,12.19,18.8,37476.0,624140229.18,16.56,176.86,151.32,154.21,154.2,1.62,12.54,142.43,11.66,17884740000.0,5169586000.0,0.01,-0.44,93.12,4.53
22,301081,严牌股份,11.93,11.39,1.22,201379.0,237989533.95,15.03,12.34,10.73,10.8,10.71,6.18,9.24,143.59,2.52,2710446634.0,2600356952.0,-0.17,0.17,9.55,17.77
23,300461,田中精机,22.75,11.3,2.31,158068.0,345480407.94,19.91,23.99,19.92,20.23,20.44,4.71,11.0,567.61,6.72,3573039743.0,3269249097.0,-0.04,-0.44,19.11,19.23
24,688411,海博思创,278.5,11.07,27.76,77040.0,2037622925.0,16.87,287.3,245.0,250.2,250.74,1.29,20.31,60.42,11.19,50155759022.0,10564494789.0,-0.01,0.5,-5.7,11.38
25,300490,华自科技,14.53,11.0,1.44,951365.0,1364117056.34,18.26,15.2,12.81,12.81,13.09,1.97,24.19,-23.07,2.63,5792684893.0,5713960452.0,-0.14,-0.82,27.23,21.18
26,301138,华研精机,46.95,10.55,4.48,107053.0,497737656.94,13.56,48.86,43.1,44.0,42.47,2.13,15.61,59.72,5.05,5634000000.0,3218898573.0,-0.02,0.69,28.7,22.58
27,920914,远航精密,33.99,10.18,3.14,84315.0,277866787.99,9.53,34.0,31.06,31.06,30.85,1.38,8.44,62.18,3.56,3399000000.0,3396323288.0,0.09,0.06,12.96,28.75
28,002498,汉缆股份,4.8,10.09,0.44,313913.0,150678340.8,0.0,4.8,4.8,4.8,4.36,0.47,0.94,25.28,1.86,15968620800.0,15968620800.0,0.0,0.0,28.34,25.33
29,002358,森源电气,7.1,10.08,0.65,160346.0,113845581.9,0.0,7.1,7.1,7.1,6.45,0.32,1.72,34.45,1.97,6601274537.0,6601265484.0,0.0,0.0,38.94,31.0
30,000949,新乡化纤,6.78,10.06,0.62,735365.0,483029050.72,10.55,6.78,6.13,6.16,6.16,1.22,4.33,64.9,1.74,11528236871.0,11525015293.0,0.0,0.0,54.79,23.27
31,603001,奥康国际,9.41,10.06,0.86,247321.0,222525973.0,12.05,9.41,8.38,8.55,8.55,2.51,6.17,-13.51,1.59,3773221800.0,3773221800.0,0.0,0.0,11.76,5.14
32,000803,山高环能,9.3,10.06,0.85,286043.0,254746045.92,12.78,9.3,8.22,8.38,8.45,0.85,6.22,61.82,2.95,4336554223.0,4276026354.0,0.0,0.0,38.19,30.07
33,002426,胜利精密,4.49,10.05,0.41,2803678.0,1206813129.24,12.5,4.49,3.98,4.08,4.08,0.92,8.24,-156.76,6.33,15277790363.0,15277673511.0,0.0,0.0,34.83,17.23
34,002606,大连电瓷,10.84,10.05,0.99,381273.0,400667493.58,10.15,10.84,9.84,9.85,9.85,1.33,9.05,30.94,2.62,4759553705.0,4565179876.0,0.0,0.0,20.85,24.03
35,002546,新联电子,9.09,10.05,0.83,1842551.0,1594692602.29,12.59,9.09,8.05,8.05,8.26,2.08,23.0,10.63,2.02,7581506283.0,7283199753.0,0.0,0.0,31.36,30.04
36,002319,乐通股份,12.93,10.04,1.18,110289.0,137490609.96,10.55,12.93,11.69,11.82,11.75,1.51,5.51,-4314.82,14.91,2708479554.0,2586000000.0,0.0,0.0,5.55,7.39
37,002339,积成电子,11.4,10.04,1.04,670840.0,752062283.19,6.95,11.4,10.68,10.77,10.36,1.49,14.01,-56.6,3.33,5746651924.0,5458247086.0,0.0,0.0,38.18,29.25
38,601179,中国西电,14.36,10.04,1.31,4502275.0,6363439443.0,10.8,14.36,12.95,12.96,13.05,0.83,8.78,58.82,3.25,73607670575.0,73607670575.0,0.0,0.0,104.56,57.8
39,600537,亿晶光电,3.07,10.04,0.28,2897241.0,827712370.0,16.49,3.07,2.61,2.61,2.79,4.38,24.48,-12.75,16.17,3634005105.0,3634005105.0,0.0,0.0,-20.26,-26.2
40,601616,广电电气,5.04,10.04,0.46,1308783.0,650528949.0,7.86,5.04,4.68,4.8,4.58,2.19,15.33,-421.51,1.77,4302523608.0,4302523608.0,0.0,0.0,19.15,30.57
41,601968,宝钢包装,6.14,10.04,0.56,336387.0,198129635.0,10.57,6.14,5.55,5.57,5.58,1.86,2.64,33.43,1.74,7833285884.0,7833285884.0,0.0,0.0,14.34,14.98
42,600189,泉阳泉,8.11,10.04,0.74,327989.0,263249082.0,6.24,8.11,7.65,7.65,7.37,1.55,4.59,176.31,4.69,5800254255.0,5800254255.0,0.0,0.0,13.43,17.37
