,序号,股票代码,股票简称,纳入时间,行业,行业2,行业3,价格,pe,pettm,pb,股息率,市值,净利同增,上季利增,营收同增,上季营增
0,1,600313.SH,农发种业,2018-12-26,农林牧渔,种植业,种子,8.25,204.35,179.09,4.03,,95.81,11.95,14.13,21.66,47.86
1,2,000713.SZ,国投丰乐,1997-04-22,农林牧渔,种植业,种子,6.94,79.32,110.4,1.86,0.22,55.4,-27.67,-25.44,-11.33,-13.42
2,3,000998.SZ,隆平高科,2000-12-11,农林牧渔,种植业,种子,10.12,130.6,,2.59,0.4,148.71,-39.62,-247.26,-1.39,-16.11
3,4,300087.SZ,荃银高科,2010-06-03,农林牧渔,种植业,种子,8.69,84.76,320.88,4.73,0.58,82.32,-113.45,-85.85,-5.9,1.81
4,5,300189.SZ,神农种业,2011-03-24,农林牧渔,种植业,种子,8.0,,,11.22,,81.92,126.67,6.69,29.36,38.66
5,6,600371.SH,万向德农,2011-10-10,农林牧渔,种植业,种子,9.45,52.54,136.81,5.03,1.59,27.65,-62.63,-39.33,-44.1,-24.39
6,7,600354.SH,敦煌种业,2007-07-03,农林牧渔,种植业,种子,7.15,75.66,54.6,5.48,,37.74,106.98,73.43,14.46,21.63
7,8,002041.SZ,登海种业,2005-04-18,农林牧渔,种植业,种子,11.37,176.7,192.28,2.76,0.26,100.06,-7.84,-33.42,-11.17,-9.41
8,1,601118.SH,海南橡胶,2011-01-17,农林牧渔,种植业,其他种植业,7.03,290.98,104.2,3.1,0.16,300.84,40.24,40.62,3.23,18.99
9,2,603336.SH,宏辉果蔬,2016-12-01,农林牧渔,种植业,其他种植业,9.23,306.98,581.22,3.94,0.05,56.18,-44.48,-44.82,-3.18,7.86
10,3,002215.SZ,诺普信,2025-05-13,农林牧渔,种植业,其他种植业,11.49,19.75,17.16,2.79,3.05,115.43,18.03,17.35,4.92,8.2
11,4,600359.SH,新农开发,1999-04-29,农林牧渔,种植业,其他种植业,7.52,90.13,3076.45,4.29,,28.69,-67.56,-61.47,-21.95,-22.45
12,5,600108.SH,亚盛集团,2011-10-10,农林牧渔,种植业,其他种植业,3.58,72.55,73.44,1.62,0.15,69.7,-3.23,-4.4,6.03,5.19
13,6,600540.SH,新赛股份,2004-01-07,农林牧渔,种植业,其他种植业,4.97,,,6.62,,28.89,20.12,-12.24,436.44,437.02
14,1,002069.SZ,獐子岛,2006-10-13,农林牧渔,渔业,水产养殖,3.94,,,154.61,,28.02,-30.79,146.39,-7.14,-0.77
15,2,300094.SZ,国联水产,2010-07-16,农林牧渔,渔业,水产养殖,3.82,,,4.19,,43.1,-905.3,-3180.5,-14.29,-18.36
16,3,600467.SH,好当家,2004-04-05,农林牧渔,渔业,水产养殖,2.71,91.17,96.73,1.16,0.33,39.59,-8.45,-8.74,-3.73,-9.18
17,4,600257.SH,大湖股份,2000-06-12,农林牧渔,渔业,水产养殖,7.25,,,4.38,,34.89,97.36,81.34,-15.69,-14.4
18,1,603363.SH,傲农生物,2024-12-27,农林牧渔,饲料,畜禽饲料,4.16,18.69,5.98,3.24,,108.28,150.54,166.81,-8.52,-15.01
19,2,000702.SZ,正虹科技,2006-03-30,农林牧渔,饲料,畜禽饲料,7.03,,,6.92,,24.37,52.88,28.75,1.55,13.72
20,3,002548.SZ,金新农,2011-02-25,农林牧渔,饲料,畜禽饲料,6.59,180.97,,3.83,,54.58,-438.06,43.74,3.04,10.38
21,4,001366.SZ,播恩集团,2023-03-14,农林牧渔,饲料,畜禽饲料,14.46,,,2.89,,23.23,31.52,-262.29,34.38,32.72
22,5,603609.SH,禾丰股份,2014-08-15,农林牧渔,饲料,畜禽饲料,7.42,19.68,36.94,1.04,0.75,67.4,-55.34,784.44,16.92,16.27
23,6,688156.SH,路德科技,2025-05-13,农林牧渔,饲料,畜禽饲料,19.28,,,2.37,,19.42,-368.25,-969.04,14.15,1.08
24,7,002567.SZ,唐人神,2011-04-01,农林牧渔,饲料,畜禽饲料,4.4,17.74,,1.15,,63.05,-243.8,-1386.75,8.87,15.05
25,8,002100.SZ,天康生物,2007-01-05,农林牧渔,饲料,畜禽饲料,7.13,16.09,21.58,1.36,3.09,97.34,-27.2,22.27,4.0,10.68
26,9,603151.SH,邦基科技,2022-10-26,农林牧渔,饲料,畜禽饲料,18.75,63.95,28.22,2.36,1.06,32.06,148.64,175.08,155.4,167.25
27,10,002385.SZ,大北农,2010-04-16,农林牧渔,饲料,畜禽饲料,4.13,51.36,37.84,2.07,0.72,177.59,92.56,250.93,2.99,3.55
28,1,605198.SH,安德利,2020-09-25,农林牧渔,农产品加工,果蔬加工,42.9,54.99,41.37,5.25,0.58,143.37,43.38,50.26,28.88,49.97
29,2,600962.SH,国投中鲁,2011-10-10,农林牧渔,农产品加工,果蔬加工,22.45,201.23,103.42,6.24,,58.87,3178.21,2149.03,25.79,39.68
30,3,000972.SZ,*ST中基,2007-07-03,农林牧渔,农产品加工,果蔬加工,3.5,,,,,26.99,-230.9,-733.0,18.92,-0.08
31,4,300175.SZ,ST朗源,2011-02-23,农林牧渔,农产品加工,果蔬加工,6.28,,,5.73,,29.57,74.23,75.99,13.96,-4.72
32,5,600251.SH,冠农股份,2016-07-01,农林牧渔,农产品加工,果蔬加工,10.61,40.29,37.52,2.17,1.7,82.44,4.56,-0.89,-24.8,-24.66
33,1,000019.SZ,深粮控股,2021-12-13,农林牧渔,农产品加工,粮油加工,7.24,25.65,25.73,1.67,2.07,83.44,-0.3,36.44,3.07,-1.33
34,2,002852.SZ,道道全,2017-03-17,农林牧渔,农产品加工,粮油加工,11.35,22.07,13.88,1.76,2.68,39.04,93.69,563.15,4.62,1.16
35,3,300999.SZ,金龙鱼,2020-10-22,农林牧渔,农产品加工,粮油加工,29.6,64.14,42.02,1.67,0.38,1604.79,92.06,60.07,5.02,5.67
36,4,600127.SH,金健米业,1998-05-06,农林牧渔,农产品加工,粮油加工,6.98,2009.92,316.94,6.59,,44.8,315.17,528.06,-26.82,-24.96
37,5,000505.SZ,京粮控股,2018-07-16,农林牧渔,农产品加工,粮油加工,7.15,198.91,,1.69,0.25,51.98,-284.9,-25.39,-34.57,-24.26
38,6,603231.SH,索宝蛋白,2023-12-22,农林牧渔,农产品加工,粮油加工,19.45,30.73,21.14,1.9,1.54,37.24,60.0,37.62,7.37,0.24
39,7,603182.SH,嘉华股份,2022-09-19,农林牧渔,农产品加工,粮油加工,16.16,24.37,23.15,2.43,2.48,26.59,7.46,7.79,-7.19,-12.86
40,1,001338.SZ,永顺泰,2022-11-23,农林牧渔,农产品加工,其他农产品加工,12.66,21.22,19.1,1.71,2.37,63.52,15.12,0.96,-2.75,2.55
41,2,003030.SZ,祖名股份,2021-12-13,农林牧渔,农产品加工,其他农产品加工,21.8,,142.54,2.67,0.68,27.2,366.76,-20.15,21.27,21.62
42,3,000911.SZ,广农糖业,2011-10-10,农林牧渔,农产品加工,其他农产品加工,6.76,98.99,53.85,22.54,,27.06,83.92,-32.16,-18.81,-25.85
43,4,600737.SH,中粮糖业,2017-07-03,农林牧渔,农产品加工,其他农产品加工,16.66,20.8,26.08,3.16,2.46,356.33,-29.86,-48.42,-10.6,-21.32
44,5,000930.SZ,中粮科技,2011-10-10,农林牧渔,农产品加工,其他农产品加工,6.44,475.75,126.23,1.12,,119.55,724.42,74.44,-12.31,-11.09
45,6,002286.SZ,保龄宝,2011-10-10,农林牧渔,农产品加工,其他农产品加工,10.53,36.05,27.81,1.82,0.57,40.07,32.58,33.66,15.98,18.02
46,7,002481.SZ,双塔食品,2021-12-13,农林牧渔,农产品加工,其他农产品加工,5.1,66.5,95.16,2.57,0.58,62.92,-45.27,0.89,-10.45,6.18
47,8,300138.SZ,晨光生物,2011-10-10,农林牧渔,农产品加工,其他农产品加工,13.56,69.65,19.54,1.96,0.96,65.51,385.3,115.33,-3.41,4.77
48,9,600191.SH,华资实业,2011-10-10,农林牧渔,农产品加工,其他农产品加工,13.41,255.57,165.44,3.84,,65.03,31.94,-39.22,0.27,-11.37
49,10,300268.SZ,*ST佳沃,2011-10-11,农林牧渔,农产品加工,其他农产品加工,12.43,,,,,21.65,35.18,-6.51,-44.55,-33.96
50,1,002157.SZ,正邦科技,2023-12-11,农林牧渔,养殖业,生猪养殖,3.24,138.49,,2.55,,299.71,-97.25,258.18,82.58,112.17
51,2,603717.SH,天域生物,2025-08-13,农林牧渔,养殖业,生猪养殖,7.82,,,4.38,,22.69,-125.22,73.68,-14.23,-2.62
52,3,600975.SH,新五丰,2004-06-16,农林牧渔,养殖业,生猪养殖,5.78,183.7,289.8,2.39,,72.23,-1171.47,118.32,2.27,14.08
53,4,000048.SZ,京基智农,2025-08-13,农林牧渔,养殖业,生猪养殖,18.02,13.39,23.31,2.26,3.96,95.56,-50.5,-3.97,-20.12,-11.61
54,5,000735.SZ,罗牛山,1999-12-30,农林牧渔,养殖业,生猪养殖,7.87,37.49,,2.15,0.25,90.62,-99.14,-102.61,-36.82,-44.25
55,6,000876.SZ,新希望,1999-12-30,农林牧渔,养殖业,生猪养殖,8.74,83.1,36.43,1.62,0.28,393.54,395.89,162.0,4.27,4.13
56,7,002714.SZ,牧原股份,2014-02-11,农林牧渔,养殖业,生猪养殖,46.86,14.32,11.54,3.61,3.16,2559.85,41.01,1169.77,15.52,34.46
57,8,300498.SZ,温氏股份,2015-11-09,农林牧渔,养殖业,生猪养殖,16.02,11.55,13.2,2.59,3.11,1065.96,-18.29,159.12,-0.03,5.91
58,9,603477.SH,巨星农牧,2022-01-25,农林牧渔,养殖业,生猪养殖,17.61,17.32,24.52,3.02,0.95,89.82,-58.69,504.12,42.57,66.49
59,10,001201.SZ,东瑞股份,2021-05-10,农林牧渔,养殖业,生猪养殖,14.99,,169.52,1.14,,38.64,114.9,103.02,50.09,72.3
60,11,002124.SZ,天邦食品,2007-04-10,农林牧渔,养殖业,生猪养殖,2.51,3.82,14.81,1.42,,55.77,-80.65,-58.14,-5.98,8.69
61,12,605296.SH,神农集团,2021-06-04,农林牧渔,养殖业,生猪养殖,28.28,21.61,22.21,2.96,1.38,148.4,-3.89,212.65,-3.79,12.16
62,1,002299.SZ,圣农发展,2009-10-28,农林牧渔,养殖业,肉鸡养殖,17.24,29.59,14.28,1.95,2.88,214.31,202.82,791.93,6.86,0.22
