序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600313.SH,农发种业,2018-12-26,—,—,种子,8.25,204.35,179.09,4.03,,95.81,11.95,14.13,21.66,47.86
2,000713.SZ,国投丰乐,1997-04-22,—,—,种子,6.94,79.32,110.4,1.86,0.22,55.4,-27.67,-25.44,-11.33,-13.42
3,000998.SZ,隆平高科,2000-12-11,—,—,种子,10.12,130.6,,2.59,0.4,148.71,-39.62,-247.26,-1.39,-16.11
4,300087.SZ,荃银高科,2010-06-03,—,—,种子,8.69,84.76,320.88,4.73,0.58,82.32,-113.45,-85.85,-5.9,1.81
5,300189.SZ,神农种业,2011-03-24,—,—,种子,8.0,,,11.22,,81.92,126.67,6.69,29.36,38.66
6,600371.SH,万向德农,2011-10-10,—,—,种子,9.45,52.54,136.81,5.03,1.59,27.65,-62.63,-39.33,-44.1,-24.39
7,600354.SH,敦煌种业,2007-07-03,—,—,种子,7.15,75.66,54.6,5.48,,37.74,106.98,73.43,14.46,21.63
8,002041.SZ,登海种业,2005-04-18,—,—,种子,11.37,176.7,192.28,2.76,0.26,100.06,-7.84,-33.42,-11.17,-9.41
1,601118.SH,海南橡胶,2011-01-17,—,—,其他种植业,7.03,290.98,104.2,3.1,0.16,300.84,40.24,40.62,3.23,18.99
2,603336.SH,宏辉果蔬,2016-12-01,—,—,其他种植业,9.23,306.98,581.22,3.94,0.05,56.18,-44.48,-44.82,-3.18,7.86
3,002215.SZ,诺普信,2025-05-13,—,—,其他种植业,11.49,19.75,17.16,2.79,3.05,115.43,18.03,17.35,4.92,8.2
4,600359.SH,新农开发,1999-04-29,—,—,其他种植业,7.52,90.13,3076.45,4.29,,28.69,-67.56,-61.47,-21.95,-22.45
5,600108.SH,亚盛集团,2011-10-10,—,—,其他种植业,3.58,72.55,73.44,1.62,0.15,69.7,-3.23,-4.4,6.03,5.19
6,600540.SH,新赛股份,2004-01-07,—,—,其他种植业,4.97,,,6.62,,28.89,20.12,-12.24,436.44,437.02
1,002069.SZ,獐子岛,2006-10-13,—,—,水产养殖,3.94,,,154.61,,28.02,-30.79,146.39,-7.14,-0.77
2,300094.SZ,国联水产,2010-07-16,—,—,水产养殖,3.82,,,4.19,,43.1,-905.3,-3180.5,-14.29,-18.36
3,600467.SH,好当家,2004-04-05,—,—,水产养殖,2.71,91.17,96.73,1.16,0.33,39.59,-8.45,-8.74,-3.73,-9.18
4,600257.SH,大湖股份,2000-06-12,—,—,水产养殖,7.25,,,4.38,,34.89,97.36,81.34,-15.69,-14.4
1,603363.SH,傲农生物,2024-12-27,—,—,畜禽饲料,4.16,18.69,5.98,3.24,,108.28,150.54,166.81,-8.52,-15.01
