,序号,股票代码,股票简称,纳入时间,行业,行业2,行业3,价格,pe,pettm,pb,股息率,市值,净利同增,上季利增,营收同增,上季营增
0,1,600313.SH,农发种业,2018-12-26,农林牧渔,种植业,种子,7.73,191.47,167.8,3.78,,89.77,11.95,14.13,21.66,47.86
1,2,000713.SZ,国投丰乐,1997-04-22,农林牧渔,种植业,种子,6.83,78.06,108.65,1.83,0.23,54.52,-27.67,-25.44,-11.33,-13.42
2,3,000998.SZ,隆平高科,2000-12-11,农林牧渔,种植业,种子,9.88,127.5,,2.53,0.4,145.18,-39.62,-247.26,-1.39,-16.11
3,4,300087.SZ,荃银高科,2010-06-03,农林牧渔,种植业,种子,8.57,83.59,316.45,4.66,0.58,81.19,-113.45,-85.85,-5.9,1.81
4,5,300189.SZ,神农种业,2011-03-24,农林牧渔,种植业,种子,7.54,,,10.58,,77.21,126.67,6.69,29.36,38.66
5,6,600371.SH,万向德农,2011-10-10,农林牧渔,种植业,种子,9.27,51.54,134.2,4.94,1.62,27.12,-62.63,-39.33,-44.1,-24.39
6,7,600354.SH,敦煌种业,2007-07-03,农林牧渔,种植业,种子,6.85,72.49,52.31,5.25,,36.15,106.98,73.43,14.46,21.63
7,8,002041.SZ,登海种业,2005-04-18,农林牧渔,种植业,种子,10.79,167.68,182.48,2.62,0.27,94.95,-7.84,-33.42,-11.17,-9.41
8,1,601118.SH,海南橡胶,2011-01-17,农林牧渔,种植业,其他种植业,6.73,278.56,99.75,2.97,0.16,288.01,40.24,40.62,3.23,18.99
9,2,603336.SH,宏辉果蔬,2016-12-01,农林牧渔,种植业,其他种植业,9.62,319.95,605.78,4.11,0.05,58.56,-44.48,-44.82,-3.18,7.86
10,3,002215.SZ,诺普信,2025-05-13,农林牧渔,种植业,其他种植业,11.1,19.08,16.58,2.69,3.15,111.51,18.03,17.35,4.92,8.2
11,4,600359.SH,新农开发,1999-04-29,农林牧渔,种植业,其他种植业,7.38,88.45,3019.17,4.21,,28.16,-67.56,-61.47,-21.95,-22.45
12,5,600108.SH,亚盛集团,2011-10-10,农林牧渔,种植业,其他种植业,3.48,70.52,71.39,1.57,0.16,67.75,-3.23,-4.4,6.03,5.19
13,6,600540.SH,新赛股份,2004-01-07,农林牧渔,种植业,其他种植业,4.92,,,6.56,,28.6,20.12,-12.24,436.44,437.02
14,1,002069.SZ,獐子岛,2006-10-13,农林牧渔,渔业,水产养殖,3.97,,,155.79,,28.23,-30.79,146.39,-7.14,-0.77
15,2,300094.SZ,国联水产,2010-07-16,农林牧渔,渔业,水产养殖,3.82,,,4.19,,43.1,-905.3,-3180.5,-14.29,-18.36
16,3,600467.SH,好当家,2004-04-05,农林牧渔,渔业,水产养殖,2.67,89.82,95.3,1.14,0.33,39.01,-8.45,-8.74,-3.73,-9.18
17,4,600257.SH,大湖股份,2000-06-12,农林牧渔,渔业,水产养殖,7.11,,,4.29,,34.22,97.36,81.34,-15.69,-14.4
18,1,603363.SH,傲农生物,2024-12-27,农林牧渔,饲料,畜禽饲料,4.18,18.78,6.0,3.26,,108.8,150.54,166.81,-8.52,-15.01
19,2,000702.SZ,正虹科技,2006-03-30,农林牧渔,饲料,畜禽饲料,7.06,,,6.95,,24.47,52.88,28.75,1.55,13.72
20,3,002548.SZ,金新农,2011-02-25,农林牧渔,饲料,畜禽饲料,6.51,178.77,,3.78,,53.91,-438.06,43.74,3.04,10.38
21,4,001366.SZ,播恩集团,2023-03-14,农林牧渔,饲料,畜禽饲料,14.63,,,2.93,,23.51,31.52,-262.29,34.38,32.72
22,5,603609.SH,禾丰股份,2014-08-15,农林牧渔,饲料,畜禽饲料,7.41,19.65,36.89,1.04,0.75,67.3,-55.34,784.44,16.92,16.27
23,6,688156.SH,路德科技,2025-05-13,农林牧渔,饲料,畜禽饲料,19.14,,,2.36,,19.28,-368.25,-969.04,14.15,1.08
24,7,002567.SZ,唐人神,2011-04-01,农林牧渔,饲料,畜禽饲料,4.39,17.7,,1.15,,62.91,-243.8,-1386.75,8.87,15.05
25,8,002100.SZ,天康生物,2007-01-05,农林牧渔,饲料,畜禽饲料,7.1,16.02,21.48,1.35,3.1,96.93,-27.2,22.27,4.0,10.68
26,9,603151.SH,邦基科技,2022-10-26,农林牧渔,饲料,畜禽饲料,18.58,63.38,27.97,2.34,1.07,31.77,148.64,175.08,155.4,167.25
27,10,002385.SZ,大北农,2010-04-16,农林牧渔,饲料,畜禽饲料,4.04,50.24,37.02,2.02,0.74,173.72,92.56,250.93,2.99,3.55
28,1,605198.SH,安德利,2020-09-25,农林牧渔,农产品加工,果蔬加工,42.78,54.84,41.26,5.23,0.58,142.97,43.38,50.26,28.88,49.97
29,2,600962.SH,国投中鲁,2011-10-10,农林牧渔,农产品加工,果蔬加工,22.3,199.88,102.73,6.2,,58.47,3178.21,2149.03,25.79,39.68
30,3,000972.SZ,*ST中基,2007-07-03,农林牧渔,农产品加工,果蔬加工,3.5,,,,,26.99,-230.9,-733.0,18.92,-0.08
31,4,300175.SZ,ST朗源,2011-02-23,农林牧渔,农产品加工,果蔬加工,6.35,,,5.79,,29.9,74.23,75.99,13.96,-4.72
32,5,600251.SH,冠农股份,2016-07-01,农林牧渔,农产品加工,果蔬加工,10.37,39.38,36.67,2.12,1.74,80.57,4.56,-0.89,-24.8,-24.66
33,1,000019.SZ,深粮控股,2021-12-13,农林牧渔,农产品加工,粮油加工,7.2,25.51,25.59,1.66,2.08,82.98,-0.3,36.44,3.07,-1.33
34,2,002852.SZ,道道全,2017-03-17,农林牧渔,农产品加工,粮油加工,11.34,22.05,13.86,1.76,2.68,39.01,93.69,563.15,4.62,1.16
35,3,300999.SZ,金龙鱼,2020-10-22,农林牧渔,农产品加工,粮油加工,30.07,65.16,42.68,1.69,0.37,1630.27,92.06,60.07,5.02,5.67
36,4,600127.SH,金健米业,1998-05-06,农林牧渔,农产品加工,粮油加工,6.67,1920.65,302.87,6.3,,42.81,315.17,528.06,-26.82,-24.96
37,5,000505.SZ,京粮控股,2018-07-16,农林牧渔,农产品加工,粮油加工,7.12,198.08,,1.68,0.25,51.76,-284.9,-25.39,-34.57,-24.26
38,6,603231.SH,索宝蛋白,2023-12-22,农林牧渔,农产品加工,粮油加工,20.0,31.6,21.73,1.95,1.5,38.29,60.0,37.62,7.37,0.24
39,7,603182.SH,嘉华股份,2022-09-19,农林牧渔,农产品加工,粮油加工,16.22,24.46,23.24,2.44,2.47,26.69,7.46,7.79,-7.19,-12.86
40,1,001338.SZ,永顺泰,2022-11-23,农林牧渔,农产品加工,其他农产品加工,12.67,21.23,19.11,1.71,2.37,63.57,15.12,0.96,-2.75,2.55
41,2,003030.SZ,祖名股份,2021-12-13,农林牧渔,农产品加工,其他农产品加工,21.82,,142.67,2.67,0.68,27.23,366.76,-20.15,21.27,21.62
42,3,000911.SZ,广农糖业,2011-10-10,农林牧渔,农产品加工,其他农产品加工,6.65,97.38,52.97,22.18,,26.62,83.92,-32.16,-18.81,-25.85
43,4,600737.SH,中粮糖业,2017-07-03,农林牧渔,农产品加工,其他农产品加工,16.38,20.45,25.64,3.11,2.5,350.34,-29.86,-48.42,-10.6,-21.32
44,5,000930.SZ,中粮科技,2011-10-10,农林牧渔,农产品加工,其他农产品加工,6.4,472.8,125.45,1.11,,118.81,724.42,74.44,-12.31,-11.09
45,6,002286.SZ,保龄宝,2011-10-10,农林牧渔,农产品加工,其他农产品加工,10.53,36.05,27.81,1.82,0.57,40.07,32.58,33.66,15.98,18.02
46,7,002481.SZ,双塔食品,2021-12-13,农林牧渔,农产品加工,其他农产品加工,5.16,67.28,96.28,2.6,0.58,63.66,-45.27,0.89,-10.45,6.18
47,8,300138.SZ,晨光生物,2011-10-10,农林牧渔,农产品加工,其他农产品加工,13.53,69.5,19.5,1.96,0.96,65.36,385.3,115.33,-3.41,4.77
48,9,600191.SH,华资实业,2011-10-10,农林牧渔,农产品加工,其他农产品加工,12.18,232.13,150.26,3.49,,59.06,31.94,-39.22,0.27,-11.37
49,10,300268.SZ,*ST佳沃,2011-10-11,农林牧渔,农产品加工,其他农产品加工,12.39,,,,,21.58,35.18,-6.51,-44.55,-33.96
50,1,002157.SZ,正邦科技,2023-12-11,农林牧渔,养殖业,生猪养殖,3.2,136.78,,2.52,,296.01,-97.25,258.18,82.58,112.17
51,2,603717.SH,天域生物,2025-08-13,农林牧渔,养殖业,生猪养殖,7.81,,,4.38,,22.66,-125.22,73.68,-14.23,-2.62
52,3,600975.SH,新五丰,2004-06-16,农林牧渔,养殖业,生猪养殖,5.75,182.74,288.3,2.38,,71.86,-1171.47,118.32,2.27,14.08
53,4,000048.SZ,京基智农,2025-08-13,农林牧渔,养殖业,生猪养殖,18.02,13.39,23.31,2.26,3.96,95.56,-50.5,-3.97,-20.12,-11.61
54,5,000735.SZ,罗牛山,1999-12-30,农林牧渔,养殖业,生猪养殖,7.82,37.25,,2.13,0.26,90.05,-99.14,-102.61,-36.82,-44.25
55,6,000876.SZ,新希望,1999-12-30,农林牧渔,养殖业,生猪养殖,8.71,82.81,36.3,1.62,0.28,392.19,395.89,162.0,4.27,4.13
56,7,002714.SZ,牧原股份,2014-02-11,农林牧渔,养殖业,生猪养殖,46.73,14.28,11.51,3.6,3.17,2552.75,41.01,1169.77,15.52,34.46
57,8,300498.SZ,温氏股份,2015-11-09,农林牧渔,养殖业,生猪养殖,15.95,11.5,13.14,2.58,3.13,1061.3,-18.29,159.12,-0.03,5.91
58,9,603477.SH,巨星农牧,2022-01-25,农林牧渔,养殖业,生猪养殖,17.74,17.45,24.7,3.04,0.95,90.49,-58.69,504.12,42.57,66.49
59,10,001201.SZ,东瑞股份,2021-05-10,农林牧渔,养殖业,生猪养殖,14.96,,169.18,1.14,,38.56,114.9,103.02,50.09,72.3
60,11,002124.SZ,天邦食品,2007-04-10,农林牧渔,养殖业,生猪养殖,2.51,3.82,14.81,1.42,,55.77,-80.65,-58.14,-5.98,8.69
61,12,605296.SH,神农集团,2021-06-04,农林牧渔,养殖业,生猪养殖,28.25,21.58,22.19,2.95,1.38,148.25,-3.89,212.65,-3.79,12.16
62,1,002299.SZ,圣农发展,2009-10-28,农林牧渔,养殖业,肉鸡养殖,17.23,29.57,14.27,1.95,2.89,214.19,202.82,791.93,6.86,0.22
63,2,002982.SZ,湘佳股份,2020-05-06,农林牧渔,养殖业,肉鸡养殖,14.53,30.1,93.85,1.86,0.49,29.52,-74.89,-59.95,9.63,15.13
64,3,300967.SZ,晓鸣股份,2021-04-20,农林牧渔,养殖业,肉鸡养殖,22.03,92.21,17.48,5.04,0.9,41.32,2243.97,733.34,58.98,93.65
65,4,002458.SZ,益生股份,2010-08-17,农林牧渔,养殖业,肉鸡养殖,9.62,21.13,45.28,2.53,2.55,106.44,-89.42,-96.64,-5.44,-3.98
66,5,300761.SZ,立华股份,2019-02-25,农林牧渔,养殖业,肉鸡养殖,19.85,10.93,25.68,1.84,2.99,166.2,-75.27,-74.1,6.38,7.02
67,6,301116.SZ,益客食品,2022-01-25,农林牧渔,养殖业,肉鸡养殖,11.5,51.55,,3.5,0.61,51.63,-304.43,-255.03,-10.97,-13.1
68,7,002234.SZ,民和股份,2008-05-23,农林牧渔,养殖业,肉鸡养殖,9.25,,,1.79,,32.28,-6.04,-15.51,-2.02,-5.88
69,8,002746.SZ,仙坛股份,2015-03-02,农林牧渔,养殖业,肉鸡养殖,6.36,26.55,19.05,1.2,3.93,54.73,72.48,344.55,8.72,5.24
70,1,600195.SH,中牧股份,2011-10-10,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,7.91,113.95,37.67,1.41,0.29,80.77,175.49,30.18,6.32,12.63
71,2,300871.SZ,回盛生物,2020-08-31,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,27.25,,25.6,2.62,0.75,55.14,494.28,325.88,58.92,88.45
72,3,600201.SH,生物股份,2011-10-10,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,15.79,161.07,174.23,3.21,0.19,175.54,-4.85,-50.84,7.38,1.28
73,4,002688.SZ,金河生物,2012-07-20,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,6.25,48.13,38.43,2.05,1.56,48.23,22.25,51.52,22.86,30.45
74,5,002868.SZ,*ST绿康,2017-05-10,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,35.45,,,,,55.09,47.39,32.74,-13.21,-9.97
75,6,002141.SZ,贤丰控股,2024-07-31,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,3.88,,,4.82,,40.08,2547.13,638.22,1943.92,2048.03
76,7,603566.SH,普莱柯,2015-05-25,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,14.06,52.43,33.87,1.94,4.22,48.66,47.86,57.12,8.04,15.79
77,8,688526.SH,科前生物,2023-09-25,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,16.37,19.96,16.6,1.83,2.61,76.31,29.62,44.09,10.87,21.67
78,9,688098.SH,申联生物,2023-09-25,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,9.35,,,2.72,,38.4,101.97,62.71,-4.27,-3.68
79,10,300119.SZ,瑞普生物,2011-10-10,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,19.2,29.67,21.33,1.91,1.53,89.23,45.64,57.59,13.5,20.53
80,1,600935.SH,华塑股份,2021-12-03,基础化工,化学原料,氯碱,2.78,,,1.67,,99.93,43.36,15.69,-8.24,-6.46
81,2,000510.SZ,新金路,1993-05-07,基础化工,化学原料,氯碱,14.94,,,7.85,,96.89,-129.38,-15.16,-16.82,-16.27
82,3,601678.SH,滨化股份,2019-07-08,基础化工,化学原料,氯碱,5.17,48.5,47.83,0.93,0.76,106.34,1.63,6.01,47.35,61.36
83,4,603213.SH,镇洋发展,2021-11-18,基础化工,化学原料,氯碱,13.61,31.48,65.09,3.24,1.92,60.15,-66.07,-52.63,-1.96,16.88
84,5,002386.SZ,天原股份,2010-04-19,基础化工,化学原料,氯碱,5.85,,,1.01,,76.15,132.63,48.65,-14.89,-14.12
85,6,000818.SZ,航锦科技,2017-07-03,基础化工,化学原料,氯碱,20.66,,,5.9,,136.36,-62.72,-58.38,1.38,5.84
86,7,601216.SH,君正集团,2011-03-02,基础化工,化学原料,氯碱,5.61,16.88,14.08,1.64,2.67,473.37,24.93,26.82,1.63,8.59
87,8,600319.SH,亚星化学,2019-07-08,基础化工,化学原料,氯碱,8.0,,,7.7,,31.02,-46.4,-54.7,-2.53,-2.89
88,9,601568.SH,北元集团,2020-10-27,基础化工,化学原料,氯碱,4.1,70.54,79.53,1.42,2.44,162.86,-10.88,1.89,-9.91,-8.06
89,10,000635.SZ,英力特,2007-07-03,基础化工,化学原料,氯碱,10.02,,,2.56,,39.49,4.07,-25.92,-6.97,-10.0
90,11,600075.SH,新疆天业,2008-06-03,基础化工,化学原料,氯碱,5.89,146.95,153.46,1.12,0.34,100.56,-28.79,-228.22,2.2,-0.98
91,12,002092.SZ,中泰化学,2006-12-18,基础化工,化学原料,氯碱,6.36,,,0.76,,164.73,48.51,20.0,-5.55,-8.32
92,13,600618.SH,氯碱化工,1992-11-13,基础化工,化学原料,氯碱,15.3,22.47,22.3,1.95,1.37,176.93,1.02,21.09,-5.36,-8.1
93,14,002748.SZ,世龙实业,2021-12-13,基础化工,化学原料,氯碱,12.33,113.07,68.65,2.15,0.41,29.59,72.11,689.39,3.43,4.68
94,1,600714.SH,金瑞矿业,2017-07-03,基础化工,化学原料,无机盐,14.82,121.98,75.38,5.65,0.47,42.71,90.05,231.29,3.35,12.06
95,2,600367.SH,红星发展,2001-03-20,基础化工,化学原料,无机盐,18.11,69.35,44.46,2.5,0.28,61.78,86.78,233.08,-0.14,3.68
96,3,600929.SH,雪天盐业,2021-12-13,基础化工,化学原料,无机盐,6.06,32.71,,1.32,1.44,99.39,-90.37,-78.56,-21.99,-24.57
97,4,603067.SH,振华股份,2016-09-22,基础化工,化学原料,无机盐,34.22,51.43,46.9,7.0,0.39,243.22,12.56,23.62,7.47,10.17
98,5,003017.SZ,大洋生物,2020-11-02,基础化工,化学原料,无机盐,31.86,41.98,28.93,2.5,1.87,26.76,56.12,60.66,11.24,14.2
99,6,301256.SZ,华融化学,2022-03-29,基础化工,化学原料,无机盐,15.56,74.32,83.34,4.37,1.03,74.69,-17.01,-25.3,53.53,48.32
100,7,600328.SH,中盐化工,2000-12-22,基础化工,化学原料,无机盐,8.64,24.42,4796.48,1.05,1.42,126.69,-89.92,-88.04,-8.32,-5.76
101,8,603663.SH,三祥新材,2021-12-13,基础化工,化学原料,无机盐,39.03,218.06,215.13,12.5,0.19,165.21,1.34,-28.45,0.96,-7.35
102,9,600784.SH,鲁银投资,2025-08-13,基础化工,化学原料,无机盐,7.21,16.16,23.34,1.49,0.92,48.71,-36.48,-27.35,-3.65,-2.62
103,10,603299.SH,苏盐井神,2021-12-13,基础化工,化学原料,无机盐,11.0,11.18,16.43,1.4,4.03,85.98,-37.46,-28.51,-17.04,-16.56
104,1,301190.SZ,善水科技,2024-07-31,基础化工,化学原料,其他化学原料,22.75,92.21,69.89,2.5,0.63,48.83,25.13,-11.77,33.78,23.08
105,2,600423.SH,柳化股份,2024-07-31,基础化工,化学原料,其他化学原料,3.86,102.17,503.11,5.51,,30.83,-77.44,-78.01,-13.48,-7.45
106,3,300082.SZ,奥克股份,2021-12-13,基础化工,化学原料,其他化学原料,9.56,,,2.38,,65.02,95.09,101.29,4.93,11.21
107,4,603113.SH,金能科技,2024-05-22,基础化工,化学原料,其他化学原料,6.97,,,0.73,5.09,59.14,-141.22,161.43,4.47,24.13
108,5,600610.SH,中毅达,2021-12-13,基础化工,化学原料,其他化学原料,11.82,,274.65,111.56,,126.62,399.07,351.33,-6.07,-11.24
109,6,301118.SZ,恒光股份,2021-11-25,基础化工,化学原料,其他化学原料,26.07,,,2.14,0.48,28.73,96.92,132.51,29.22,28.7
110,7,002109.SZ,兴化股份,2021-12-13,基础化工,化学原料,其他化学原料,4.14,,,1.3,,52.84,-36.89,25.77,-17.02,-7.18
111,8,002648.SZ,卫星化学,2022-08-01,基础化工,化学原料,其他化学原料,22.2,12.32,12.19,2.33,2.24,747.84,1.69,33.44,7.73,20.93
112,9,603938.SH,三孚股份,2022-08-01,基础化工,化学原料,其他化学原料,24.81,148.84,122.68,3.82,0.07,94.93,26.92,-5.6,15.2,11.18
113,10,300927.SZ,江天化学,2021-01-14,基础化工,化学原料,其他化学原料,32.85,15.93,17.44,4.93,0.27,47.42,-75.84,-98.97,112.58,113.64
114,11,000691.SZ,*ST亚太,2026-01-06,基础化工,化学原料,其他化学原料,8.66,,,,,41.99,-81.39,-67.13,1.2,-8.88
115,12,001217.SZ,华尔泰,2021-10-13,基础化工,化学原料,其他化学原料,12.79,48.38,144.11,1.89,0.78,42.45,-72.61,-58.75,26.07,21.68
116,13,600955.SH,维远股份,2021-09-24,基础化工,化学原料,其他化学原料,18.87,183.4,,1.23,0.16,103.78,-304.14,-568.79,-6.4,1.82
117,14,301069.SZ,凯盛新材,2021-10-11,基础化工,化学原料,其他化学原料,24.22,196.04,91.85,4.99,0.38,109.76,121.56,63.83,11.22,7.66
118,1,000990.SZ,诚志股份,2000-07-13,基础化工,化学原料,煤化工,8.19,43.16,86.01,0.56,0.61,99.53,-52.58,-89.78,5.66,5.65
119,2,600623.SH,华谊集团,1999-12-30,基础化工,化学原料,煤化工,9.33,21.75,28.19,0.89,1.94,198.06,-42.68,1.5,-5.02,-2.52
120,3,600746.SH,江苏索普,1999-12-30,基础化工,化学原料,煤化工,7.53,41.34,66.86,1.61,0.65,87.94,-39.21,-13.01,-5.74,-1.08
121,4,600844.SH,金煤科技,1999-12-30,基础化工,化学原料,煤化工,3.11,,,22.63,,31.61,55.28,34.89,17.17,18.49
122,5,600722.SH,金牛化工,2022-08-01,基础化工,化学原料,煤化工,7.85,101.49,107.47,4.33,,53.41,-7.52,1.65,-0.75,-1.42
123,6,600989.SH,宝丰能源,2019-05-23,基础化工,化学原料,煤化工,22.2,25.69,15.14,3.54,3.1,1628.01,97.27,73.02,46.43,35.05
124,7,000830.SZ,鲁西化工,1999-12-30,基础化工,化学原料,煤化工,17.09,16.04,22.03,1.71,2.05,325.45,-35.03,-34.81,1.57,4.98
125,8,002274.SZ,华昌化工,2022-08-01,基础化工,化学原料,煤化工,6.19,11.31,,1.09,4.85,58.95,-101.6,-97.58,-22.13,-24.03
126,1,000545.SZ,金浦钛业,2013-07-29,基础化工,化学原料,钛白粉,2.88,,,3.12,,28.42,-325.09,-829.71,-23.68,-18.5
127,2,002145.SZ,钛能化学,2007-08-10,基础化工,化学原料,钛白粉,5.04,33.95,44.26,1.59,0.3,191.86,-29.4,-14.83,11.97,19.66
128,3,002601.SZ,龙佰集团,2011-07-22,基础化工,化学原料,钛白粉,20.63,22.68,38.45,2.12,2.89,491.87,-34.68,-19.53,-6.86,-3.34
129,4,300891.SZ,惠云钛业,2020-09-24,基础化工,化学原料,钛白粉,9.45,855.06,,2.98,0.11,37.8,-191.38,-73.17,7.92,5.18
130,5,002136.SZ,安纳达,2007-06-06,基础化工,化学原料,钛白粉,12.9,246.42,,2.46,,27.74,-213.57,-158.08,-6.03,-10.51
131,6,600727.SH,鲁北化工,2011-08-19,基础化工,化学原料,钛白粉,7.52,15.23,59.12,1.24,0.66,39.75,-81.7,-46.62,-5.86,-8.43
132,1,603110.SH,东方材料,2017-10-20,基础化工,化学制品,涂料油墨,16.97,244.66,766.88,4.91,0.29,34.15,-74.86,-88.48,-7.41,-5.06
133,2,300225.SZ,*ST金泰,2011-06-08,基础化工,化学制品,涂料油墨,5.09,78.29,87.11,2.8,0.39,24.2,-15.1,-32.98,8.4,5.66
134,3,688129.SH,东来技术,2023-09-25,基础化工,化学制品,涂料油墨,23.9,33.98,32.57,3.05,0.58,28.79,5.61,22.12,5.84,12.22
135,4,301037.SZ,保立佳,2021-12-13,基础化工,化学制品,涂料油墨,16.08,,,3.52,,22.36,110.21,136.26,-18.35,-17.23
136,5,300758.SZ,七彩化学,2019-03-01,基础化工,化学制品,涂料油墨,16.7,54.28,86.83,3.79,,67.81,-38.96,-21.91,-3.04,2.75
137,6,300665.SZ,飞鹿股份,2017-06-20,基础化工,化学制品,涂料油墨,8.8,,,3.49,,19.27,0.41,18.97,23.98,48.77
138,7,603823.SH,百合花,2016-12-27,基础化工,化学制品,涂料油墨,16.8,39.73,41.72,2.88,0.89,69.95,-5.84,-0.67,-8.58,-7.83
139,8,301209.SZ,联合化学,2022-09-01,基础化工,化学制品,涂料油墨,94.19,186.94,176.51,13.82,0.15,105.49,7.56,21.62,-1.31,4.15
140,9,002319.SZ,乐通股份,2009-12-21,基础化工,化学制品,涂料油墨,15.52,,,17.9,,32.51,97.97,82.83,-0.2,0.8
141,10,688571.SH,杭华股份,2023-09-25,基础化工,化学制品,涂料油墨,7.86,23.98,29.31,2.07,2.47,33.34,-25.0,-22.38,-1.62,-3.0
142,11,001335.SZ,信凯科技,2025-04-22,基础化工,化学制品,涂料油墨,53.8,45.45,49.02,5.25,0.28,50.43,-11.21,18.47,-2.85,4.91
143,12,301036.SZ,双乐股份,2021-08-05,基础化工,化学制品,涂料油墨,33.61,27.85,45.97,2.03,0.6,33.61,-49.03,-32.95,-4.94,-8.44
144,13,000565.SZ,渝三峡Ａ,2011-10-10,基础化工,化学制品,涂料油墨,8.27,821.14,615.69,2.88,0.18,35.86,9.69,-4.3,7.07,0.96
145,14,603062.SH,麦加芯彩,2023-11-14,基础化工,化学制品,涂料油墨,51.07,26.16,23.35,2.7,3.38,55.16,18.13,48.83,-3.27,17.09
146,15,688157.SH,松井股份,2023-09-25,基础化工,化学制品,涂料油墨,36.69,66.43,142.35,4.24,0.45,57.39,-64.68,-69.84,5.05,7.48
147,16,300522.SZ,世名科技,2018-07-16,基础化工,化学制品,涂料油墨,12.17,173.48,763.89,4.88,0.33,39.24,-48.61,-44.92,2.48,1.33
148,1,002226.SZ,江南化工,2008-06-03,基础化工,化学制品,民爆制品,6.15,18.28,20.22,1.59,1.06,162.91,-11.4,2.17,2.78,3.71
149,2,002360.SZ,同德化工,2010-03-11,基础化工,化学制品,民爆制品,5.3,,,1.07,,21.29,-125.28,-75.76,-20.53,-19.32
150,3,002683.SZ,广东宏大,2012-06-19,基础化工,化学制品,民爆制品,48.32,40.91,40.74,5.51,1.33,367.23,0.54,22.05,55.92,63.83
151,4,002827.SZ,高争民爆,2016-12-16,基础化工,化学制品,民爆制品,34.77,65.01,58.97,9.68,0.43,96.33,13.68,25.7,7.53,6.55
152,5,002037.SZ,保利联合,2008-06-03,基础化工,化学制品,民爆制品,9.0,110.91,,2.32,,43.55,-70.96,-15.32,9.17,24.03
153,6,002497.SZ,雅化集团,2024-07-31,基础化工,化学制品,民爆制品,24.03,107.72,63.45,2.55,0.17,276.96,116.02,32.87,2.07,-13.04
154,7,603977.SH,国泰集团,2018-07-16,基础化工,化学制品,民爆制品,14.4,49.49,58.77,2.67,0.63,89.46,-13.06,-11.14,-6.01,-6.03
155,8,002096.SZ,易普力,2008-06-03,基础化工,化学制品,民爆制品,13.7,23.83,20.4,2.17,1.68,169.94,22.91,16.43,16.7,20.42
156,9,603227.SH,雪峰科技,2015-05-22,基础化工,化学制品,民爆制品,8.6,13.79,20.03,1.81,2.33,92.17,-34.6,-40.64,-8.28,-4.96
157,10,002783.SZ,凯龙股份,2015-12-16,基础化工,化学制品,民爆制品,9.83,33.13,28.66,1.87,1.02,49.09,20.64,64.23,-0.03,6.23
158,11,003002.SZ,壶化股份,2020-09-29,基础化工,化学制品,民爆制品,28.03,40.04,30.8,3.74,0.53,56.06,40.53,53.07,24.64,28.36
159,12,002917.SZ,金奥博,2017-12-15,基础化工,化学制品,民爆制品,14.14,39.61,32.93,2.93,0.7,49.15,23.4,20.91,5.67,10.47
160,13,002246.SZ,北化股份,2017-07-03,基础化工,化学制品,民爆制品,19.7,,52.35,3.62,0.23,108.16,504.8,207.91,41.09,23.82
161,1,002440.SZ,闰土股份,2010-07-14,基础化工,化学制品,纺织化学制品,12.01,63.23,46.94,1.42,1.22,134.99,49.1,43.15,2.25,0.65
162,2,002054.SZ,德美化工,2008-06-03,基础化工,化学制品,纺织化学制品,9.14,72.25,49.32,1.74,0.75,44.07,53.68,16.97,-0.88,-1.45
163,3,300798.SZ,锦鸡股份,2019-11-29,基础化工,化学制品,纺织化学制品,9.08,753.18,,2.53,0.11,42.57,-272.46,-149.76,23.49,27.8
164,4,300107.SZ,建新股份,2021-12-13,基础化工,化学制品,纺织化学制品,7.36,213.89,355.6,2.75,0.22,41.42,-56.36,-54.98,-23.35,-25.98
165,5,603172.SH,万丰股份,2023-05-17,基础化工,化学制品,纺织化学制品,25.22,87.76,60.1,3.09,0.36,33.64,89.99,91.69,10.57,17.32
166,6,301618.SZ,长联科技,2024-10-14,基础化工,化学制品,纺织化学制品,51.66,66.55,97.68,4.99,0.65,46.61,-39.78,-45.05,-2.7,-8.22
167,7,600352.SH,浙江龙盛,2008-06-03,基础化工,化学制品,纺织化学制品,14.08,22.56,22.09,1.34,3.2,458.07,3.23,2.84,-8.85,-6.46
168,8,300067.SZ,安诺其,2010-04-29,基础化工,化学制品,纺织化学制品,5.07,,,2.34,0.2,58.53,-400.98,-263.8,3.78,7.63
169,9,603790.SH,雅运股份,2018-09-19,基础化工,化学制品,纺织化学制品,20.94,70.37,69.93,3.18,0.57,40.07,0.56,4.02,-3.34,0.62
170,10,603188.SH,亚邦股份,2014-09-16,基础化工,化学制品,纺织化学制品,5.23,,,3.89,,29.82,243.05,-76.5,3.87,9.08
171,11,605566.SH,福莱蒽特,2021-11-01,基础化工,化学制品,纺织化学制品,30.4,184.1,132.41,2.03,0.33,40.54,24.92,24.78,-22.17,-24.36
