序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,838030,德众汽车,9.88,30.0,2.28,369763.0,347641128.49,30.26,9.88,7.58,7.61,7.6,9.32,32.88,-430.12,3.85,1766936048.0,1111243525.0,0.0,0.0,33.15,75.18
2,831834,三维装备,26.0,30.0,6.0,141745.0,331536376.59,26.7,26.0,20.66,21.01,20.0,2.23,22.57,72.74,11.04,3120000130.0,1632707414.0,0.0,0.0,111.38,265.17
3,300126,锐奇股份,10.07,20.02,1.68,273398.0,265210567.39,19.9,10.07,8.4,8.4,8.39,2.09,12.98,-106.29,2.92,3060853032.0,2121272729.0,0.0,0.0,41.63,96.3
4,300507,苏奥传感,10.44,20.0,1.74,2267980.0,2274645560.76,20.57,10.44,8.65,8.72,8.7,6.13,29.26,73.01,4.0,8358753709.0,8090913849.0,0.87,0.0,39.39,57.23
5,688205,德科立,140.4,20.0,23.4,227107.0,2989131947.0,22.56,140.4,114.0,115.9,117.0,1.66,14.35,395.52,9.82,22223260192.0,22223260192.0,0.0,0.0,132.84,101.23
6,688629,华丰科技,106.21,20.0,17.7,422650.0,4215660625.0,17.18,106.21,91.0,91.0,88.51,2.17,23.25,162.45,30.38,48962048581.0,19307177422.0,0.0,0.0,94.17,217.14
7,301042,安联锐视,54.92,19.99,9.15,104019.0,545859424.49,21.61,54.92,45.03,45.77,45.77,3.99,15.76,157.72,3.65,3829218849.0,3623793335.0,0.0,0.0,36.21,52.6
8,301013,利和兴,29.23,19.99,4.87,908313.0,2579469242.17,10.02,29.23,26.79,26.79,24.36,4.15,48.0,-90.05,8.6,6832309527.0,5531533079.0,0.0,0.0,76.19,149.83
9,301446,福事特,33.98,19.99,5.66,116324.0,375419884.07,21.75,33.98,27.82,28.39,28.32,5.67,36.61,35.77,3.05,3533920000.0,1079612560.0,0.0,0.0,49.04,54.88
10,301215,中汽股份,7.8,19.82,1.29,1542316.0,1169435012.71,18.89,7.81,6.58,6.58,6.51,15.02,11.66,60.75,3.6,10326420000.0,10314720000.0,0.0,0.0,28.29,32.2
11,300521,爱司凯,32.3,16.56,4.59,299542.0,946633824.94,19.49,33.25,27.85,27.95,27.71,3.79,20.08,-182.04,9.1,4818675500.0,4818675500.0,-0.12,0.34,41.67,57.95
12,300620,光库科技,123.16,15.0,16.06,432527.0,5190867684.01,23.26,128.52,103.61,105.01,107.1,1.77,17.5,295.83,15.31,30689075922.0,30433782485.0,0.03,-0.11,181.51,153.94
13,688403,汇成股份,15.48,14.16,1.92,948032.0,1485549691.0,20.43,16.27,13.5,13.74,13.56,4.01,11.28,67.71,4.07,13006614393.0,13006614393.0,0.13,-0.19,48.28,74.52
14,688028,沃尔德,47.6,13.79,5.77,202917.0,924310015.0,18.65,48.9,41.1,41.58,41.83,1.24,13.44,82.36,3.68,7185172400.0,7185172400.0,0.42,0.21,125.59,117.25
15,300912,凯龙高科,20.49,13.46,2.43,272006.0,518606368.59,22.37,21.38,17.34,17.87,18.06,3.37,31.68,-110.15,4.41,2355981180.0,1759291378.0,0.49,2.55,42.69,78.17
16,688339,亿华通-U,27.62,13.38,3.26,293128.0,809374773.0,19.83,29.23,24.4,24.4,24.36,4.74,14.97,-19.58,2.67,6398230477.0,5407640227.0,-0.04,-0.04,30.22,14.61
17,688062,迈威生物-U,54.75,13.21,6.39,446435.0,2469460049.0,10.92,58.03,52.75,58.03,48.36,3.05,21.87,-19.84,26.74,21878100000.0,11178307500.0,0.09,0.88,129.56,171.04
18,688081,兴图新科,32.16,12.92,3.68,160602.0,497038686.0,21.03,33.99,28.0,28.0,28.48,3.69,15.59,-54.52,8.17,3313766400.0,3313766400.0,-0.16,-1.05,70.16,104.32
19,300185,通裕重工,3.36,12.75,0.38,8380311.0,2857011207.46,20.13,3.58,2.98,2.98,2.98,8.09,22.61,107.79,1.96,13093925316.0,12456338698.0,0.0,0.0,20.43,30.74
20,688400,凌云光,50.02,12.46,5.54,458540.0,2230517372.0,21.09,53.28,43.9,45.0,44.48,1.88,9.95,120.0,5.76,23058056185.0,23058056185.0,0.14,0.83,86.16,128.4
21,688012,中微公司,253.18,11.43,25.98,386718.0,9712339312.0,20.11,271.95,226.26,227.6,227.2,2.54,6.18,112.28,7.6,158527468826.0,158527468826.0,0.14,0.07,41.69,34.06
22,688325,赛微微电,86.4,10.77,8.4,58129.0,485980760.0,21.78,92.99,76.0,77.17,78.0,0.99,10.8,94.58,4.4,7442410896.0,4652027942.0,0.0,0.09,95.74,77.7
23,688519,南亚新材,81.07,10.36,7.61,115543.0,926311453.0,21.4,88.0,72.28,73.05,73.46,1.61,4.92,109.15,7.37,19032885132.0,19032885132.0,0.09,-0.05,86.07,282.95
24,600157,永泰能源,1.71,10.32,0.16,21453842.0,3626473264.0,8.39,1.71,1.58,1.58,1.55,2.05,9.83,148.14,0.79,37308376688.0,37308376688.0,0.0,0.0,27.61,0.0
25,301389,隆扬电子,72.85,10.26,6.78,281045.0,1999164450.48,16.36,75.84,65.03,65.03,66.07,1.27,34.24,189.27,9.37,20652975000.0,5979312874.0,0.05,0.52,206.09,346.38
26,600337,美克家居,2.7,10.2,0.25,1754320.0,463009596.0,8.16,2.7,2.5,2.51,2.45,3.09,12.21,-22.05,1.46,3879894970.0,3879894970.0,0.0,0.0,24.42,46.74
27,300602,飞荣达,35.69,10.19,3.3,952694.0,3336766909.99,19.36,38.0,31.73,32.37,32.39,2.71,24.09,62.52,5.42,20766705852.0,14111964227.0,0.0,-0.25,72.92,86.08
28,600400,红豆股份,3.03,10.18,0.28,1361998.0,405672812.0,12.0,3.03,2.7,2.72,2.75,1.08,5.94,-31.84,2.85,6942856712.0,6942856712.0,0.0,0.0,39.63,21.69
29,600527,江南高纤,2.6,10.17,0.24,3192350.0,814818525.0,11.02,2.6,2.34,2.35,2.36,3.76,18.43,144.55,2.19,4502578345.0,4502578345.0,0.0,0.0,26.21,20.37
30,603618,杭电股份,9.19,10.06,0.84,1468459.0,1271058893.0,10.9,9.19,8.28,8.94,8.35,4.06,21.24,84.01,2.17,6353741911.0,6353741911.0,0.0,0.0,53.42,71.14
31,002059,云南旅游,6.68,10.05,0.61,1196408.0,764900739.28,12.03,6.68,5.95,6.07,6.07,2.31,12.17,-34.89,5.11,6763064551.0,6566747667.0,0.0,0.0,25.33,23.93
32,600056,中国医药,12.05,10.05,1.1,1405607.0,1658927277.0,10.68,12.05,10.88,10.93,10.95,10.78,9.4,30.66,1.54,18025350963.0,18018985310.0,0.0,0.0,17.33,9.45
33,603158,腾龙股份,11.96,10.03,1.09,1146205.0,1345291871.0,10.12,11.96,10.86,10.86,10.87,2.37,23.35,32.34,2.58,5869959700.0,5869959700.0,0.0,0.0,51.2,51.01
34,603359,东珠生态,10.42,10.03,0.95,955808.0,958890764.0,11.19,10.42,9.36,9.36,9.47,1.6,21.43,-243.65,1.74,4648320320.0,4648320320.0,0.0,0.0,57.4,88.43
35,000559,万向钱潮,11.52,10.03,1.05,4402733.0,5004306115.09,6.69,11.52,10.82,11.09,10.47,4.83,13.33,35.58,4.16,38059676283.0,38059531649.0,0.0,0.0,50.2,92.96
36,002062,宏润建设,11.31,10.02,1.03,734158.0,825670243.01,7.1,11.31,10.58,10.58,10.28,1.36,6.53,48.86,2.82,13993533755.0,12720289400.0,0.0,0.0,136.12,125.75
37,605089,味知香,30.09,10.02,2.74,78152.0,222634129.0,12.29,30.09,26.73,27.6,27.35,1.94,5.66,64.99,3.45,4152420000.0,4152420000.0,0.0,0.0,20.84,22.42
38,600498,烽火通信,28.88,10.02,2.63,1516218.0,4283497533.0,10.32,28.88,26.17,26.25,26.25,3.52,13.0,64.05,2.54,36707098898.0,33691140109.0,0.0,0.0,40.47,49.79
39,002476,宝莫股份,6.04,10.02,0.55,1016471.0,598245360.72,10.93,6.04,5.44,5.49,5.49,5.49,16.61,116.59,3.94,3696480000.0,3696041043.0,0.0,0.0,22.27,43.47
40,603988,中电电机,31.86,10.01,2.9,303179.0,953796297.0,7.11,31.86,29.8,30.29,28.96,3.04,12.89,107.14,11.24,7493472000.0,7493472000.0,0.0,0.0,22.54,30.63
