标题,摘要,发布时间,链接
众议院休会无法审议拨款法案 美联邦政府部分“停摆”,【众议院休会无法审议拨款法案 美联邦政府部分“停摆”】当地时间30日晚，美国参议院以71票赞成、29票反对的结果，通过了1.2万亿美元的联邦政府多个部门剩余财年拨款法案，为国会避免政府长期停摆铺平了道路。但由于众议院预计要到下周一（2月2日）才能复会并安排投票，相关拨款无法在现有预算授权到期前完成立法程序。美国联邦政府于当地时间1月31日零时进入技术性、部分“停摆”状态。,2026-01-31 13:00:54,https://finance.eastmoney.com/a/202601313637742725.html
蓝色光标董事长赵文权拟减持套现逾4亿元 公司股价年内已翻倍,【蓝色光标董事长赵文权拟减持套现逾4亿元 公司股价年内已翻倍】1月30日，北京蓝色光标数据科技集团股份有限公司公告，公司董事长赵文权计划自公告披露之日起十五个交易日后的三个月内，以集中竞价方式或大宗交易方式减持本公司股份不超过2000万股（占公司总股本比例0.5571%）。董事、副总经理熊剑计划自本公告披露之日起十五个交易日后的三个月内以集中竞价方式减持本公司股份不超过35.45万股（占公司总股本比例0.0099%）。,2026-01-31 12:55:25,https://finance.eastmoney.com/a/202601313637743760.html
突然跳涨！贵州茅台突传重大信号！,【突然跳涨！贵州茅台突传重大信号！】1月28日、29日、30日，飞天茅台批发价格连续三日上扬。1月30日，根据某第三方平台信息，2026年飞天（原装）最新价格为1770元/瓶，较上一日上涨160元。2026年飞天散瓶最新价格1700元/瓶，上涨130元/瓶，2025年飞天原箱也上涨了150元。Wind平台也显示，1月30日当天原装的飞天茅台价格来到了1710元/瓶，较昨日上涨100元。,2026-01-31 12:37:54,https://finance.eastmoney.com/a/202601313637742550.html
雷军：将于2月1日晚8点在北京小米汽车工厂实验室直播,【雷军：将于2月1日晚8点在北京小米汽车工厂实验室直播】1月31日，雷军在微博平台发文宣布，将于2月1日晚8点在北京小米汽车工厂实验室直播。,2026-01-31 12:36:12,https://finance.eastmoney.com/a/202601313637742480.html
我国成功发射阿尔及利亚遥感三号卫星B星,【我国成功发射阿尔及利亚遥感三号卫星B星】1月31日消息，我国成功发射阿尔及利亚遥感三号卫星B星。,2026-01-31 12:27:20,https://finance.eastmoney.com/a/202601313637741147.html
钙钛矿电池取得新突破 这些公司透露布局情况,【钙钛矿电池取得新突破 这些公司透露布局情况】作为光伏技术新方向，钙钛矿电池凭借高转换效率、低成本潜力等优势备受关注。据科技日报，在国家自然科学基金等项目资助下，暨南大学教授麦耀华团队与上海交通大学教授韩礼元团队合作，采用非晶钝化策略提升大面积柔性钙钛矿组件的效率与稳定性。近日，相关成果发表于《自然—能源》。,2026-01-31 12:18:15,https://finance.eastmoney.com/a/202601313637737940.html
寒武纪预计2025年扭亏为盈：AI算力需求持续攀升,【寒武纪预计2025年扭亏为盈：AI算力需求持续攀升】寒武纪30日晚间披露业绩预告显示，公司预计2025年年度实现归属于母公司所有者的净利润与上年同期相比，将实现扭亏为盈。,2026-01-31 12:07:08,https://finance.eastmoney.com/a/202601313637735252.html
将取消9.9元咖啡活动 库迪咖啡回应：部分产品将延续,【将取消9.9元咖啡活动 库迪咖啡回应：部分产品将延续】1月31日，关于库迪咖啡宣布将取消9.9元咖啡活动，库迪咖啡方面回应北京商报记者称，部分产品延续特价9.9元不限量，全线产品持续参与外卖平台各类补贴活动，公司始终致力于为消费者提供高品质高性价比的咖啡产品。,2026-01-31 12:03:14,https://finance.eastmoney.com/a/202601313637735149.html
中信证券：当前建议关注宽基产品中的创业板50、创业板大盘、深证100等ETF,【中信证券：当前建议关注宽基产品中的创业板50、创业板大盘、深证100等ETF】据中信证券研报，近期市场呈现显著的结构性分化。ETF市场中，宽基ETF资金显著流出，引导资本市场长期稳健运行，而科技与周期等主题ETF仍获资金青睐。核心宽基板块上，交易热度与短期市场情绪聚焦于大盘指数，但SDISS框架监测显示，以创业板50为代表的成长板块在景气度与估值维度具备显著优势，财务质量得分领先，或进入新一轮盈利改善周期，中长期配置价值凸显。,2026-01-31 12:00:56,https://finance.eastmoney.com/a/202601313637735083.html
中信证券：结构性转型将推动液冷市场空间的快速成长,【中信证券：结构性转型将推动液冷市场空间的快速成长】中信证券表示，在AI算力需求与芯片功耗持续攀升的背景下，AI加速芯片的TDP已突破风冷散热的物理极限，全球各大云服务商（CSP）正明确将液冷定为下一代架构的默认标准，这种结构性转型将推动液冷市场空间的快速成长。,2026-01-31 12:00:00,https://finance.eastmoney.com/a/202601313637734993.html
中国银行业协会发布催收新规 严设“红线”打击金融黑灰产,【中国银行业协会发布催收新规 严设“红线”打击金融黑灰产】近日，中国银行业协会正式发布《金融机构个人消费类贷款催收工作指引（试行）》，旨在规范信用卡及个人消费信贷催收行为，保护债务人合法权益，促进行业健康发展。,2026-01-31 11:58:24,https://finance.eastmoney.com/a/202601313637734881.html
1月制造业PMI回落至49.3% 超3成企业反映利润下降,【1月制造业PMI回落至49.3% 超3成企业反映利润下降】随着部分制造业行业进入传统淡季，加之市场有效需求仍显不足，1月份制造业PMI再度回到荣枯线之下。,2026-01-31 11:41:59,https://finance.eastmoney.com/a/202601313637734733.html
我国计划向日地引力平衡L5点发射“羲和二号”,【我国计划向日地引力平衡L5点发射“羲和二号”】记者1月31日从日地L5太阳探测工程“羲和二号”项目启动会暨科学研讨会上了解到，我国计划2028年至2029年间，择机向日地L5点发射“羲和二号”。羲和是《山海经》中的太阳之母，是《楚辞》中驾车控制太阳东升西落的神，也是中国古代观测天象与制定历法的官职。2021年10月，我国成功发射首颗太阳探测科学技术试验卫星“羲和号”，正式步入空间探日时代。,2026-01-31 11:34:33,https://finance.eastmoney.com/a/202601313637734675.html
一觉醒来 金饰克价一夜大跌上百元 多品牌设置1-5%退货手续费,【一觉醒来 金饰克价一夜大跌上百元 多品牌设置1-5%退货手续费】金价跌了，有人发问：之前买的金条金饰可以退吗？有黄金品牌柜姐在社群中发布声明称：不能因为金价降了就要退货，不接受任何理由，退单一律扣500元。柜姐提醒称：“下单要为自己的行为负责，老板不会因为特殊情况特殊处理。”,2026-01-31 11:16:28,https://finance.eastmoney.com/a/202601313637720650.html
