标题,摘要,发布时间,链接
灵心巧手向福莱新材采购10万套触觉传感器,【灵心巧手向福莱新材采购10万套触觉传感器】2月5日，浙江福莱新材料股份有限公司与灵心巧手（北京）科技有限公司正式签署全面战略合作协议，灵心巧手向福莱新材采购10万套触觉传感器。,2026-02-05 21:53:58,https://finance.eastmoney.com/a/202602053643073653.html
特朗普政府将取消5万名联邦雇员的工作保护,据政府声明，特朗普政府将取消5万名联邦雇员的工作保护。,2026-02-05 21:52:45,https://finance.eastmoney.com/a/202602053643072565.html
加拿大鹅股票延续跌势 跌幅已达23%,加拿大鹅股票延续跌势，跌幅已达23%。,2026-02-05 21:50:44,https://finance.eastmoney.com/a/202602053643071232.html
首个超大规模多模态记忆平台MemoryLak发布,【首个超大规模多模态记忆平台MemoryLak发布】质变科技正式发布业内首个具备超大规模实践能力的多模态记忆平台——MemoryLake。该平台首次将“多模态内容深度理解、多模态记忆存储、记忆计算与管理”全栈能力融于一体，由 MemoryLake-D1 大模型、MemoryLake 记忆引擎和多模态存储与计算平台构成。,2026-02-05 21:49:17,https://finance.eastmoney.com/a/202602053643069812.html
上交所就红豆股份控股股东股份司法冻结相关事项下发监管工作函,【上交所就红豆股份控股股东股份司法冻结相关事项下发监管工作函】上交所就红豆股份控股股东股份司法冻结相关事项下发监管工作函，涉及对象：上市公司，控股股东及实际控制人。,2026-02-05 21:45:23,https://finance.eastmoney.com/a/202602053643067197.html
信维通信：与北美科技客户在AI终端、商业卫星及智能汽车领域合作持续扩大,【信维通信：与北美科技客户在AI终端、商业卫星及智能汽车领域合作持续扩大】信维通信在互动平台表示，公司在AI智能终端、商业卫星通信、智能汽车等业务领域均和北美科技客户有合作，业务合作规模持续扩大。,2026-02-05 21:38:12,https://finance.eastmoney.com/a/202602053643063986.html
天津：严禁使用AI开处方,【天津：严禁使用AI开处方】天津印发并施行《天津市互联网诊疗监管实施办法（试行）》。医疗机构开展互联网诊疗活动需严格遵守《处方管理办法》等规定，处方应由接诊医师本人开具，在线开具的处方必须有医师电子签名，经药师审核合格后方可生效，严禁使用AI（人工智能）等自动生成处方。,2026-02-05 21:37:34,https://finance.eastmoney.com/a/202602053643063532.html
欣旺达：人形机器人电池处于研发与客户对接阶段,【欣旺达：人形机器人电池处于研发与客户对接阶段】欣旺达在互动平台表示，关于人形机器人领域，公司正处于积极研发与客户对接阶段，未来有望实现应用。基于公司与客户签订的保密协议，具体的合作厂商信息及进展不便对外披露。,2026-02-05 21:36:39,https://finance.eastmoney.com/a/202602053643059046.html
实探水贝黄金市场 上游料商不放料了  拿现货每克要加几十元 门店：亏太多卖干脆关门,【实探水贝黄金市场 上游料商不放料了  拿现货每克要加几十元 门店：亏太多卖干脆关门】近日，金价、银价暴涨暴跌坐起“过山车”，剧烈波动之下市场没有现货卖了。第一财经记者实探深圳水贝，多位水贝黄金门店工作人员告诉记者，上游料商不放料了，根本拿不到货。还有门店负责人表示，今日已经不看大盘金价了，要拿现货每克要加几十元，亏太多卖干脆关门。,2026-02-05 21:33:34,https://finance.eastmoney.com/a/202602053643053951.html
特朗普今日将推出TrumpRx处方药直销网站,据报道，特朗普今日将推出TrumpRx处方药直销网站。,2026-02-05 21:32:43,https://finance.eastmoney.com/a/202602053643053381.html
