标题,摘要,发布时间,链接
特朗普政府据悉正逐步取消关键矿产“价格下限”保障,【特朗普政府据悉正逐步取消关键矿产“价格下限”保障】据报道，特朗普政府正在放弃为美国关键矿产项目提供最低价格保障的计划，这实际上承认了美国国会拨款不足以及市场定价的复杂性，美国参议院一个委员会正在审查去年给予MPMaterials的价格下限。,2026-01-29 15:56:31,https://finance.eastmoney.com/a/202601293635210315.html
欧盟对华蜡烛作出反倾销终裁,【欧盟对华蜡烛作出反倾销终裁】据中国贸易救济信息网消息，2026年1月26日，欧盟委员会发布公告，对原产于中国的蜡烛作出反倾销终裁，裁定宁波旷世居家用品有限公司、宁波旷世智源工艺设计有限公司和安徽芬缘芳香科技有限公司反倾销税均为56.7%、青岛金王应用化学股份有限公司反倾销税为60.3%、其他合作企业反倾销税为58.1%、中国其他生产商/出口商反倾销税为60.3%。,2026-01-29 15:55:24,https://finance.eastmoney.com/a/202601293635211346.html
金丹科技：预计2025年度归母净利润同比增长156.06%-268.09%,【金丹科技：预计2025年度归母净利润同比增长156.06%-268.09%】金丹科技1月29日公告，预计2025年度归母净利润9600万元-1.38亿元，同比增长156.06%-268.09%。,2026-01-29 15:54:49,https://finance.eastmoney.com/a/202601293635208637.html
南桑威奇群岛地区发生6.5级地震，或引发局地海啸,"【南桑威奇群岛地区发生6.5级地震，或引发局地海啸】据国家海洋环境预报中心消息，2026年01月29日15时30分（北京时间），南桑威奇群岛地区[大西洋]海域（57.85°S,25.70°W）发生6.5级地震，震源深度为88千米。自然资源部海啸预警中心根据初步地震参数判断，地震可能会在震源周围引发局地海啸，但由于震源位于太平洋范围之外，不会对我国沿岸造成影响。",2026-01-29 15:54:38,https://finance.eastmoney.com/a/202601293635207324.html
金钼股份：2025年度净利润同比增长6.89%,【金钼股份：2025年度净利润同比增长6.89%】1月29日，金钼股份(601958.SH)公告称，2025年实现营业总收入140.56亿元，同比上升3.57%；实现归属于上市公司股东的净利润31.88亿元，同比上升6.89%。公司通过精细管理、强化产销协同等举措，实现经营指标同比提升。,2026-01-29 15:53:20,https://finance.eastmoney.com/a/202601293635207875.html
和林微纳：预计2025年净利润2600万元~3300万元 同比扭亏为盈,【和林微纳：预计2025年净利润2600万元~3300万元 同比扭亏为盈】1月29日，和林微纳(688661.SH)公告称，预计2025年归属于上市公司股东的净利润为2600万元至3300万元，同比扭亏为盈；扣除非经常性损益的净利润为2200万元至2700万元。,2026-01-29 15:53:20,https://finance.eastmoney.com/a/202601293635207669.html
福田汽车2025年净利预增超15倍,【福田汽车2025年净利预增超15倍】1月29日，北汽福田汽车股份有限公司（简称福田汽车）披露2025年度业绩预增公告。经初步测算，福田汽车预计2025年实现归属于母公司所有者的净利润13.3亿元，与上年同期相比，将增加12.5亿元，同比增加1551%左右。,2026-01-29 15:52:41,https://finance.eastmoney.com/a/202601293635206951.html
英伟达、亚马逊和微软据称拟向OpenAI投资至多600亿美元,【英伟达、亚马逊和微软据称拟向OpenAI投资至多600亿美元】OpenAI或迎来新一轮的投资天团。据报道，英伟达、亚马逊和微软正在洽谈向OpenAI投资高达600亿美元。,2026-01-29 15:50:27,https://finance.eastmoney.com/a/202601293635205335.html
联赢激光：公司产品暂无应用于卫星等商业航天领域,【联赢激光：公司产品暂无应用于卫星等商业航天领域】联赢激光（688518.SH）1月29日在投资者互动平台表示，公司产品暂无应用于卫星等商业航天领域。,2026-01-29 15:50:26,https://finance.eastmoney.com/a/202601293635205097.html
博威合金：目前公司尚无太空光伏技术储备,【博威合金：目前公司尚无太空光伏技术储备】博威合金（601137.SH）1月29日在投资者互动平台表示，公司的新能源业务的研发团队持续在研发包括HJT、钙钛矿技术在内的新产品新技术，目前公司尚无太空光伏技术储备。,2026-01-29 15:50:23,https://finance.eastmoney.com/a/202601293635204931.html
中国金币集团提示纪念币投资风险,【中国金币集团提示纪念币投资风险】中国金币集团发布公告，近期贵金属原材料价格持续大幅攀升，特提醒广大贵金属纪念币集藏爱好者，理性参与投资，注意管控风险。,2026-01-29 15:49:41,https://finance.eastmoney.com/a/202601293635204068.html
德国政府下调2026年经济增长预期至1%,【德国政府下调2026年经济增长预期至1%】德国联邦政府28日发布年度经济报告，预计2026年德国经济将增长1%，较去年秋季预测值下调0.3个百分点。,2026-01-29 15:49:18,https://finance.eastmoney.com/a/202601293635203914.html
国家能源局局长王宏志会见俄罗斯能源部部长,【国家能源局局长王宏志会见俄罗斯能源部部长】1月27日，中国国家能源局局长王宏志在京会见俄罗斯能源部部长齐维廖夫，双方就深化中俄能源领域合作进行交流。,2026-01-29 15:48:45,https://finance.eastmoney.com/a/202601293635203578.html
