序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3260,600655,豫园股份,5.28,0.0,0.0,232028.0,122524806.0,1.7,5.33,5.24,5.25,5.28,1.42,0.6,-31.6,0.6,20552179681.0,20538388321.0,-0.19,-0.19,-9.12,2.92
3261,002481,双塔食品,5.13,0.0,0.0,90115.0,45980558.89,1.17,5.14,5.08,5.11,5.13,0.62,0.81,137.8,2.57,6328863045.0,5735160963.0,0.2,0.2,-10.63,0.39
3262,600617,国新能源,3.23,0.0,0.0,270055.0,86960943.0,2.79,3.28,3.19,3.27,3.23,0.83,1.52,-506.69,1.84,6231289436.0,5735002885.0,0.0,0.31,-11.51,2.87
3263,000509,华塑控股,3.43,0.0,0.0,131688.0,45041290.78,1.46,3.44,3.39,3.41,3.43,0.86,1.23,-280.1,29.62,3680829218.0,3680818091.0,0.0,0.29,-3.92,-1.15
3264,601018,宁波港,3.69,0.0,0.0,774617.0,285147791.0,1.36,3.71,3.66,3.69,3.69,1.42,0.4,13.9,0.9,71786693192.0,71786693192.0,0.0,0.27,-3.91,1.65
3265,002482,广田集团,1.7,0.0,0.0,419673.0,71220166.8,1.76,1.71,1.68,1.7,1.7,0.84,1.12,-50.12,13.29,6376636017.0,6364051662.0,0.0,0.0,-10.99,0.59
3266,000503,国新健康,9.94,0.0,0.0,230334.0,229475462.0,2.52,10.1,9.85,9.87,9.94,0.42,2.35,-52.74,7.68,9733769572.0,9733180408.0,0.1,0.2,0.81,11.94
3267,601880,辽港股份,1.63,0.0,0.0,796581.0,129741948.0,1.23,1.64,1.62,1.63,1.63,0.74,0.43,22.16,0.95,38421980557.0,30013273479.0,0.0,0.0,-8.43,1.88
3268,002717,ST岭南,1.63,0.0,0.0,270906.0,44128864.3,2.45,1.65,1.61,1.62,1.63,0.77,1.68,-10.79,3.46,2966980700.0,2632776114.0,0.0,0.0,-11.89,0.62
3269,688656,浩欧博,148.91,-0.01,-0.02,5847.0,87073331.0,3.32,150.95,146.01,148.94,148.93,0.61,0.92,270.71,11.4,9452768083.0,9452768083.0,-0.04,0.34,1.38,-3.18
3270,688525,佰维存储,190.36,-0.01,-0.02,392439.0,7522223748.0,7.19,199.38,185.69,193.39,190.38,0.86,8.4,2192.82,18.83,88923192316.0,88923192316.0,0.0,0.03,48.94,65.83
3271,688585,上纬新材,151.86,-0.01,-0.02,34794.0,529330020.0,3.67,154.42,148.85,148.85,151.88,0.71,0.86,758.76,45.92,61254512014.0,61254512014.0,0.04,-0.03,45.46,19.23
3272,688648,中邮科技,65.97,-0.02,-0.01,23841.0,157454769.0,2.83,67.0,65.13,65.5,65.98,0.55,3.43,10.01,4.02,8971920000.0,4586823116.0,0.23,0.0,5.89,7.34
3273,300765,新诺威,38.69,-0.03,-0.01,65938.0,257167608.35,3.51,39.66,38.3,38.75,38.7,0.61,0.47,-1694.79,14.74,54343701003.0,54343701003.0,0.0,-0.05,6.47,7.26
3274,603816,顾家家居,33.79,-0.03,-0.01,77669.0,259917686.0,2.87,34.07,33.1,33.76,33.8,1.16,0.96,13.53,2.69,27756846827.0,27443096945.0,0.24,0.33,10.82,9.92
3275,920239,长虹能源,32.93,-0.03,-0.01,17026.0,56176086.1,1.7,33.27,32.71,33.11,32.94,0.49,0.95,25.46,5.88,5995703538.0,5908784934.0,-0.06,0.03,-5.1,1.32
3276,688255,凯尔达,37.73,-0.03,-0.01,41404.0,155108006.0,3.07,38.11,36.95,37.62,37.74,1.24,3.77,243.76,3.91,4144975165.0,4144975165.0,0.27,0.21,3.4,3.0
3277,688246,嘉和美康,27.49,-0.04,-0.01,64642.0,179243247.0,6.29,28.71,26.98,27.12,27.5,0.47,4.7,-16.34,2.74,3782228089.0,3782228089.0,0.62,0.51,8.19,18.24
3278,920344,三元基因,25.23,-0.04,-0.01,7655.0,19346926.72,2.06,25.52,25.0,25.13,25.24,0.37,0.68,-161.42,5.07,3073266300.0,2860571496.0,0.0,0.24,-2.96,7.59
3279,600612,老凤祥,46.08,-0.04,-0.02,21419.0,98584787.0,1.17,46.3,45.76,46.17,46.1,1.02,0.68,12.58,1.87,24105266565.0,14612411750.0,0.02,0.11,-5.36,3.62
3280,002625,光启技术,49.6,-0.04,-0.02,251552.0,1254524356.2,2.6,50.47,49.18,49.28,49.62,0.58,1.17,132.3,11.2,106867557955.0,106867086755.0,0.04,0.16,6.71,1.72
3281,920950,迅安科技,19.0,-0.05,-0.01,2952.0,5641740.5,1.63,19.28,18.97,19.01,19.01,0.67,0.83,33.67,4.53,1393080000.0,678681900.0,0.0,-0.26,-10.92,5.26
3282,688320,禾川科技,37.68,-0.05,-0.02,36673.0,137689480.0,3.05,37.98,36.83,37.4,37.7,0.67,2.43,-46.57,4.55,5690195010.0,5690195010.0,-0.05,-0.03,-7.62,0.96
3283,603823,百合花,18.99,-0.05,-0.01,132817.0,252682688.0,3.95,19.45,18.7,19.2,19.0,0.95,3.23,43.79,3.25,7906822699.0,7805488261.0,-0.21,0.69,25.6,26.18
3284,603180,金牌家居,20.55,-0.05,-0.01,9099.0,18596086.0,1.12,20.55,20.32,20.53,20.56,0.59,0.59,36.74,1.14,3169984227.0,3169984227.0,0.0,0.2,1.48,0.78
3285,603155,新亚强,18.36,-0.05,-0.01,65592.0,119955698.0,2.72,18.51,18.01,18.37,18.37,1.0,2.08,55.15,2.67,5797845648.0,5797845648.0,0.11,0.11,15.84,7.18
3286,601233,桐昆股份,19.85,-0.05,-0.01,302978.0,599831772.0,3.83,20.13,19.37,19.88,19.86,0.67,1.26,23.07,1.26,47644513156.0,47558577146.0,0.0,0.1,37.09,15.34
3287,920016,中草香料,20.14,-0.05,-0.01,5945.0,11957657.12,1.54,20.3,19.99,20.23,20.15,0.69,1.76,70.16,4.08,1550416050.0,679492746.0,0.1,0.4,-7.95,4.14
3288,300486,东杰智能,21.26,-0.05,-0.01,152197.0,323636811.72,3.43,21.63,20.9,21.03,21.27,0.53,3.19,910.84,6.05,10144186379.0,10141137504.0,-0.09,-0.19,1.0,8.41
3289,688070,纵横股份,57.02,-0.05,-0.03,10016.0,57113131.0,2.4,57.46,56.09,56.09,57.05,0.45,1.14,-189.05,8.29,4993811600.0,4993811600.0,0.46,0.21,7.38,2.92
3290,603960,克来机电,20.88,-0.05,-0.01,70119.0,145966219.0,2.15,21.0,20.55,20.74,20.89,0.55,2.67,179.91,4.9,5474692152.0,5474692152.0,0.1,0.24,6.04,5.24
3291,920679,前进科技,21.18,-0.05,-0.01,3880.0,8252113.5,1.56,21.42,21.09,21.15,21.19,0.81,1.06,61.87,2.37,1182903000.0,775188000.0,-0.19,-0.38,-7.27,6.17
3292,603896,寿仙谷,21.44,-0.05,-0.01,23321.0,49862441.0,1.12,21.53,21.29,21.43,21.45,0.37,1.18,41.76,1.9,4250349452.0,4250349452.0,0.0,0.14,5.0,10.63
