日期,样本代码,样本简称,所属行业,总市值(亿元),权重（%）
2026-01-30,29,深深房Ａ,房地产,196.88,0.01
2026-01-30,30,富奥股份,可选消费,91.63,0.0
2026-01-30,31,大悦城,房地产,167.59,0.01
2026-01-30,34,神州数码,信息技术,275.2,0.04
2026-01-30,35,中国天楹,工业,145.91,0.02
2026-01-30,37,深南电A,公用事业,31.45,0.0
2026-01-30,2120,韵达股份,工业,198.89,0.02
2026-01-30,2121,科陆电子,工业,151.63,0.02
2026-01-30,2124,天邦食品,主要消费,61.1,0.01
2026-01-30,2125,湘潭电化,原材料,88.19,0.01
2026-01-30,2126,银轮股份,可选消费,312.0,0.05
2026-01-30,2132,恒星科技,原材料,55.36,0.01
2026-01-30,2133,广宇集团,房地产,29.19,0.0
2026-01-30,2135,东南网架,工业,66.93,0.01
2026-01-30,2136,安 纳 达,原材料,28.45,0.0
2026-01-30,2138,顺络电子,信息技术,317.69,0.05
2026-01-30,2139,拓邦股份,信息技术,160.34,0.02
2026-01-30,2140,东华科技,工业,88.5,0.01
2026-01-30,2142,宁波银行,金融,2043.81,0.19
2026-01-30,2145,钛能化学,原材料,199.09,0.02
2026-01-30,2146,荣盛发展,房地产,70.44,0.01
2026-01-30,2149,西部材料,原材料,240.35,0.03
2026-01-30,2152,广电运通,信息技术,320.11,0.03
2026-01-30,45,深纺织Ａ,信息技术,57.81,0.01
2026-01-30,49,德赛电池,信息技术,100.2,0.01
2026-01-30,50,深天马Ａ,信息技术,238.4,0.03
2026-01-30,55,方大集团,工业,28.89,0.0
2026-01-30,56,皇庭国际,房地产,18.88,0.0
2026-01-30,58,深 赛 格,房地产,88.82,0.01
2026-01-30,59,华锦股份,能源,96.93,0.01
2026-01-30,60,中金岭南,原材料,341.97,0.05
2026-01-30,65,北方国际,工业,135.21,0.01
2026-01-30,66,中国长城,信息技术,511.93,0.06
2026-01-30,78,海王生物,医药卫生,97.09,0.01
2026-01-30,88,盐 田 港,工业,238.14,0.01
2026-01-30,89,深圳机场,工业,148.48,0.01
2026-01-30,96,广聚能源,能源,60.14,0.01
2026-01-30,99,中信海直,工业,153.76,0.02
2026-01-30,151,中成股份,工业,45.21,0.01
2026-01-30,153,丰原药业,医药卫生,30.58,0.0
2026-01-30,2153,石基信息,信息技术,349.34,0.02
2026-01-30,2448,中原内配,可选消费,77.79,0.01
2026-01-30,2449,国星光电,信息技术,52.57,0.01
2026-01-30,2451,摩恩电气,工业,45.17,0.01
2026-01-30,2452,长高电新,工业,62.22,0.01
2026-01-30,2454,松芝股份,可选消费,58.14,0.01
2026-01-30,2456,欧菲光,信息技术,328.12,0.05
2026-01-30,2457,青龙管业,工业,41.62,0.01
2026-01-30,2458,益生股份,主要消费,106.55,0.01
2026-01-30,2462,嘉事堂,医药卫生,47.84,0.01
2026-01-30,2466,天齐锂业,原材料,805.74,0.1
2026-01-30,2468,申通快递,工业,196.86,0.01
2026-01-30,2470,金正大,原材料,64.08,0.01
2026-01-30,2471,中超控股,工业,107.17,0.02
2026-01-30,2472,双环传动,可选消费,352.93,0.05
2026-01-30,2474,榕基软件,信息技术,54.57,0.01
2026-01-30,2475,立讯精密,信息技术,3766.11,0.45
2026-01-30,2476,宝莫股份,原材料,40.27,0.01
2026-01-30,2478,常宝股份,原材料,89.09,0.01
