,,,市值,市值,市值,市值,市值,市值,市值,市值
,,,count,mean,std,min,25%,50%,75%,max
行业,行业2,行业3,,,,,,,,
基础化工,农化制品,农药,30.0,84.82,72.15,24.74,31.7,45.13,131.88,297.23
基础化工,农化制品,复合肥,10.0,94.16,61.65,25.72,54.5,72.32,127.41,208.41
基础化工,农化制品,氮肥,6.0,195.06,289.43,36.99,49.24,72.14,145.36,777.72
基础化工,农化制品,磷肥及磷化工,9.0,263.09,203.69,33.96,80.88,222.56,421.86,656.82
基础化工,化学制品,其他化学制品,73.0,69.95,62.34,17.04,37.73,53.84,73.8,400.32
基础化工,化学制品,有机硅,10.0,120.73,165.83,14.96,48.39,67.24,111.96,579.4
基础化工,化学制品,民爆制品,13.0,122.93,102.99,20.97,49.6,92.06,158.41,369.59
基础化工,化学制品,氟化工,10.0,300.9,294.63,59.99,91.77,204.26,400.62,1025.9
基础化工,化学制品,涂料油墨,16.0,45.06,23.77,19.14,31.43,34.94,55.14,108.58
基础化工,化学制品,纺织化学制品,12.0,86.67,124.55,29.53,41.29,42.94,50.69,471.08
基础化工,化学制品,聚氨酯,8.0,377.25,902.12,24.1,37.35,63.02,88.08,2608.94
基础化工,化学制品,食品及饲料添加剂,22.0,122.64,176.95,24.44,41.79,61.02,116.88,842.12
基础化工,化学原料,其他化学原料,14.0,116.64,188.08,29.42,44.21,55.96,105.45,760.3
基础化工,化学原料,无机盐,10.0,99.49,67.75,26.71,51.92,82.3,121.65,249.48
基础化工,化学原料,氯碱,14.0,127.15,112.42,29.28,64.54,101.08,158.41,475.9
基础化工,化学原料,煤化工,8.0,314.61,547.83,31.61,57.47,94.8,235.7,1647.81
基础化工,化学原料,钛白粉,6.0,136.91,186.86,27.48,30.9,38.42,154.94,494.97
基础化工,化学纤维,涤纶,10.0,92.43,87.17,23.97,33.44,74.26,93.34,313.25
基础化工,化学纤维,粘胶,4.0,80.96,39.28,35.25,54.7,86.76,113.02,115.08
基础化工,塑料,其他塑料制品,20.0,60.16,34.4,19.33,36.77,41.76,88.94,132.92
基础化工,塑料,合成树脂,14.0,125.68,156.17,22.49,35.55,48.34,127.9,551.11
基础化工,塑料,改性塑料,18.0,90.25,112.83,24.0,32.68,52.32,71.91,497.98
基础化工,塑料,膜材料,20.0,91.28,66.32,24.55,53.58,77.77,102.07,281.84
基础化工,橡胶,其他橡胶制品,9.0,60.94,27.81,29.1,42.04,50.78,80.62,116.83
基础化工,橡胶,炭黑,6.0,52.08,24.94,29.62,32.04,45.32,67.08,90.25
基础化工,非金属材料Ⅱ,非金属材料Ⅲ,7.0,120.88,58.54,42.93,87.78,109.26,148.86,220.68
家用电器,厨卫电器,厨房电器,6.0,74.45,60.78,27.57,48.34,56.93,62.23,195.79
家用电器,家电零部件Ⅱ,家电零部件Ⅲ,30.0,140.16,392.67,26.96,38.82,47.89,84.04,2202.05
家用电器,小家电,厨房小家电,9.0,89.85,102.34,25.74,38.23,52.4,79.58,352.92
家用电器,照明设备Ⅱ,照明设备Ⅲ,12.0,63.24,35.31,23.85,39.73,52.89,75.54,143.78
家用电器,白色家电,冰洗,7.0,401.23,865.52,27.09,64.98,85.46,101.48,2363.16
家用电器,白色家电,空调,3.0,2800.43,2851.18,331.54,1240.12,2148.7,4034.88,5921.06
家用电器,黑色家电,其他黑色家电,6.0,86.55,51.39,29.41,49.89,75.05,122.29,160.27
建筑材料,水泥,水泥制品,6.0,42.78,19.45,23.6,28.03,40.03,50.21,75.36
建筑材料,水泥,水泥制造,14.0,229.52,333.37,28.64,50.11,126.48,203.79,1291.44
建筑材料,玻璃玻纤,玻璃制造,7.0,96.82,60.13,40.95,55.9,84.2,115.22,210.36
建筑材料,玻璃玻纤,玻纤制造,8.0,338.4,301.75,47.46,86.1,252.16,532.5,828.25
建筑材料,装修建材,其他建材,17.0,82.81,107.45,21.1,28.68,42.1,101.56,476.29
建筑材料,装修建材,管材,7.0,59.73,58.41,24.72,33.3,39.18,48.68,190.25
建筑材料,装修建材,耐火材料,6.0,66.05,19.88,40.03,52.13,68.88,75.15,94.76
建筑装饰,专业工程,其他专业工程,19.0,134.47,143.98,10.79,52.71,80.67,163.05,630.0
建筑装饰,专业工程,化学工程,7.0,122.85,175.68,28.39,42.44,58.98,84.91,517.85
建筑装饰,专业工程,国际工程,4.0,158.8,86.18,98.13,105.27,126.3,179.83,284.47
建筑装饰,专业工程,钢结构,9.0,81.61,47.8,24.29,48.31,84.79,90.55,156.77
建筑装饰,基础建设,园林工程,21.0,51.94,47.64,17.53,28.09,34.81,51.6,220.08
建筑装饰,基础建设,基建市政工程,24.0,342.04,453.62,27.47,44.24,89.42,571.56,1360.21
建筑装饰,工程咨询服务Ⅱ,工程咨询服务Ⅲ,41.0,55.49,48.47,16.77,28.46,34.75,59.07,212.5
建筑装饰,房屋建设Ⅱ,房屋建设Ⅲ,8.0,367.4,686.72,49.26,75.42,122.62,200.76,2057.76
建筑装饰,装修装饰Ⅱ,装修装饰Ⅲ,23.0,53.54,32.76,15.82,24.73,44.53,68.49,141.61
房地产,房地产开发,产业地产,10.0,160.95,182.22,26.68,60.5,109.62,144.18,632.95
房地产,房地产开发,住宅开发,69.0,110.89,133.97,21.35,38.48,69.59,126.48,813.99
房地产,房地产开发,商业地产,10.0,245.34,270.84,27.37,49.18,180.56,336.45,913.32
房地产,房地产服务,物业管理,7.0,46.38,36.16,21.17,25.23,29.57,51.57,120.33
有色金属,小金属,其他小金属,14.0,231.94,176.88,31.12,117.87,183.21,266.95,604.97
有色金属,工业金属,铅锌,13.0,283.28,220.81,31.4,166.94,218.51,340.0,913.56
有色金属,工业金属,铜,16.0,1400.6,2671.52,29.77,198.92,407.44,877.61,10319.48
