序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600959.SH,江苏有线,2015-05-06,—,—,电视广播Ⅲ,4.28,58.57,46.94,0.94,0.51,214.03,40.73,35.24,2.79,4.25
2,600936.SH,北投科技,2016-08-22,—,—,电视广播Ⅲ,4.28,,,7.33,,71.52,48.99,9.48,47.99,-3.99
3,601929.SH,吉视传媒,2012-03-01,—,—,电视广播Ⅲ,3.73,,,2.6,,130.17,-11.92,-18.82,3.0,8.7
4,600831.SH,广电网络,1999-12-30,—,—,电视广播Ⅲ,4.36,,,2.11,,31.0,-7.44,0.85,-22.16,-24.58
5,300770.SZ,新媒股份,2019-04-26,—,—,电视广播Ⅲ,45.45,15.74,13.95,3.03,6.3,103.55,19.72,24.43,5.28,5.94
6,301551.SZ,无线传媒,2024-10-10,—,—,电视广播Ⅲ,35.65,54.54,49.25,5.92,1.89,142.6,14.85,16.6,-2.2,-1.44
7,600037.SH,歌华有线,2001-02-15,—,—,电视广播Ⅲ,8.05,,,0.88,0.34,112.04,114.27,78.35,-11.22,-11.9
8,000156.SZ,华数传媒,2000-09-13,—,—,电视广播Ⅲ,8.74,30.33,30.48,1.08,2.06,161.95,-0.77,4.63,0.92,2.07
9,000917.SZ,电广传媒,1999-12-30,—,—,电视广播Ⅲ,10.67,157.66,90.54,1.45,0.19,151.25,116.61,-41.84,16.32,9.45
10,002238.SZ,天威视讯,2008-06-02,—,—,电视广播Ⅲ,9.4,,,3.55,0.53,75.44,-419.72,-352.07,-5.33,-8.63
11,600996.SH,贵广网络,2017-01-03,—,—,电视广播Ⅲ,8.89,,,4.74,,110.84,-19.98,-34.11,-27.63,-30.71
12,301262.SZ,海看股份,2023-06-29,—,—,电视广播Ⅲ,28.05,29.22,29.97,3.23,2.21,116.97,-3.05,4.45,-5.94,-4.57
13,600637.SH,东方明珠,1999-12-30,—,—,电视广播Ⅲ,11.33,56.96,77.48,1.28,2.03,380.9,-24.64,-18.65,-1.76,2.13
14,000665.SZ,湖北广电,1999-12-30,—,—,电视广播Ⅲ,5.56,,,1.58,,63.23,-10.89,-18.66,-13.27,-11.13
