序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,000428.SZ,华天酒店,1996-08-08,—,—,酒店,3.95,,,2.89,,40.25,-39.99,-35.46,-12.52,-17.34
2,301073.SZ,君亭酒店,2021-10-14,—,—,酒店,34.66,267.45,401.41,7.17,0.65,67.4,-45.92,-54.96,0.58,-1.24
3,600258.SH,首旅酒店,2016-07-01,—,—,酒店,17.95,24.86,23.92,1.66,2.01,200.43,4.36,11.08,-1.81,-1.93
4,600754.SH,锦江酒店,1996-10-11,—,—,酒店,28.44,33.29,54.99,1.91,1.33,303.26,-32.52,-56.27,-5.09,-5.31
5,601007.SH,金陵饭店,2007-04-16,—,—,酒店,8.52,99.91,105.45,2.1,0.82,33.23,-7.88,-3.74,-8.59,-7.03
