序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,000722.SZ,湖南发展,2013-07-01,—,—,水力发电,12.75,87.28,84.04,1.88,0.39,59.18,4.26,-12.22,13.73,-6.28
2,000993.SZ,闽东电力,2019-01-09,—,—,水力发电,12.23,33.08,27.14,2.1,,56.01,32.38,32.96,8.81,4.48
3,002039.SZ,黔源电力,2005-03-03,—,—,水力发电,17.23,33.76,16.53,1.7,0.93,73.67,85.74,-4.54,47.99,1.23
4,600236.SH,桂冠电力,2000-03-23,—,—,水力发电,8.47,29.24,26.3,3.83,2.01,667.64,11.8,-17.37,-0.25,-13.99
5,600868.SH,梅雁吉祥,2024-07-31,—,—,水力发电,4.16,,,4.08,,78.96,-365.34,-350.33,-18.54,-40.55
6,600025.SH,华能水电,2017-12-22,—,—,水力发电,9.15,20.55,19.8,2.48,2.11,1704.75,4.34,10.54,6.3,9.08
7,600900.SH,长江电力,2003-11-18,—,—,水力发电,26.6,20.03,19.05,2.94,2.76,6508.55,0.6,14.86,-0.89,5.34
8,600886.SH,国投电力,2017-07-03,—,—,水力发电,13.07,15.75,15.89,1.58,3.49,1046.19,-0.92,1.36,-8.61,-5.18
9,000601.SZ,韶能股份,2016-07-01,—,—,水力发电,5.14,71.33,104.37,1.36,3.88,54.71,-12.34,-42.43,8.33,6.95
10,000791.SZ,甘肃能源,2013-07-01,—,—,水力发电,6.64,13.1,8.26,1.48,2.71,215.39,14.16,16.87,0.64,0.19
11,600674.SH,川投能源,2012-03-23,—,—,水力发电,14.08,15.23,15.94,1.55,2.84,686.34,-4.54,6.9,4.95,17.95
