序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,001255.SZ,博菲电气,2022-10-14,—,—,合成树脂,39.3,256.65,422.63,3.88,0.09,33.97,-41.91,882.67,32.03,39.67
2,002361.SZ,神剑股份,2010-03-10,—,—,合成树脂,13.85,391.43,378.89,5.95,0.36,131.72,3.81,31.87,5.64,3.14
3,300487.SZ,蓝晓科技,2015-07-09,—,—,合成树脂,68.28,44.16,41.26,8.82,1.14,347.64,9.27,10.01,2.2,-3.64
4,688716.SH,中研股份,2023-09-27,—,—,合成树脂,37.88,117.33,232.1,3.9,0.53,46.09,-65.07,-59.89,7.13,-2.1
5,688585.SH,上纬新材,2023-09-25,—,—,合成树脂,142.88,649.88,684.62,43.21,0.02,576.32,-6.92,-32.91,16.6,12.5
6,301092.SZ,争光股份,2021-11-09,—,—,合成树脂,35.38,46.21,45.45,2.46,0.73,47.6,2.23,1.48,16.35,22.37
7,301555.SZ,惠柏新材,2023-11-07,—,—,合成树脂,33.97,390.62,42.51,2.84,0.65,31.34,1222.38,844.33,76.34,98.18
8,603879.SH,永悦科技,2017-06-21,—,—,合成树脂,6.33,,,8.87,,22.75,72.65,75.24,-12.15,-6.16
9,301395.SZ,仁信新材,2023-07-10,—,—,合成树脂,14.11,64.36,65.5,2.22,0.58,34.27,-2.81,4.17,4.72,7.36
10,603928.SH,兴业股份,2016-12-19,—,—,合成树脂,15.49,100.19,52.05,2.62,1.03,40.6,102.43,60.62,8.15,6.15
11,605589.SH,圣泉集团,2021-08-17,—,—,合成树脂,29.11,28.39,23.54,2.4,1.82,246.38,30.81,51.19,12.87,15.67
12,601026.SH,道生天合,2025-10-24,—,—,合成树脂,19.75,84.11,61.87,5.11,0.76,130.23,56.89,65.06,26.92,46.77
13,001333.SZ,光华股份,2022-12-15,—,—,合成树脂,26.05,22.78,25.75,1.95,1.38,33.34,-17.66,-21.7,-4.86,-4.98
14,002395.SZ,双象股份,2010-05-07,—,—,合成树脂,19.84,11.27,9.3,3.54,0.76,53.21,121.32,166.61,19.32,23.71
