序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600433.SH,冠豪高新,2003-06-26,—,—,特种纸,3.46,32.96,312.04,1.36,1.73,60.56,-234.78,-168.35,-1.94,-1.47
2,600793.SH,宜宾纸业,1999-12-30,—,—,特种纸,20.48,,222.15,15.22,,36.23,134.43,200.22,2.56,6.89
3,002012.SZ,凯恩股份,2004-07-12,—,—,特种纸,6.72,547.39,646.93,2.04,0.06,31.42,-4.83,-20.55,2.66,0.17
4,605377.SH,华旺科技,2021-01-05,—,—,特种纸,8.83,10.48,18.42,1.28,6.85,49.15,-49.46,-48.47,-14.93,-16.43
5,603733.SH,仙鹤股份,2018-04-27,—,—,特种纸,24.55,17.31,18.01,2.1,2.03,173.75,-4.77,-13.8,24.8,30.14
6,301469.SZ,恒达新材,2023-08-29,—,—,特种纸,33.37,43.62,42.54,2.17,1.04,29.86,3.25,-12.68,6.54,2.55
7,600103.SH,青山纸业,1999-12-30,—,—,特种纸,3.74,98.89,133.02,2.11,0.32,83.81,-25.07,1.74,-11.87,-15.27
8,600235.SH,民丰特纸,2000-06-22,—,—,特种纸,7.04,34.35,83.37,1.63,0.24,24.73,-69.43,-68.88,-23.61,-23.21
9,600356.SH,恒丰纸业,2001-04-26,—,—,特种纸,9.65,24.89,18.71,1.07,1.24,28.83,34.76,69.06,6.29,12.78
10,002235.SZ,安妮股份,2008-05-23,—,—,特种纸,10.06,207.1,2802.44,7.76,,58.3,-105.62,-83.34,21.06,11.93
11,002521.SZ,齐峰新材,2010-12-17,—,—,特种纸,8.49,42.33,43.92,1.22,4.71,47.55,-3.82,-42.15,-0.83,-4.8
12,605007.SH,五洲特纸,2020-11-17,—,—,特种纸,13.9,18.28,30.64,1.93,1.8,66.13,-44.66,-47.57,18.13,20.13
