序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600207.SH,安彩高科,2006-06-29,—,—,光伏辅材,4.85,,,2.21,,52.83,-297.65,-2194.75,-29.03,-30.56
2,688560.SH,明冠新材,2023-09-25,—,—,光伏辅材,19.87,,,1.51,,40.0,-428.01,-713.54,-29.42,-36.85
3,603628.SH,清源股份,2017-01-19,—,—,光伏辅材,14.18,42.95,42.3,2.89,0.47,38.73,1.42,62.44,27.0,37.98
4,301266.SZ,宇邦新材,2022-06-15,—,—,光伏辅材,45.69,130.14,111.81,2.79,0.22,50.25,13.63,0.18,-8.75,-9.77
5,603212.SH,赛伍技术,2020-05-12,—,—,光伏辅材,16.95,,,2.9,,74.15,-22.46,-365.52,-11.61,-18.13
6,603381.SH,永臻股份,2024-07-03,—,—,光伏辅材,24.05,21.28,62.09,1.6,2.33,57.06,-98.77,-70.76,57.81,61.24
7,000159.SZ,国际实业,2024-07-31,—,—,光伏辅材,6.78,,97.57,1.6,,32.59,104.45,17.16,-46.47,-49.96
8,603806.SH,福斯特,2014-09-15,—,—,光伏辅材,18.6,37.11,65.83,3.05,1.4,485.23,-45.34,-46.6,-22.32,-26.06
9,002623.SZ,亚玛顿,2011-10-20,—,—,光伏辅材,26.86,,,1.89,1.81,53.47,-123.67,-216.78,-35.42,-38.16
10,003022.SZ,联泓新科,2020-12-15,—,—,光伏辅材,20.01,113.99,92.63,3.62,0.3,267.25,30.32,14.15,-8.02,-12.13
11,688680.SH,海优新材,2023-09-25,—,—,光伏辅材,65.56,,,4.45,,55.09,16.43,3.65,-57.62,-57.47
12,001269.SZ,欧晶科技,2022-10-14,—,—,光伏辅材,24.14,,,5.32,,46.45,60.99,40.99,-56.36,-59.14
13,688408.SH,中信博,2023-09-25,—,—,光伏辅材,46.6,16.17,31.35,2.4,2.13,102.08,-71.59,-31.79,-10.11,19.55
14,601865.SH,福莱特,2019-02-22,—,—,光伏辅材,16.69,38.85,112.2,1.8,,391.03,-50.79,-82.58,-14.66,-27.66
15,688598.SH,金博股份,2023-09-25,—,—,光伏辅材,26.7,,,1.12,,55.42,-88.84,-62.64,40.34,19.7
16,688503.SH,聚和材料,2023-09-25,—,—,光伏辅材,74.89,43.36,76.83,3.74,0.55,181.26,-43.24,-39.58,8.29,-4.87
17,300842.SZ,帝科股份,2020-06-29,—,—,光伏辅材,107.71,43.47,162.06,8.41,0.27,156.48,-89.94,-70.03,10.55,9.93
