序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600744.SH,华银电力,1996-09-05,—,—,火力发电,6.32,,61.08,9.02,,128.37,954.94,4146.8,3.23,16.18
2,600578.SH,京能电力,2017-07-03,—,—,火力发电,5.17,20.09,9.95,1.46,2.32,346.11,125.66,116.63,0.49,1.05
3,001286.SZ,陕西能源,2023-05-08,—,—,火力发电,9.81,12.23,12.56,1.41,3.67,367.88,-3.23,-13.45,-2.83,-6.74
4,000027.SZ,深圳能源,1993-09-03,—,—,火力发电,6.7,15.9,17.28,0.97,2.24,318.75,-7.58,-2.8,6.66,6.77
5,000543.SZ,皖能电力,1993-12-20,—,—,火力发电,7.95,8.73,7.55,1.05,4.01,180.22,20.43,1.05,-3.41,-5.83
6,000690.SZ,宝新能源,2021-12-13,—,—,火力发电,4.36,13.45,10.15,0.76,4.59,94.87,38.62,52.62,10.61,17.33
7,000600.SZ,建投能源,2007-07-03,—,—,火力发电,8.35,28.35,8.97,1.3,2.76,150.57,231.79,157.96,-3.73,-3.28
8,600863.SH,内蒙华电,1994-05-20,—,—,火力发电,4.8,15.07,16.98,1.75,4.1,350.34,-10.6,-11.91,-9.23,-8.75
9,000539.SZ,粤电力Ａ,1993-11-26,—,—,火力发电,4.83,26.3,312.67,1.08,0.41,253.59,-60.2,-96.4,-11.29,-11.26
10,600726.SH,华电能源,1996-07-01,—,—,火力发电,2.55,121.82,,4.9,,201.64,-40.99,-27.24,-11.25,-10.87
11,000531.SZ,穗恒运Ａ,2017-07-03,—,—,火力发电,6.25,39.06,15.42,0.94,2.22,65.09,139.08,135.99,-4.79,-6.55
12,002608.SZ,江苏国信,2018-07-16,—,—,火力发电,7.68,8.96,8.18,0.83,1.3,290.16,10.52,3.96,-6.84,-11.97
13,000966.SZ,长源电力,2000-03-16,—,—,火力发电,4.45,21.66,104.49,1.12,1.62,154.91,-62.43,-78.83,-18.65,-16.76
14,000767.SZ,晋控电力,1997-06-09,—,—,火力发电,3.11,298.32,14.64,1.53,,95.69,203.02,138.08,-5.82,-8.53
15,000899.SZ,赣能股份,1997-11-26,—,—,火力发电,10.54,14.4,10.87,1.63,3.13,102.84,36.26,29.39,1.24,-1.53
16,600642.SH,申能股份,1993-04-16,—,—,火力发电,8.34,10.35,10.26,1.11,5.4,408.17,1.04,-5.23,-6.44,-5.28
17,600011.SH,华能国际,2001-12-06,—,—,火力发电,6.93,10.73,7.47,1.63,3.9,1087.88,42.52,24.26,-6.19,-5.7
18,600795.SH,国电电力,1997-03-18,—,—,火力发电,4.61,8.36,11.09,1.38,4.56,822.22,-26.27,-45.11,-6.47,-9.52
19,600027.SH,华电国际,2005-02-03,—,—,火力发电,4.87,9.92,8.1,1.19,4.33,565.49,15.87,13.15,-9.72,-8.98
20,600098.SH,广州发展,1997-07-18,—,—,火力发电,6.99,14.15,10.64,0.9,5.29,245.06,36.05,42.56,5.46,2.03
21,600780.SH,通宝能源,2013-07-01,—,—,火力发电,6.11,13.66,11.39,0.85,,70.05,26.6,24.87,4.11,5.65
22,000037.SZ,深南电A,2022-08-01,—,—,火力发电,9.4,258.62,119.05,3.85,,56.66,56.29,42.57,-24.82,-11.45
23,600021.SH,上海电力,2003-10-29,—,—,火力发电,20.32,28.02,21.74,2.71,1.38,573.27,24.04,43.85,-1.26,1.76
24,600509.SH,天富能源,2021-12-13,—,—,火力发电,8.36,46.25,89.22,1.48,0.66,114.9,-24.23,-3.0,-12.1,-10.64
25,001896.SZ,豫能控股,1998-01-22,—,—,火力发电,6.1,,36.41,2.7,,93.07,422.12,340.71,-7.71,-13.9
26,600023.SH,浙能电力,2013-12-26,—,—,火力发电,4.95,8.56,9.11,0.89,6.87,663.73,-6.96,-10.57,-11.29,-11.68
27,601991.SH,大唐发电,2006-12-28,—,—,火力发电,3.69,15.15,10.06,2.0,3.17,682.9,51.48,47.35,-1.82,-1.93
28,600396.SH,华电辽能,2016-07-01,—,—,火力发电,3.1,53.88,71.52,3.38,,45.65,-86.27,-28.45,-1.72,-5.53
