序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,300877.SZ,金春股份,2020-08-31,—,—,其他纺织,31.5,122.18,41.02,2.27,0.31,37.8,484.69,790.16,0.03,3.77
2,603238.SH,诺邦股份,2025-08-13,—,—,其他纺织,18.56,34.6,27.05,2.28,1.62,32.95,38.32,48.33,29.74,33.35
3,300819.SZ,聚杰微纤,2020-03-19,—,—,其他纺织,39.25,90.87,99.15,6.85,1.02,58.56,-9.3,-3.58,-7.11,-9.46
4,000955.SZ,欣龙控股,2011-10-10,—,—,其他纺织,5.74,,,4.77,,30.9,101.66,93.18,-15.27,-11.75
5,600156.SH,华升股份,2017-07-03,—,—,其他纺织,9.03,,,9.19,0.11,36.31,29.28,47.1,32.62,31.28
6,603055.SH,台华新材,2018-09-19,—,—,其他纺织,9.34,11.46,15.81,1.62,2.68,83.15,-32.3,-23.31,-9.29,-8.58
7,002144.SZ,宏达高科,2011-10-10,—,—,其他纺织,14.85,93.93,120.4,1.24,0.34,26.25,-9.37,-3.32,-11.14,-7.99
8,600527.SH,江南高纤,2021-12-13,—,—,其他纺织,2.27,103.25,140.74,1.9,2.18,39.31,-33.69,-23.3,-1.62,2.66
9,601599.SH,浙文影业,2021-12-13,—,—,其他纺织,4.9,47.33,47.2,3.74,,56.87,0.24,-4.3,6.5,11.06
10,001390.SZ,古麒绒材,2025-06-06,—,—,其他纺织,24.08,28.63,28.4,3.03,,48.16,0.99,1.83,0.3,5.02
11,603130.SH,云中马,2022-11-25,—,—,其他纺织,51.55,70.64,84.77,5.19,0.19,70.89,-24.89,-30.46,5.53,2.17
12,603889.SH,新澳股份,2021-12-13,—,—,其他纺织,9.0,15.34,15.09,1.83,3.33,65.72,1.98,1.67,0.6,-0.08
13,605180.SH,华生科技,2021-05-12,—,—,其他纺织,16.0,54.71,101.2,2.37,0.81,27.04,-48.1,-33.0,-0.3,-2.68
14,300918.SZ,南山智尚,2021-12-13,—,—,其他纺织,16.93,44.9,46.67,2.27,0.99,85.69,-5.81,-8.66,5.39,-5.8
15,301066.SZ,万事利,2022-08-01,—,—,其他纺织,18.85,126.14,161.85,3.57,0.73,44.28,-27.83,-21.08,5.68,8.29
