序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,001326.SZ,联域股份,2023-11-16,—,—,照明设备Ⅲ,55.9,40.38,152.64,3.37,0.5,40.92,-79.23,-78.85,1.03,-0.35
2,603515.SH,欧普照明,2016-08-26,—,—,照明设备Ⅲ,19.78,16.29,17.14,2.21,4.53,147.13,-7.17,-4.07,-3.16,-4.46
3,002076.SZ,*ST星光,2022-12-22,—,—,照明设备Ⅲ,2.2,,,7.74,,24.4,256.29,-367.06,36.04,32.62
4,002724.SZ,海洋王,2024-07-31,—,—,照明设备Ⅲ,7.46,,,2.12,0.67,57.55,4.83,109.16,2.46,11.26
5,605365.SH,立达信,2021-07-27,—,—,照明设备Ⅲ,20.62,24.77,38.87,2.78,2.04,103.52,-54.35,-53.64,0.13,2.01
6,002723.SZ,小崧股份,2014-02-12,—,—,照明设备Ⅲ,8.92,,,3.15,,29.65,-80.56,-984.31,-35.61,-29.04
7,301362.SZ,民爆光电,2023-08-11,—,—,照明设备Ⅲ,93.29,42.35,50.43,3.92,2.0,97.65,-19.75,-15.92,-0.04,0.11
8,600261.SH,阳光照明,2000-07-27,—,—,照明设备Ⅲ,3.66,24.07,27.16,1.41,3.83,48.86,-15.21,32.06,-19.02,-20.13
9,300625.SZ,三雄极光,2017-04-13,—,—,照明设备Ⅲ,12.96,75.28,,1.82,2.31,36.2,-117.11,-156.41,-10.78,-16.49
10,000541.SZ,佛山照明,1999-12-30,—,—,照明设备Ⅲ,6.31,21.72,28.82,1.44,1.9,96.91,-43.8,-40.18,-5.16,-8.34
11,002638.SZ,勤上股份,2024-07-31,—,—,照明设备Ⅲ,2.99,,,2.08,,42.95,-328.44,-24.8,7.16,18.8
12,603303.SH,得邦照明,2017-04-10,—,—,照明设备Ⅲ,14.5,19.91,24.16,2.22,9.34,69.16,-23.65,-19.66,-0.16,0.4
