序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,300767.SZ,震安科技,2019-04-08,—,—,其他橡胶制品,18.17,,,3.11,,50.2,60.76,42.67,33.65,16.3
2,002224.SZ,三力士,2008-06-03,—,—,其他橡胶制品,4.69,127.8,432.67,1.31,0.64,42.31,-45.76,65.68,21.75,26.89
3,002381.SZ,双箭股份,2010-04-13,—,—,其他橡胶制品,7.04,18.87,42.85,1.37,2.84,28.98,-61.56,-59.99,1.4,4.63
4,001325.SZ,元创股份,2025-12-25,—,—,其他橡胶制品,51.12,25.91,24.76,2.29,,40.08,6.27,-2.75,8.05,6.74
5,300587.SZ,天铁科技,2017-01-12,—,—,其他橡胶制品,6.11,521.73,,3.31,0.44,79.32,-340.02,-185.77,-30.69,-34.31
6,300320.SZ,海达股份,2012-06-08,—,—,其他橡胶制品,10.54,39.18,29.91,2.57,0.38,63.37,42.99,40.16,13.43,20.66
7,300731.SZ,科创新源,2019-07-08,—,—,其他橡胶制品,61.86,452.62,232.49,12.63,0.13,78.21,153.29,520.71,41.45,43.9
8,603033.SH,三维股份,2016-12-14,—,—,其他橡胶制品,11.18,,,3.96,,115.28,-311.53,-131.03,-8.5,-10.85
9,301459.SZ,丰茂股份,2023-12-20,—,—,其他橡胶制品,42.45,27.33,34.23,3.55,0.91,44.2,-27.74,-26.31,0.58,-1.47
