序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,688400.SH,凌云光,2023-09-25,—,—,其他专用设备,42.46,182.81,153.23,4.85,0.06,195.73,18.46,10.1,34.3,25.73
2,603076.SH,乐惠国际,2017-11-20,—,—,其他专用设备,24.78,141.75,211.08,2.31,1.61,29.91,-17.1,15.38,0.28,-8.22
3,000856.SZ,冀东装备,2012-07-02,—,—,其他专用设备,11.22,116.52,135.9,6.07,,25.47,-27.74,-37.56,7.12,8.09
4,688022.SH,瀚川智能,2023-09-25,—,—,其他专用设备,15.42,,,3.92,,27.12,113.85,118.19,19.16,-10.06
5,688211.SH,中科微至,2023-09-25,—,—,其他专用设备,32.91,,,1.28,,43.31,-1410.7,-1480.03,-31.86,-25.4
6,688328.SH,深科达,2023-09-25,—,—,其他专用设备,32.4,,,3.69,,30.6,178.29,180.87,30.52,49.57
7,002816.SZ,*ST和科,2016-11-01,—,—,其他专用设备,25.0,,,10.8,,25.0,122.11,88.43,2932.86,1541.63
8,688128.SH,中国电研,2023-09-25,—,—,其他专用设备,29.51,25.56,22.41,3.35,1.69,119.37,18.53,31.28,9.98,12.88
9,688529.SH,豪森智能,2023-09-25,—,—,其他专用设备,19.11,,,1.81,,32.14,-3462.54,-1600.9,-38.49,-13.68
10,688113.SH,联测科技,2023-09-25,—,—,其他专用设备,44.46,34.7,27.87,2.95,0.96,28.63,36.54,13.12,6.84,6.04
11,002073.SZ,软控股份,2013-07-01,—,—,其他专用设备,8.1,16.32,17.73,1.35,1.85,82.6,-11.75,-23.84,15.82,20.33
12,300281.SZ,金明精机,2012-01-09,—,—,其他专用设备,7.71,454.02,1860.13,2.57,0.52,32.3,-37.53,12.11,-9.97,-2.59
13,300472.SZ,*ST新元,2015-06-18,—,—,其他专用设备,7.94,,,,,21.86,-40.34,-75.54,-75.14,-94.51
14,600520.SH,三佳科技,2017-07-03,—,—,其他专用设备,27.37,198.26,478.29,11.17,,43.36,-71.67,-75.99,1.6,-3.0
15,603855.SH,华荣股份,2017-06-02,—,—,其他专用设备,19.45,14.2,14.91,3.14,5.14,65.65,-6.8,-1.15,-5.54,16.93
16,002786.SZ,银宝山新,2017-07-03,—,—,其他专用设备,8.4,,,18.14,,41.63,91.25,62.63,8.98,6.95
17,300004.SZ,南风股份,2009-11-09,—,—,其他专用设备,14.03,90.41,102.08,3.78,,67.34,-20.28,11.15,-6.52,0.92
18,300151.SZ,昌红科技,2017-07-03,—,—,其他专用设备,16.36,85.44,126.23,5.61,0.46,87.12,-40.47,-29.18,-4.95,2.95
19,002009.SZ,天奇股份,2007-07-03,—,—,其他专用设备,28.8,,,5.79,,115.84,215.81,171.11,-5.86,-4.92
20,300823.SZ,建科智能,2020-03-26,—,—,其他专用设备,17.81,52.06,72.59,2.48,1.83,23.33,-40.72,-75.94,-12.74,-17.48
21,001400.SZ,江顺科技,2025-05-06,—,—,其他专用设备,105.82,41.0,57.22,5.16,0.76,63.49,-40.15,-40.73,-13.68,-14.11
22,688383.SH,新益昌,2023-09-25,—,—,其他专用设备,71.58,180.7,,5.34,0.28,73.11,-88.75,-96.05,-22.85,-28.3
23,301392.SZ,汇成真空,2024-06-13,—,—,其他专用设备,117.97,173.25,554.96,16.27,0.25,117.97,-72.62,-27.82,-29.54,-9.71
24,002833.SZ,弘亚数控,2017-01-05,—,—,其他专用设备,18.5,15.17,19.56,2.86,3.78,78.48,-25.48,-19.58,-17.1,-17.22
25,300412.SZ,迦南科技,2019-07-08,—,—,其他专用设备,5.8,79.6,92.25,2.8,1.03,28.87,-33.0,-38.46,-2.94,1.29
26,002529.SZ,*ST海源,2011-01-04,—,—,其他专用设备,6.86,,,9.23,,17.84,-115.32,-31.01,126.15,98.38
27,688596.SH,正帆科技,2023-09-25,—,—,其他专用设备,32.78,18.27,36.06,2.67,0.85,96.42,-78.5,-10.2,-5.98,8.88
28,300540.SZ,蜀道装备,2017-07-03,—,—,其他专用设备,23.76,75.37,79.5,4.94,0.15,54.54,-16.2,5972.3,-6.65,35.24
29,688630.SH,芯碁微装,2023-09-25,—,—,其他专用设备,166.82,136.76,107.5,9.93,0.22,219.77,28.2,41.05,30.03,45.59
30,688092.SH,爱科科技,2023-09-25,—,—,其他专用设备,30.82,38.02,47.01,3.93,0.91,25.48,-25.6,-37.97,1.79,-0.09
31,688531.SH,日联科技,2023-09-25,—,—,其他专用设备,70.2,81.12,71.28,3.51,0.59,116.25,18.83,7.8,44.01,38.34
32,002337.SZ,赛象科技,2011-10-10,—,—,其他专用设备,6.62,97.93,89.99,2.96,0.32,38.97,7.61,24.02,-18.57,-22.43
33,600579.SH,中化装备,2014-07-02,—,—,其他专用设备,9.08,,,2.73,,44.82,97.5,93.6,-86.09,-85.39
34,300902.SZ,国安达,2020-11-05,—,—,其他专用设备,20.74,,,4.59,,37.71,127.3,136.65,5.45,-8.92
35,301013.SZ,利和兴,2021-07-06,—,—,其他专用设备,23.82,786.38,,7.26,0.21,55.68,-529.94,-382.13,-8.85,-30.78
36,301338.SZ,凯格精机,2022-08-23,—,—,其他专用设备,131.54,198.48,94.74,8.94,0.15,139.96,175.35,144.18,34.21,26.22
37,301200.SZ,大族数控,2022-03-07,—,—,其他专用设备,156.6,221.25,112.97,11.83,0.25,666.35,142.19,83.82,66.53,52.26
38,603289.SH,泰瑞机器,2017-11-07,—,—,其他专用设备,11.11,39.65,31.16,2.24,1.35,32.6,51.01,27.09,0.66,1.16
39,002530.SZ,金财互联,2024-07-31,—,—,其他专用设备,10.29,,177.54,6.05,,80.18,1697.84,2063.57,-17.32,-22.3
40,300293.SZ,蓝英装备,2012-03-15,—,—,其他专用设备,20.37,,,7.38,,68.94,-1163.12,-1236.9,-10.83,-12.92
41,301598.SZ,博科测试,2024-12-27,—,—,其他专用设备,66.37,38.34,34.07,4.13,3.01,39.09,19.6,16.65,12.32,12.67
42,603159.SH,上海亚虹,2016-08-19,—,—,其他专用设备,27.3,131.17,583.18,7.62,0.24,38.22,-122.98,-118.64,-13.83,-13.05
43,603895.SH,天永智能,2018-01-31,—,—,其他专用设备,33.56,,,18.72,,36.27,167.86,43.54,-5.73,-15.7
44,002006.SZ,精工科技,2017-07-03,—,—,其他专用设备,20.2,71.45,48.02,4.37,0.74,105.0,98.18,15.55,13.7,10.31
45,300415.SZ,伊之密,2015-01-30,—,—,其他专用设备,25.72,19.82,17.42,3.86,1.91,120.51,17.45,15.15,17.21,15.89
46,600501.SH,航天晨光,2011-10-10,—,—,其他专用设备,27.03,,,6.71,,115.64,30.77,31.4,-10.0,-16.52
47,301083.SZ,百胜智能,2021-10-28,—,—,其他专用设备,19.39,104.44,89.68,4.13,0.62,34.49,20.7,-3.64,-8.65,-10.12
48,600444.SH,国机通用,2017-07-03,—,—,其他专用设备,18.31,66.76,57.6,3.68,0.6,26.81,21.6,43.85,-5.93,5.09
49,300382.SZ,斯莱克,2014-02-12,—,—,其他专用设备,14.07,,,3.96,,91.23,195.39,-214.98,50.85,37.62
50,300103.SZ,达刚控股,2010-08-23,—,—,其他专用设备,7.73,,,5.05,,24.55,7.72,-11.95,4.29,12.18
51,300499.SZ,高澜股份,2016-02-16,—,—,其他专用设备,27.29,,5333.07,6.02,,83.3,293.98,1438.57,62.52,47.81
52,688648.SH,中邮科技,2023-11-20,—,—,其他专用设备,60.8,,13.93,3.71,,82.69,1074.35,2187.41,36.69,12.07
53,301128.SZ,强瑞技术,2021-11-17,—,—,其他专用设备,99.82,105.85,77.0,11.6,0.43,103.26,46.06,15.57,74.72,74.64
54,603011.SH,合锻智能,2017-07-03,—,—,其他专用设备,26.1,,,6.15,,129.04,-677.25,-11.39,14.03,8.23
55,300471.SZ,厚普股份,2015-06-18,—,—,其他专用设备,15.16,,,4.58,,71.28,90.8,0.88,106.97,97.59
56,002595.SZ,豪迈科技,2017-07-03,—,—,其他专用设备,84.33,33.54,28.31,5.92,0.47,674.64,26.21,24.65,26.89,27.25
57,600499.SH,科达制造,2002-10-10,—,—,其他专用设备,17.18,32.74,22.68,2.62,1.13,329.49,63.49,63.95,47.19,49.04
58,603081.SH,大丰实业,2022-08-16,—,—,其他专用设备,14.27,93.32,57.93,1.89,0.91,60.29,75.02,56.81,45.2,52.16
59,002031.SZ,巨轮智能,2017-07-03,—,—,其他专用设备,7.59,,,7.86,,166.93,-1631.62,-1091.4,-32.86,-24.69
60,300836.SZ,佰奥智能,2020-06-04,—,—,其他专用设备,58.03,196.22,89.73,9.43,0.36,53.79,178.61,48.47,41.47,13.53
61,002690.SZ,美亚光电,2012-08-07,—,—,其他专用设备,19.47,26.46,23.92,6.3,3.6,171.77,15.3,11.34,7.35,9.92
62,605259.SH,绿田机械,2021-12-13,—,—,其他专用设备,21.94,20.34,15.28,2.11,2.73,37.84,44.35,64.36,19.57,29.97
63,688700.SH,东威科技,2023-09-25,—,—,其他专用设备,39.32,169.38,136.05,6.53,0.25,117.33,24.8,-23.66,30.58,13.07
64,300833.SZ,浩洋股份,2020-05-27,—,—,其他专用设备,44.95,18.85,32.02,2.35,2.89,56.86,-48.04,-61.69,-15.36,-21.99
65,002779.SZ,中坚科技,2017-07-03,—,—,其他专用设备,97.81,279.5,382.33,23.88,0.08,180.75,-43.6,13.99,4.45,5.29
66,688162.SH,巨一科技,2023-09-25,—,—,其他专用设备,33.62,216.22,49.33,1.92,,46.09,359.88,69.48,26.91,25.99
67,300756.SZ,金马游乐,2022-08-01,—,—,其他专用设备,48.0,1028.76,92.8,5.17,0.1,75.65,456.47,132.69,23.76,-0.35
68,300988.SZ,津荣天宇,2021-12-13,—,—,其他专用设备,24.8,45.88,33.82,2.73,0.67,34.79,44.43,96.43,5.96,12.32
69,002837.SZ,英维克,2017-01-06,—,—,其他专用设备,99.27,214.16,194.28,29.26,0.15,969.43,13.13,17.54,40.19,50.25
70,300549.SZ,优德精密,2017-07-03,—,—,其他专用设备,19.02,185.14,261.17,4.6,0.26,25.36,-31.85,11.28,-4.02,6.83
71,603656.SH,泰禾智能,2017-03-28,—,—,其他专用设备,24.59,209.53,147.13,3.41,0.2,44.99,46.28,61.24,3.97,10.92
72,002757.SZ,南兴股份,2015-06-03,—,—,其他专用设备,22.08,,,3.27,1.59,65.24,-55.69,-63.84,-5.8,-10.51
73,603956.SH,威派格,2019-03-01,—,—,其他专用设备,6.89,,,1.99,,39.27,52.82,-3.72,-21.47,-27.43
74,300813.SZ,泰林生物,2020-01-21,—,—,其他专用设备,24.69,229.29,181.81,3.79,0.81,29.92,30.13,105.76,-12.08,-6.69
75,300971.SZ,博亚精工,2021-12-13,—,—,其他专用设备,25.19,67.65,40.17,2.81,0.71,29.62,82.87,61.26,47.27,29.88
76,001395.SZ,亚联机械,2025-02-11,—,—,其他专用设备,43.96,24.8,20.64,3.2,1.41,38.35,10.81,20.41,-12.67,-15.01
77,688312.SH,燕麦科技,2023-09-25,—,—,其他专用设备,45.6,69.02,53.64,4.5,1.08,66.47,40.11,18.67,25.34,32.09
