序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600719.SH,大连热电,1996-07-16,—,—,热力服务,6.63,,,9.11,,26.82,3.28,1.62,-6.32,-6.41
2,600167.SH,联美控股,1999-01-28,—,—,热力服务,6.95,23.86,22.66,1.45,2.83,157.27,6.88,9.88,-6.19,-2.65
3,600475.SH,华光环能,2024-07-31,—,—,热力服务,21.3,28.91,35.89,2.37,2.09,203.62,-28.46,-28.16,-7.89,-23.3
4,002015.SZ,协鑫能科,2020-07-24,—,—,热力服务,10.96,36.38,27.57,1.44,0.89,177.92,25.78,26.42,5.07,15.29
5,000692.SZ,惠天热电,1997-02-27,—,—,热力服务,3.8,,,,,20.25,30.37,51.05,-0.4,0.05
6,605162.SH,新中港,2021-07-14,—,—,热力服务,9.12,24.93,24.55,2.87,1.97,36.53,2.51,-4.62,-18.48,-17.74
7,002479.SZ,富春环保,2021-12-13,—,—,热力服务,5.24,18.8,20.11,1.08,2.86,45.33,-6.06,88.87,9.01,13.07
8,605028.SH,世茂能源,2021-07-19,—,—,热力服务,26.48,24.67,25.77,3.22,1.89,42.37,-5.89,-6.64,-12.38,-15.03
9,605580.SH,恒盛能源,2021-08-26,—,—,热力服务,23.44,48.05,54.0,6.8,1.07,65.63,-13.51,32.72,16.32,17.22
10,600149.SH,廊坊发展,2021-12-13,—,—,热力服务,5.95,26.63,140.53,9.7,,22.62,-98.43,338.69,-63.12,-4.88
11,600982.SH,宁波能源,2005-07-01,—,—,热力服务,4.65,18.24,15.78,1.18,3.23,51.97,22.53,13.05,-12.7,-11.24
12,300335.SZ,迪森股份,2021-12-13,—,—,热力服务,6.18,60.74,58.36,1.52,1.62,29.48,3.05,38.77,1.27,6.54
13,605011.SH,杭州热电,2021-07-07,—,—,热力服务,20.51,38.71,43.63,3.44,1.07,82.06,-14.14,-5.52,-11.17,-9.69
14,001210.SZ,金房能源,2021-08-05,—,—,热力服务,23.0,74.07,47.75,2.78,1.23,36.07,42.65,36.09,9.69,11.06
15,600052.SH,东望时代,2023-07-06,—,—,热力服务,4.55,,,1.43,0.43,38.41,-29.13,-32.31,96.51,103.08
16,001376.SZ,百通能源,2023-11-10,—,—,热力服务,19.66,47.38,51.93,7.75,0.76,90.61,-11.23,-7.32,-7.47,-8.36
17,002893.SZ,京能热力,2017-09-22,—,—,热力服务,11.52,45.49,37.06,2.5,0.89,30.37,35.57,5.78,24.03,16.71
18,600226.SH,亨通股份,2022-08-01,—,—,热力服务,5.88,92.31,91.7,4.84,,174.89,0.68,8.91,38.94,45.8
