序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,601908.SH,京运通,2011-09-16,—,—,光伏发电,3.95,,,1.08,,95.38,83.86,80.46,-37.55,-47.25
2,603105.SH,芯能科技,2018-07-16,—,—,光伏发电,10.36,26.76,26.74,2.43,1.93,51.8,0.07,1.14,3.6,7.21
3,300125.SZ,*ST聆达,2025-12-30,—,—,光伏发电,7.64,,,,,50.87,77.54,37.56,83.47,72.39
4,600032.SH,浙江新能,2021-06-01,—,—,光伏发电,7.9,33.53,35.44,1.47,0.66,189.97,-4.74,-34.65,-1.56,-5.4
5,601222.SH,林洋能源,2011-08-15,—,—,光伏发电,5.83,15.95,59.55,0.78,1.5,120.11,-60.56,-45.88,-28.88,-28.35
6,002218.SZ,拓日新能,2024-07-31,—,—,光伏发电,7.16,937.84,,2.49,0.14,101.17,-451.75,-369.79,-27.23,-30.08
7,002256.SZ,兆新股份,2008-07-02,—,—,光伏发电,3.65,,,6.43,,72.78,105.5,47.06,34.45,29.99
8,300317.SZ,珈伟新能,2012-05-18,—,—,光伏发电,4.32,,,2.3,,35.86,45.42,66.14,24.92,49.01
9,601778.SH,晶科科技,2020-05-26,—,—,光伏发电,4.29,47.23,33.29,0.97,0.64,153.2,61.82,39.76,-19.73,10.47
10,002480.SZ,新筑股份,2023-07-06,—,—,光伏发电,6.26,,,4.99,,48.15,83.39,62.91,-36.97,-37.53
11,000591.SZ,太阳能,1999-12-30,—,—,光伏发电,5.43,17.39,20.11,0.88,2.19,213.1,-12.82,-16.89,-14.08,-16.84
12,600821.SH,金开新能,2022-08-01,—,—,光伏发电,5.58,13.88,18.05,1.18,3.53,111.45,-24.8,-9.8,0.39,2.07
13,002617.SZ,露笑科技,2011-09-27,—,—,光伏发电,8.77,65.36,62.43,2.64,,168.65,5.17,-16.68,-0.82,-7.73
