序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002491.SZ,通鼎互联,2010-10-28,—,—,通信线缆及配套,8.97,142.68,2947.4,4.45,,110.33,-906.66,-130.15,12.71,5.39
2,300563.SZ,神宇股份,2016-11-21,—,—,通信线缆及配套,36.1,82.66,100.4,5.95,0.64,65.75,-20.86,-41.54,-3.28,0.46
3,000070.SZ,特发信息,2000-05-18,—,—,通信线缆及配套,14.16,,,8.46,,127.49,80.75,316.39,-10.04,-17.56
4,601869.SH,长飞光纤,2018-07-27,—,—,通信线缆及配套,161.76,198.14,233.88,9.67,0.17,1339.22,-18.02,-21.71,18.18,19.38
5,000586.SZ,汇源通信,1999-12-30,—,—,通信线缆及配套,14.3,,344.38,8.17,,27.66,665.31,244.66,30.37,45.51
6,300913.SZ,兆龙互连,2020-12-14,—,—,通信线缆及配套,50.02,112.05,85.14,6.81,0.18,171.46,53.82,50.3,13.28,14.29
7,688143.SH,长盈通,2023-09-25,—,—,通信线缆及配套,54.57,391.7,134.06,5.19,0.08,70.28,933.24,91.82,46.77,40.4
8,600487.SH,亨通光电,2003-08-29,—,—,通信线缆及配套,34.73,30.94,30.27,2.78,0.66,856.7,2.64,0.24,17.03,20.42
9,603042.SH,华脉科技,2017-06-09,—,—,通信线缆及配套,18.68,205.9,,3.48,,30.0,-343.88,-434.55,-5.07,-9.29
10,600105.SH,永鼎股份,1999-12-30,—,—,通信线缆及配套,25.9,616.56,113.64,11.66,0.33,378.66,474.3,917.66,22.13,24.07
11,600522.SH,中天科技,2002-10-31,—,—,通信线缆及配套,20.86,25.09,24.84,1.94,1.43,711.94,1.19,7.38,10.65,10.19
