序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,301139.SZ,元道通信,2022-07-15,—,—,通信工程及服务,18.74,53.79,171.46,1.17,0.19,22.78,-62.24,-46.96,-14.61,-27.84
2,002929.SZ,润建股份,2018-03-08,—,—,通信工程及服务,44.81,51.63,,2.01,0.29,127.3,-97.78,-83.37,11.04,10.02
3,300310.SZ,宜通世纪,2012-05-04,—,—,通信工程及服务,6.81,,,3.15,,60.04,-86.05,-104.92,-5.04,-0.54
4,603220.SH,中贝通信,2018-11-22,—,—,通信工程及服务,25.17,75.5,128.08,5.49,0.44,109.3,-41.14,-51.94,5.05,4.77
5,603602.SH,纵横通信,2017-08-17,—,—,通信工程及服务,14.51,177.75,118.62,3.11,0.46,33.53,44.37,45.81,-1.87,-12.12
6,300597.SZ,吉大通信,2017-02-06,—,—,通信工程及服务,9.96,554.37,,2.88,0.04,27.15,-436.06,-316.25,-12.29,-7.11
7,300603.SZ,立昂技术,2022-08-01,—,—,通信工程及服务,10.09,181.28,,3.34,,46.9,-1184.24,-258.48,8.76,23.41
8,603322.SH,超讯通信,2016-08-04,—,—,通信工程及服务,35.99,,,19.69,,56.72,135.48,155.26,79.63,96.37
9,300513.SZ,恒实科技,2016-06-06,—,—,通信工程及服务,9.41,,,2.24,,29.52,-72.06,-107.87,-19.7,-28.66
10,603206.SH,嘉环科技,2022-05-13,—,—,通信工程及服务,16.74,73.61,103.37,2.25,,51.09,-26.53,-26.38,-10.57,-6.41
11,300025.SZ,华星创业,2009-11-06,—,—,通信工程及服务,5.97,,,5.63,,30.37,1.4,-15.65,-12.54,-14.84
12,300050.SZ,世纪鼎利,2010-01-27,—,—,通信工程及服务,5.88,,,7.82,,32.04,179.26,160.47,-10.22,-6.87
13,600289.SH,ST信通,2000-07-27,—,—,通信工程及服务,6.74,,,3.81,,42.53,-575.85,-1269.5,0.03,-47.61
14,300211.SZ,*ST亿通,2011-05-12,—,—,通信工程及服务,8.45,,,5.54,,25.68,37.2,24.03,171.87,146.13
15,002544.SZ,普天科技,2011-02-11,—,—,通信工程及服务,31.48,1914.16,2040.7,5.73,0.03,214.23,-3.8,-152.91,-7.82,-16.96
16,603559.SH,ST通脉,2024-12-27,—,—,通信工程及服务,6.55,,,2.76,,26.28,23.0,28.12,25.99,50.71
17,000889.SZ,中嘉博创,1999-12-30,—,—,通信工程及服务,3.65,,,48.15,,34.17,-27.01,-47.91,10.01,10.46
18,300560.SZ,中富通,2016-11-08,—,—,通信工程及服务,16.46,,,3.9,,37.82,22.2,-10.12,-18.03,-26.53
19,002115.SZ,三维通信,2007-03-01,—,—,通信工程及服务,15.03,,,5.88,,121.89,111.67,-24.18,-14.89,-24.91
