序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,000936.SZ,华西股份,2007-07-03,—,—,涤纶,8.26,62.37,23.03,1.37,0.48,73.18,132.98,109.15,0.88,5.28
2,603225.SH,新凤鸣,2017-04-25,—,—,涤纶,20.02,27.8,25.0,1.73,1.1,305.92,16.55,17.28,4.77,7.1
3,603332.SH,苏州龙杰,2019-01-24,—,—,涤纶,13.7,51.31,54.68,2.32,1.6,29.64,-6.12,8.81,-9.04,-6.98
4,600370.SH,三房巷,2022-08-01,—,—,涤纶,2.5,,,1.97,,97.42,-60.2,-90.89,-12.49,-13.97
5,002206.SZ,海利得,2008-01-31,—,—,涤纶,6.96,19.7,15.29,2.07,2.51,80.89,39.97,56.16,1.07,1.55
6,002998.SZ,优彩资源,2020-10-12,—,—,涤纶,8.36,35.14,78.77,1.79,5.75,29.43,-47.84,-41.99,19.34,16.84
7,301057.SZ,汇隆新材,2021-09-16,—,—,涤纶,41.3,156.21,129.7,6.35,0.48,48.31,25.88,35.41,11.26,8.75
8,002427.SZ,尤夫股份,2022-12-13,—,—,涤纶,7.52,,272.14,7.82,,74.1,155.79,130.37,1.82,1.95
9,603073.SH,彩蝶实业,2023-03-23,—,—,涤纶,21.09,24.44,25.22,1.77,1.42,24.46,-4.72,-24.66,6.2,2.74
10,603406.SH,天富龙,2025-08-15,—,—,涤纶,38.95,34.35,34.4,3.49,1.28,155.8,-0.2,0.41,-7.93,-4.68
