序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002850.SZ,科达利,2017-03-09,—,—,锂电池,161.86,30.24,27.14,3.53,1.23,445.02,16.55,18.72,23.41,22.01
2,688345.SH,博力威,2023-09-25,—,—,锂电池,35.07,,,3.21,,35.47,316.77,259.56,62.73,62.25
3,600110.SH,诺德股份,2022-08-01,—,—,锂电池,6.63,,,1.95,,115.04,56.9,54.47,29.21,26.37
4,688567.SH,孚能科技,2023-09-25,—,—,锂电池,14.24,,,1.81,,174.03,-26.89,14.92,-28.74,-37.58
5,002074.SZ,国轩高科,2006-10-25,—,—,锂电池,37.14,55.83,20.25,2.37,0.27,673.76,514.35,35.22,17.21,15.48
6,300750.SZ,宁德时代,2018-06-19,—,—,锂电池,362.94,32.64,25.97,5.27,1.52,16563.87,36.2,33.33,9.28,7.27
7,600152.SH,维科技术,1999-12-30,—,—,锂电池,7.62,,,2.37,,40.32,-11355.24,-435.25,-6.54,-6.48
8,301327.SZ,华宝新能,2022-09-26,—,—,锂电池,56.55,41.17,44.3,1.59,1.45,98.61,-10.62,68.31,37.95,43.32
9,300953.SZ,震裕科技,2022-08-01,—,—,锂电池,155.7,106.36,54.73,6.31,0.09,270.1,138.93,60.45,31.47,29.17
10,301587.SZ,中瑞股份,2024-04-15,—,—,锂电池,24.3,47.68,77.62,1.81,2.0,35.8,-53.53,-63.11,3.8,-3.23
11,301210.SZ,金杨精密,2023-07-07,—,—,锂电池,38.79,79.02,83.37,2.44,0.79,44.46,-8.01,-28.15,22.0,18.13
12,688772.SH,珠海冠宇,2023-09-25,—,—,锂电池,19.0,49.99,39.17,3.02,1.56,215.12,44.37,14.77,21.18,14.03
13,688388.SH,嘉元科技,2023-09-25,—,—,锂电池,41.71,,,2.61,,177.79,128.39,134.94,50.71,63.55
14,001283.SZ,豪鹏科技,2022-09-13,—,—,锂电池,67.05,73.43,35.48,1.94,0.53,67.01,125.9,252.49,16.06,19.29
15,300438.SZ,鹏辉能源,2015-05-04,—,—,锂电池,47.17,,,4.56,,237.43,89.33,-311.68,34.23,13.99
16,000049.SZ,德赛电池,1999-12-30,—,—,锂电池,25.79,24.02,23.76,1.49,1.28,99.2,2.02,-9.36,7.67,9.32
17,688063.SH,派能科技,2023-09-25,—,—,锂电池,60.62,361.83,288.32,1.63,0.72,148.74,28.05,-30.01,42.52,33.75
18,300014.SZ,亿纬锂能,2009-11-06,—,—,锂电池,61.58,31.34,34.5,3.17,1.19,1277.24,-11.7,-24.9,32.17,30.06
19,301511.SZ,德福科技,2023-08-24,—,—,锂电池,28.44,,700.68,4.41,,179.26,132.63,136.71,59.14,66.82
20,600241.SH,时代万恒,2022-08-01,—,—,锂电池,8.54,129.67,1114.14,2.15,,25.13,-91.08,-55.57,-6.23,0.15
21,600478.SH,科力远,2003-09-25,—,—,锂电池,6.92,147.49,60.91,3.97,,115.26,539.97,187.23,25.25,23.21
22,301150.SZ,中一科技,2022-08-01,—,—,锂电池,39.05,,396.46,2.56,,91.08,156.51,129.23,19.55,21.04
23,002245.SZ,蔚蓝锂芯,2008-06-13,—,—,锂电池,16.37,38.72,26.27,2.55,0.4,188.88,82.05,99.09,20.17,21.59
24,300207.SZ,欣旺达,2011-04-28,—,—,锂电池,23.34,29.37,25.95,1.74,0.89,431.2,15.94,3.88,13.73,12.82
25,301121.SZ,紫建电子,2022-08-15,—,—,锂电池,40.03,49.33,103.1,2.38,0.35,39.56,-77.52,-46.53,16.05,12.43
26,301217.SZ,铜冠铜箔,2023-07-06,—,—,锂电池,29.92,,3674.8,4.6,0.07,248.04,162.49,159.47,47.13,44.8
