序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,603888.SH,新华网,2016-11-04,—,—,门户网站,24.25,69.95,58.12,4.45,0.43,163.62,30.56,30.2,7.88,2.3
2,600228.SH,*ST返利,2006-06-07,—,—,门户网站,6.27,,,6.33,,26.13,-1263.78,-1089.13,63.67,36.01
3,002095.SZ,生意宝,2006-12-22,—,—,门户网站,18.35,,,5.24,0.27,46.37,81.11,-130.3,8.69,25.61
4,603000.SH,人民网,2012-05-08,—,—,门户网站,23.34,123.34,138.22,7.03,0.57,258.07,-40.1,-132.0,-3.29,-3.9
5,300987.SZ,川网传媒,2021-05-18,—,—,门户网站,21.22,154.57,166.5,4.64,0.59,36.79,-16.44,-52.0,25.44,29.09
6,300295.SZ,三六五网,2012-03-22,—,—,门户网站,12.02,,,2.02,,22.79,21.53,-220.21,-25.28,-42.2
7,300785.SZ,值得买,2019-09-06,—,—,门户网站,67.77,179.11,158.76,7.14,0.22,134.76,253.49,65.75,-20.37,-18.7
8,301299.SZ,卓创资讯,2022-10-26,—,—,门户网站,58.88,50.42,52.76,6.24,2.89,35.55,-5.93,-10.72,19.91,15.75
