序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600171.SH,上海贝岭,2006-01-24,—,—,模拟芯片设计,31.2,55.92,61.23,4.92,0.54,221.18,-14.38,2.25,18.32,21.27
2,688209.SH,英集芯,2023-09-25,—,—,模拟芯片设计,24.05,83.96,69.71,4.91,0.37,104.33,28.54,32.96,14.16,13.42
3,688391.SH,钜泉科技,2023-09-25,—,—,模拟芯片设计,32.45,39.93,56.09,2.01,1.85,37.38,-37.71,-33.34,-9.17,-11.39
4,688582.SH,芯动联科,2023-09-25,—,—,模拟芯片设计,64.28,116.23,79.99,10.53,0.59,258.24,72.91,173.37,47.73,84.34
5,603160.SH,汇顶科技,2016-10-24,—,—,模拟芯片设计,77.11,59.44,43.12,3.86,0.7,358.82,50.99,35.74,9.25,-0.2
6,688045.SH,必易微,2023-09-25,—,—,模拟芯片设计,49.85,,8381.91,2.52,,34.81,86.29,16.92,-3.15,-6.99
7,688798.SH,艾为电子,2023-09-25,—,—,模拟芯片设计,75.46,69.02,49.88,4.22,0.44,175.92,54.98,71.09,-8.02,-13.4
8,688173.SH,希荻微,2023-09-25,—,—,模拟芯片设计,15.51,,,4.38,,64.01,60.94,61.98,107.81,102.73
9,688286.SH,敏芯股份,2023-09-25,—,—,模拟芯片设计,75.58,,85.77,3.95,,42.37,175.99,171.65,37.73,47.82
10,688536.SH,思瑞浦,2023-09-25,—,—,模拟芯片设计,188.64,,945.27,4.23,,260.13,227.64,200.07,80.47,87.33
11,688790.SH,昂瑞微-UW,2025-12-23,—,—,模拟芯片设计,147.3,,,5.15,,146.61,-426.66,,-20.69,
12,688515.SH,裕太微-U,2023-09-25,—,—,模拟芯片设计,112.85,,,6.01,,90.28,8.89,3.89,45.7,43.41
13,603068.SH,博通集成,2019-04-22,—,—,模拟芯片设计,37.25,,300.47,3.33,,56.03,127.36,149.33,8.4,10.8
14,300661.SZ,圣邦股份,2017-06-13,—,—,模拟芯片设计,70.25,86.79,77.73,8.85,0.22,434.18,20.47,12.42,14.55,15.37
15,688368.SH,晶丰明源,2023-09-25,—,—,模拟芯片设计,151.7,,301.16,11.45,0.32,134.26,142.96,151.67,2.67,-0.44
16,688381.SH,帝奥微,2023-09-25,—,—,模拟芯片设计,23.41,,,2.23,0.88,57.94,-232.46,-115.73,11.41,15.11
17,688458.SH,美芯晟,2023-09-25,—,—,模拟芯片设计,41.1,,,2.48,,45.84,132.0,131.25,46.47,36.83
18,688601.SH,力芯微,2023-09-25,—,—,模拟芯片设计,54.5,57.89,134.63,5.87,0.73,72.86,-71.4,-78.72,-6.69,-14.62
19,688699.SH,明微电子,2023-09-25,—,—,模拟芯片设计,62.48,970.08,,5.68,,68.77,-577.53,-616.66,4.41,-1.64
20,688653.SH,康希通信,2023-11-24,—,—,模拟芯片设计,13.73,,,4.05,,58.28,9.86,-38.1,39.32,45.92
21,688141.SH,杰华特,2023-09-25,—,—,模拟芯片设计,50.15,,,13.03,,225.84,9.29,12.44,63.01,58.2
22,688508.SH,芯朋微,2023-09-25,—,—,模拟芯片设计,69.35,81.8,42.97,3.36,0.57,91.06,130.25,106.02,24.05,40.32
23,600877.SH,电科芯片,2022-08-01,—,—,模拟芯片设计,20.14,347.35,1214.83,9.65,,238.47,-83.15,-78.05,-11.3,-8.53
24,688153.SH,唯捷创芯,2023-09-25,—,—,模拟芯片设计,37.77,,956.37,4.07,,162.53,126.77,-183.72,4.53,-7.93
25,603375.SH,盛景微,2024-01-31,—,—,模拟芯片设计,37.64,165.39,163.75,2.4,0.27,37.89,1.2,57.66,0.68,2.4
26,688061.SH,灿瑞科技,2023-09-25,—,—,模拟芯片设计,35.46,,,1.71,,40.74,-62.7,-348.59,13.75,8.57
27,688512.SH,慧智微-U,2023-09-25,—,—,模拟芯片设计,11.49,,,3.1,,53.64,58.98,64.41,48.04,39.97
28,688325.SH,赛微微电,2023-09-25,—,—,模拟芯片设计,97.99,107.06,104.49,4.91,1.0,84.41,3.23,29.91,22.37,31.0
29,688270.SH,臻镭科技,2023-09-25,—,—,模拟芯片设计,189.0,2070.94,374.5,18.19,,404.56,579.92,1006.99,65.76,73.64
30,300671.SZ,富满微,2017-07-12,—,—,模拟芯片设计,52.0,,,6.93,,115.12,8.24,25.2,19.32,26.42
31,688052.SH,纳芯微,2023-09-25,—,—,模拟芯片设计,181.01,,,3.68,,294.36,65.54,70.59,73.18,79.49
32,300782.SZ,卓胜微,2019-06-25,—,—,模拟芯片设计,73.99,98.5,,3.95,0.14,395.8,-140.13,-141.59,-17.77,-25.42
33,688130.SH,晶华微,2023-09-25,—,—,模拟芯片设计,23.5,,,2.28,,28.41,-330.86,-600.18,27.32,30.68
34,688220.SH,翱捷科技-U,2023-09-25,—,—,模拟芯片设计,78.9,,,5.99,,330.04,20.62,7.29,13.42,14.67
35,688484.SH,南芯科技,2023-09-25,—,—,模拟芯片设计,41.91,58.4,79.21,4.35,0.47,179.23,-29.66,-40.21,25.34,17.6
