序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,301006.SZ,迈拓股份,2021-06-23,—,—,仪器仪表,18.51,32.55,29.22,2.02,1.07,25.78,19.99,10.8,10.45,11.73
2,301413.SZ,安培龙,2023-12-25,—,—,仪器仪表,165.33,196.87,174.24,13.0,0.18,162.69,17.2,19.6,30.27,34.44
3,002819.SZ,东方中科,2016-11-18,—,—,仪器仪表,27.6,,,2.06,0.09,82.69,2.04,5.21,3.24,0.04
4,300466.SZ,赛摩智能,2024-07-31,—,—,仪器仪表,9.79,,,7.27,,52.43,51.82,-658.53,-5.63,-9.88
5,688622.SH,禾信仪器,2023-09-25,—,—,仪器仪表,119.76,,,23.02,,84.39,-63.4,20.86,-52.81,-48.88
6,688112.SH,鼎阳科技,2023-09-25,—,—,仪器仪表,38.85,55.31,47.04,3.94,1.31,62.0,21.49,31.54,21.67,24.61
7,300112.SZ,万讯自控,2010-09-06,—,—,仪器仪表,8.9,,,2.57,,25.83,-184.7,-253.92,3.22,5.59
8,688768.SH,容知日新,2023-09-25,—,—,仪器仪表,65.46,53.57,43.73,5.48,0.65,57.6,889.54,2063.42,13.86,16.55
9,300007.SZ,汉威科技,2009-11-09,—,—,仪器仪表,53.14,226.92,212.9,5.99,0.08,174.0,6.33,14.47,8.44,5.67
10,300417.SZ,南华仪器,2015-01-30,—,—,仪器仪表,13.86,126.3,,4.06,,18.65,-100.97,-105.42,63.6,71.85
11,300557.SZ,理工光科,2016-11-08,—,—,仪器仪表,34.98,123.13,89.76,4.24,0.44,42.28,47.56,23.67,13.79,10.33
12,300165.SZ,ST天瑞,2011-02-15,—,—,仪器仪表,5.17,,,2.01,,25.62,82.2,35.63,-26.15,-22.36
13,300553.SZ,集智股份,2016-10-28,—,—,仪器仪表,41.92,243.66,124.93,5.47,,46.54,133.25,199.23,42.78,51.66
14,688600.SH,皖仪科技,2025-09-29,—,—,仪器仪表,27.07,253.11,54.55,4.8,0.34,36.47,196.55,103.63,13.84,3.79
15,688056.SH,莱伯泰科,2023-09-25,—,—,仪器仪表,37.07,63.87,68.32,3.11,1.6,25.0,-7.26,-11.53,-8.43,-10.33
16,605056.SH,咸亨国际,2021-07-27,—,—,仪器仪表,21.4,39.38,34.52,5.33,2.03,87.8,32.45,44.87,35.47,33.74
17,688628.SH,优利德,2023-09-25,—,—,仪器仪表,36.33,22.14,24.33,3.27,3.56,40.61,-10.87,-5.14,8.1,9.52
18,301129.SZ,瑞纳智能,2021-11-09,—,—,仪器仪表,26.18,46.37,51.33,2.11,0.93,35.58,-18.95,59.63,40.32,27.2
19,603100.SH,川仪股份,2021-12-13,—,—,仪器仪表,25.1,16.56,20.43,2.86,2.29,128.81,-17.28,-10.46,-13.02,-12.37
20,688610.SH,埃科光电,2023-09-25,—,—,仪器仪表,80.33,347.41,97.09,3.68,0.25,54.62,253.13,127.4,82.26,64.39
21,301360.SZ,荣旗科技,2023-05-05,—,—,仪器仪表,81.69,97.05,137.48,3.77,0.43,43.57,-71.66,-137.13,-8.52,-10.65
22,603700.SH,宁水集团,2019-01-29,—,—,仪器仪表,14.16,54.02,30.58,1.75,1.41,28.31,114.2,76.83,18.62,10.44
23,688450.SH,光格科技,2023-09-25,—,—,仪器仪表,30.25,,,2.08,,19.96,-36.4,-55.6,42.98,71.44
24,300445.SZ,康斯特,2015-05-04,—,—,仪器仪表,23.84,40.38,38.86,3.98,0.38,50.64,5.49,-7.71,9.99,3.76
25,300720.SZ,海川智能,2017-11-13,—,—,仪器仪表,33.08,134.78,166.53,11.01,0.45,64.47,-24.82,-20.32,-7.02,-8.34
26,688528.SH,秦川物联,2023-09-25,—,—,仪器仪表,11.76,,,3.98,,19.76,-66.72,-209.73,-16.24,-32.57
27,300515.SZ,三德科技,2016-06-17,—,—,仪器仪表,19.79,28.43,22.58,4.72,1.48,40.72,47.52,45.74,26.94,33.44
28,300667.SZ,必创科技,2018-07-16,—,—,仪器仪表,19.66,,,3.55,,40.23,-218.1,-493.09,-9.21,-11.95
29,688627.SH,精智达,2023-09-25,—,—,仪器仪表,294.0,344.8,393.45,16.25,0.11,276.39,-19.29,-19.94,33.0,22.68
30,300349.SZ,金卡智能,2013-07-01,—,—,仪器仪表,17.47,20.24,27.07,1.64,2.85,72.89,-30.49,-37.97,5.52,3.69
31,300370.SZ,安控科技,2022-12-21,—,—,仪器仪表,2.72,,,8.37,,42.58,-87.79,2.62,-12.87,12.64
32,300066.SZ,三川智慧,2010-04-06,—,—,仪器仪表,6.77,110.42,51.71,2.69,0.44,70.41,101.23,0.54,-25.53,-33.49
