序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600496.SH,精工钢构,2014-02-21,—,—,钢结构,4.62,17.97,14.69,1.0,1.73,91.94,24.02,28.06,20.85,29.48
2,002743.SZ,富煌钢构,2015-03-03,—,—,钢结构,5.76,48.8,101.15,0.76,,25.07,-39.16,-19.03,-19.6,-8.01
3,603098.SH,森特股份,2016-12-23,—,—,钢结构,15.75,115.56,88.67,3.01,0.32,85.0,30.16,25.51,19.05,29.4
4,002593.SZ,日上集团,2019-07-08,—,—,钢结构,6.03,93.26,48.91,2.0,0.83,48.47,151.91,17.49,20.46,11.4
5,600477.SH,杭萧钢构,2014-02-21,—,—,钢结构,3.62,50.55,75.93,1.71,1.69,85.39,-27.51,-20.16,-3.51,-2.0
6,300517.SZ,海波重科,2016-07-26,—,—,钢结构,12.3,107.16,,2.44,0.8,24.65,-147.09,-78.13,-38.3,-34.75
7,601096.SH,宏盛华源,2023-12-29,—,—,钢结构,5.89,68.47,47.09,3.44,0.68,157.57,58.54,96.3,-3.1,-4.53
8,002541.SZ,鸿路钢构,2014-02-21,—,—,钢结构,22.71,20.29,25.56,1.64,1.58,156.7,-24.29,-32.69,0.19,2.17
9,002135.SZ,东南网架,2014-02-21,—,—,钢结构,6.14,35.96,87.79,1.09,1.14,68.49,-68.83,-67.28,-26.15,-27.28
