序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002818.SZ,富森美,2016-11-16,—,—,商业物业经营,11.81,12.81,14.22,1.6,8.81,88.39,-12.6,-6.35,-14.35,-11.55
2,000061.SZ,农产品,1999-12-30,—,—,商业物业经营,9.26,47.84,54.91,2.19,0.65,183.81,-16.31,-11.07,36.11,44.98
3,600605.SH,汇通能源,1999-12-30,—,—,商业物业经营,28.48,61.77,255.71,4.13,0.49,58.75,-73.29,-74.88,-17.8,-14.05
4,300947.SZ,德必集团,2021-02-24,—,—,商业物业经营,20.6,91.18,141.9,2.49,,31.13,-54.85,-41.15,-4.01,-4.56
5,600790.SH,轻纺城,1999-12-30,—,—,商业物业经营,4.0,41.63,70.29,1.01,2.78,58.63,-26.0,-6.49,1.76,8.93
6,000007.SZ,全新好,1999-12-30,—,—,商业物业经营,11.19,68.71,68.42,21.22,,38.77,7.62,9.44,94.42,146.25
7,000785.SZ,居然智家,1999-12-30,—,—,商业物业经营,2.99,24.2,42.72,0.9,,186.19,-45.58,-45.52,-3.38,1.54
8,002344.SZ,海宁皮城,2010-02-02,—,—,商业物业经营,5.07,73.2,85.06,0.78,0.75,65.03,-17.18,-21.9,-0.18,-0.18
9,000058.SZ,深赛格,1999-12-30,—,—,商业物业经营,9.16,300.25,122.16,5.41,0.14,112.78,143.63,-7.04,-2.12,-6.32
10,600415.SH,小商品城,2002-05-16,—,—,商业物业经营,15.44,27.55,20.15,3.82,2.14,846.66,48.45,16.78,23.07,13.99
11,603682.SH,锦和商管,2020-04-28,—,—,商业物业经营,7.07,226.43,53.06,3.52,4.67,33.41,127.98,224.95,-5.89,-5.18
12,600113.SH,浙江东日,1999-12-30,—,—,商业物业经营,60.01,187.62,175.13,9.95,0.2,252.75,9.13,12.12,2.66,6.23
13,600655.SH,豫园股份,1999-12-30,—,—,商业物业经营,5.23,162.52,,0.59,3.61,203.58,-142.07,-94.5,-21.33,-30.68
14,601828.SH,美凯龙,2018-01-24,—,—,商业物业经营,2.64,,,0.27,,114.96,-66.55,-51.63,-18.62,-21.01
