序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600803.SH,新奥股份,2020-09-01,—,—,燃气Ⅲ,19.83,13.66,13.86,2.65,6.09,613.89,-1.87,-4.82,-2.91,-1.47
2,600635.SH,大众公用,2016-07-01,—,—,燃气Ⅲ,6.29,79.65,31.88,2.05,0.57,185.71,205.14,172.62,-2.65,-5.78
3,603706.SH,东方环宇,2018-07-16,—,—,燃气Ⅲ,20.9,20.04,18.5,2.38,4.31,39.58,13.57,7.53,4.85,6.48
4,300332.SZ,天壕能源,2021-12-13,—,—,燃气Ⅲ,5.47,37.92,53.2,1.11,,47.32,-27.25,-32.08,-36.05,-32.15
5,605368.SH,蓝天燃气,2021-02-05,—,—,燃气Ⅲ,8.27,11.74,18.82,1.84,10.28,59.1,-41.95,-40.08,-14.95,-13.98
6,600333.SH,长春燃气,2000-12-11,—,—,燃气Ⅲ,5.71,,,1.86,,34.78,31.03,-4.37,-4.42,-5.69
7,603393.SH,新天然气,2016-09-21,—,—,燃气Ⅲ,28.89,10.33,10.95,1.36,,122.47,-7.53,2.81,0.2,4.46
8,605169.SH,洪通燃气,2020-11-06,—,—,燃气Ⅲ,13.27,21.68,37.31,1.92,1.85,37.54,-43.96,15.98,16.72,34.37
9,603080.SH,新疆火炬,2018-01-10,—,—,燃气Ⅲ,23.42,21.13,18.04,2.18,2.39,33.14,20.49,25.52,8.24,9.94
10,600681.SH,百川能源,2016-07-01,—,—,燃气Ⅲ,4.12,17.32,16.45,1.57,5.7,55.24,9.82,30.68,5.8,5.82
11,300483.SZ,首华燃气,2021-12-13,—,—,燃气Ⅲ,15.39,,,2.0,,48.33,97.93,113.05,95.91,117.2
12,000407.SZ,胜利股份,2016-07-01,—,—,燃气Ⅲ,5.04,37.83,34.76,1.46,0.83,44.36,9.43,7.77,-5.07,-1.64
13,600617.SH,国新能源,2014-07-02,—,—,燃气Ⅲ,3.14,,,1.79,,60.58,7.58,37.66,-3.7,-1.99
14,600917.SH,重庆燃气,2014-10-14,—,—,燃气Ⅲ,5.72,23.33,34.61,1.57,1.43,89.29,-47.14,-28.9,2.97,5.1
15,001299.SZ,美能能源,2022-11-07,—,—,燃气Ⅲ,13.27,36.88,32.53,2.73,5.67,32.2,21.38,30.15,17.28,19.08
16,300435.SZ,中泰股份,2020-03-10,—,—,燃气Ⅲ,29.87,,169.25,3.48,0.67,115.21,77.07,9.14,5.13,-4.79
17,002911.SZ,佛燃能源,2017-11-29,—,—,燃气Ⅲ,14.43,21.96,18.72,4.22,3.33,187.36,6.07,7.27,5.38,8.59
18,000669.SZ,ST金鸿,2013-07-01,—,—,燃气Ⅲ,3.03,,,,,20.62,51.43,67.36,-4.38,-6.99
19,002267.SZ,陕天然气,2008-08-21,—,—,燃气Ⅲ,7.86,12.07,12.95,1.33,4.45,87.41,-23.85,-12.62,-7.38,-1.47
20,001331.SZ,胜通能源,2022-09-16,—,—,燃气Ⅲ,62.3,,5295.02,11.61,,175.84,83.58,48.47,12.57,26.88
21,603053.SH,成都燃气,2019-12-24,—,—,燃气Ⅲ,10.09,18.35,18.48,1.86,2.97,89.69,-0.84,0.91,-0.78,3.68
22,605090.SH,九丰能源,2021-06-01,—,—,燃气Ⅲ,45.98,19.23,23.29,3.07,2.46,323.71,-19.13,-22.17,-8.45,-7.45
23,002700.SZ,万憬能源,2012-09-28,—,—,燃气Ⅲ,7.35,32.63,40.8,2.22,0.9,30.4,-22.73,-27.37,-2.06,3.86
24,002259.SZ,升达林业,2018-07-16,—,—,燃气Ⅲ,5.9,369.94,85.52,16.35,,44.39,196.44,132.41,40.65,78.26
25,600903.SH,贵州燃气,2017-11-14,—,—,燃气Ⅲ,6.88,126.56,,2.64,0.51,79.12,-64.29,-41.94,0.45,4.73
26,000593.SZ,德龙汇能,2016-02-19,—,—,燃气Ⅲ,14.31,269.44,3446.77,5.87,,51.32,-41.47,-20.25,1.56,4.49
27,603318.SH,水发燃气,2021-12-13,—,—,燃气Ⅲ,7.03,31.44,,2.27,0.97,32.27,-171.15,-218.33,-3.67,-7.4
28,601139.SH,深圳燃气,2010-01-05,—,—,燃气Ⅲ,6.8,13.43,13.91,1.24,2.35,195.62,-13.08,-13.61,8.63,11.99
29,603689.SH,皖天然气,2017-01-17,—,—,燃气Ⅲ,8.42,13.32,14.2,1.25,4.43,44.29,-7.31,-2.6,-10.3,-8.49
