序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,601606.SH,长城军工,2018-08-13,—,—,地面兵装Ⅲ,44.06,,,14.42,,319.1,76.66,30.85,10.79,29.55
2,301357.SZ,北方长龙,2023-04-25,—,—,地面兵装Ⅲ,126.91,,1118.66,10.62,,120.82,208.52,73.64,159.21,59.62
3,300875.SZ,捷强装备,2020-08-31,—,—,地面兵装Ⅲ,39.93,,,4.22,,39.86,-146.2,-798.61,8.07,1.44
4,002519.SZ,银河电子,2023-08-24,—,—,地面兵装Ⅲ,8.65,,,4.24,,97.44,-128.29,-121.21,-59.12,-59.73
5,300922.SZ,天秦装备,2021-01-04,—,—,地面兵装Ⅲ,22.64,86.24,84.98,3.85,0.78,35.94,2.25,2.78,11.73,18.42
6,600184.SH,光电股份,2014-02-21,—,—,地面兵装Ⅲ,17.6,,,3.03,,102.56,2131.96,92.96,35.56,20.23
7,600435.SH,北方导航,2014-02-21,—,—,地面兵装Ⅲ,16.54,423.7,97.22,8.56,0.12,250.14,268.83,256.59,210.01,481.19
8,600967.SH,内蒙一机,2017-07-03,—,—,地面兵装Ⅲ,16.68,56.83,54.38,2.39,0.42,283.86,6.18,9.99,11.07,19.62
9,688543.SH,国科军工,2023-09-25,—,—,地面兵装Ⅲ,63.84,67.09,69.28,5.81,1.17,133.32,-4.21,-3.18,1.49,-13.37
10,000576.SZ,甘化科工,2020-06-23,—,—,地面兵装Ⅲ,10.63,226.14,59.46,2.81,,46.39,287.11,28.26,29.73,18.64
11,000519.SZ,中兵红箭,2017-07-03,—,—,地面兵装Ⅲ,18.62,,,2.54,,259.29,2.3,-191.32,25.95,17.36
12,300527.SZ,ST应急,2018-07-16,—,—,地面兵装Ⅲ,8.45,994.26,739.67,2.95,0.03,85.92,58.96,504.17,-18.06,-2.61
