序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,601298.SH,青岛港,2019-01-28,—,—,港口,9.72,12.05,11.51,1.42,3.57,630.93,6.33,7.58,1.86,4.04
2,601008.SH,连云港,2007-05-11,—,—,港口,5.28,34.36,42.67,1.59,1.14,65.51,-25.9,-41.58,-3.45,-4.74
3,000582.SZ,北部湾港,1995-11-02,—,—,港口,9.77,19.32,21.57,1.24,1.28,235.55,-13.89,-15.7,12.92,11.5
4,600279.SH,重庆港,2000-07-31,—,—,港口,5.44,12.21,12.85,0.96,0.74,64.57,-35.43,-90.35,-5.1,3.31
5,600017.SH,日照港,2006-10-25,—,—,港口,3.15,14.79,17.79,0.69,3.78,96.88,-17.38,-17.47,-9.78,-10.66
6,601228.SH,广州港,2017-04-07,—,—,港口,3.47,27.15,29.29,1.23,1.12,261.8,-9.2,-9.12,11.06,1.39
7,000088.SZ,盐田港,2021-12-13,—,—,港口,4.53,17.46,16.63,1.33,4.81,235.54,6.66,4.07,0.49,-4.49
8,600717.SH,天津港,1996-06-14,—,—,港口,4.81,14.01,15.81,0.7,2.16,139.2,-12.65,-18.33,4.34,4.33
9,600018.SH,上港集团,2006-11-03,—,—,港口,5.05,7.86,8.77,0.85,3.86,1175.64,-4.56,-4.47,3.18,-1.35
10,601018.SH,宁波港,2010-10-13,—,—,港口,4.08,16.21,15.36,0.98,3.38,793.74,-5.54,16.37,4.68,3.06
11,601000.SH,唐山港,2010-07-13,—,—,港口,4.32,12.94,14.34,1.22,4.63,256.0,-12.22,-19.83,-4.47,-12.93
12,601326.SH,秦港股份,2017-08-23,—,—,港口,3.57,12.75,12.34,0.98,2.38,199.47,3.87,-2.22,2.81,-0.3
13,002040.SZ,南京港,2005-03-25,—,—,港口,10.23,32.61,29.45,1.48,0.93,49.92,13.25,8.82,6.21,5.66
14,000905.SZ,厦门港务,2005-07-01,—,—,港口,13.16,48.89,47.48,1.94,0.84,97.62,3.12,9.44,-7.67,-14.72
15,601880.SH,辽港股份,2010-12-14,—,—,港口,1.65,34.0,25.95,0.96,1.45,388.93,37.51,110.78,5.99,5.93
16,001872.SZ,招商港口,1993-05-05,—,—,港口,19.82,10.89,10.72,0.78,3.74,491.89,1.89,3.13,4.89,6.19
