序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,300131.SZ,英唐智控,2022-08-01,—,—,其他电子Ⅲ,14.88,280.2,421.52,9.56,,168.89,-43.67,-14.12,2.4,3.52
2,300991.SZ,创益通,2021-12-13,—,—,其他电子Ⅲ,42.15,308.41,238.34,9.51,0.07,60.7,135.74,66.51,6.38,16.39
3,300475.SZ,香农芯创,2022-05-24,—,—,其他电子Ⅲ,139.9,246.29,251.01,19.23,0.07,650.38,-1.36,0.95,59.9,119.35
4,002161.SZ,远望谷,2009-06-02,—,—,其他电子Ⅲ,8.92,236.95,60.42,3.93,0.17,65.99,128.5,61.91,11.16,13.97
5,301099.SZ,雅创电子,2022-08-01,—,—,其他电子Ⅲ,45.41,53.72,63.92,5.14,0.49,66.6,-19.3,1.47,105.27,125.74
6,000670.SZ,盈方微,2022-08-23,—,—,其他电子Ⅲ,8.3,,,115.22,,70.11,-18.69,-44.17,17.62,4.48
7,002130.SZ,沃尔核材,2021-12-13,—,—,其他电子Ⅲ,27.51,40.89,34.17,5.61,0.49,346.6,25.45,33.06,26.17,27.46
8,002388.SZ,新亚制程,2010-04-21,—,—,其他电子Ⅲ,5.49,,,2.86,,28.04,170.58,-34.67,-12.66,-12.36
9,600353.SH,旭光电子,2018-07-16,—,—,其他电子Ⅲ,17.7,143.36,119.71,7.86,0.34,146.91,25.04,13.52,5.57,0.47
10,688800.SH,瑞可达,2023-09-25,—,—,其他电子Ⅲ,79.7,93.53,54.22,7.15,0.34,163.92,119.89,141.64,46.04,59.15
11,300650.SZ,太龙股份,2022-08-01,—,—,其他电子Ⅲ,19.06,81.32,76.21,3.28,0.26,41.61,9.84,-17.83,5.8,1.29
12,301031.SZ,中熔电气,2021-12-13,—,—,其他电子Ⅲ,138.11,72.64,43.94,9.65,0.37,135.79,101.77,110.25,48.47,41.2
13,688093.SH,世华科技,2023-09-25,—,—,其他电子Ⅲ,34.05,34.14,23.84,3.52,1.61,95.47,61.81,86.38,49.23,73.79
14,688103.SH,国力电子,2023-09-25,—,—,其他电子Ⅲ,61.96,195.31,99.13,5.26,0.34,59.06,111.21,142.68,71.23,70.49
15,301275.SZ,汉朔科技,2025-03-18,—,—,其他电子Ⅲ,58.7,34.91,49.97,6.2,0.26,247.95,-40.51,-41.68,-11.04,-6.73
16,001287.SZ,中电港,2023-04-17,—,—,其他电子Ⅲ,23.04,73.86,50.63,3.26,0.49,175.08,73.06,64.98,33.29,35.64
17,300516.SZ,久之洋,2016-06-13,—,—,其他电子Ⅲ,69.76,405.38,385.49,9.67,0.1,125.57,7.93,-43.74,29.12,7.58
18,002885.SZ,京泉华,2022-08-01,—,—,其他电子Ⅲ,26.2,185.72,104.77,4.82,0.08,70.98,69.74,11.45,23.96,29.84
19,603933.SH,睿能科技,2021-12-13,—,—,其他电子Ⅲ,23.11,129.88,280.48,3.63,0.26,47.96,-32.73,-31.43,12.95,13.83
20,001298.SZ,好上好,2022-11-07,—,—,其他电子Ⅲ,30.21,297.44,183.06,5.57,0.14,89.66,62.14,71.05,14.46,16.13
21,002782.SZ,可立克,2022-08-01,—,—,其他电子Ⅲ,21.22,45.72,33.93,4.91,0.7,105.24,52.51,46.1,24.86,25.27
22,300656.SZ,民德电子,2017-05-26,—,—,其他电子Ⅲ,28.56,,,4.99,,48.87,-9.84,233.92,-13.71,-19.17
23,688662.SH,富信科技,2023-09-25,—,—,其他电子Ⅲ,51.65,102.47,114.26,6.24,0.68,45.58,-1.7,-8.59,6.79,6.94
24,300493.SZ,润欣科技,2021-12-13,—,—,其他电子Ⅲ,19.19,270.42,217.05,8.45,0.18,98.35,24.09,18.23,11.67,16.42
25,002922.SZ,伊戈尔,2021-12-13,—,—,其他电子Ⅲ,40.2,58.16,65.39,4.55,0.93,170.13,-15.14,-40.59,17.32,20.16
26,300736.SZ,百邦科技,2018-01-16,—,—,其他电子Ⅲ,18.75,,,29.25,,23.99,-8.48,40.2,-13.13,-8.85
27,000062.SZ,深圳华强,2017-07-03,—,—,其他电子Ⅲ,24.39,119.78,82.88,3.83,2.38,255.1,35.62,33.45,8.46,6.42
28,301359.SZ,东南电子,2022-11-16,—,—,其他电子Ⅲ,21.36,55.99,60.97,3.04,1.67,25.67,-11.22,-3.6,8.12,3.87
29,300184.SZ,力源信息,2011-03-02,—,—,其他电子Ⅲ,10.53,123.14,78.67,2.97,,121.2,55.49,65.79,15.58,17.46
30,002859.SZ,洁美科技,2021-12-13,—,—,其他电子Ⅲ,36.7,78.23,78.71,5.4,0.59,158.15,-0.7,-18.78,13.74,14.68
31,002729.SZ,好利科技,2014-09-19,—,—,其他电子Ⅲ,19.03,94.87,83.71,6.34,0.15,34.82,14.35,57.59,16.75,37.17
32,301563.SZ,云汉芯城,2025-10-15,—,—,其他电子Ⅲ,160.68,118.53,91.6,8.72,,104.63,46.74,40.65,20.68,17.82
33,301328.SZ,维峰电子,2022-09-16,—,—,其他电子Ⅲ,52.15,67.06,57.87,2.95,0.96,57.31,19.95,16.52,33.49,40.19
