序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002440.SZ,闰土股份,2010-07-14,—,—,纺织化学制品,12.01,63.23,46.94,1.42,1.22,134.99,49.1,43.15,2.25,0.65
2,002054.SZ,德美化工,2008-06-03,—,—,纺织化学制品,9.14,72.25,49.32,1.74,0.75,44.07,53.68,16.97,-0.88,-1.45
3,300798.SZ,锦鸡股份,2019-11-29,—,—,纺织化学制品,9.08,753.18,,2.53,0.11,42.57,-272.46,-149.76,23.49,27.8
4,300107.SZ,建新股份,2021-12-13,—,—,纺织化学制品,7.36,213.89,355.6,2.75,0.22,41.42,-56.36,-54.98,-23.35,-25.98
5,603172.SH,万丰股份,2023-05-17,—,—,纺织化学制品,25.22,87.76,60.1,3.09,0.36,33.64,89.99,91.69,10.57,17.32
6,301618.SZ,长联科技,2024-10-14,—,—,纺织化学制品,51.66,66.55,97.68,4.99,0.65,46.61,-39.78,-45.05,-2.7,-8.22
7,600352.SH,浙江龙盛,2008-06-03,—,—,纺织化学制品,14.08,22.56,22.09,1.34,3.2,458.07,3.23,2.84,-8.85,-6.46
8,300067.SZ,安诺其,2010-04-29,—,—,纺织化学制品,5.07,,,2.34,0.2,58.53,-400.98,-263.8,3.78,7.63
9,603790.SH,雅运股份,2018-09-19,—,—,纺织化学制品,20.94,70.37,69.93,3.18,0.57,40.07,0.56,4.02,-3.34,0.62
10,603188.SH,亚邦股份,2014-09-16,—,—,纺织化学制品,5.23,,,3.89,,29.82,243.05,-76.5,3.87,9.08
11,605566.SH,福莱蒽特,2021-11-01,—,—,纺织化学制品,30.4,184.1,132.41,2.03,0.33,40.54,24.92,24.78,-22.17,-24.36
12,301585.SZ,蓝宇股份,2024-12-27,—,—,纺织化学制品,32.4,33.53,51.13,3.49,0.95,33.7,-42.15,-49.13,-6.1,-10.57
13,603980.SH,吉华集团,2017-06-22,—,—,纺织化学制品,,,,,,,-88.74,-96.55,-8.87,-7.51
