序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600057.SH,厦门象屿,2011-08-30,—,—,原材料供应链服务,8.15,16.32,10.71,1.44,4.21,231.51,83.57,32.48,6.44,0.23
2,603329.SH,上海雅仕,2018-01-08,—,—,原材料供应链服务,11.61,68.36,80.91,2.06,0.16,29.03,-20.31,42.56,-15.54,56.76
3,600180.SH,瑞茂通,1999-12-30,—,—,原材料供应链服务,3.66,59.72,247.83,0.51,0.95,39.77,-40.34,-64.7,-28.97,-34.16
4,605050.SH,福然德,2020-10-09,—,—,原材料供应链服务,13.18,20.51,18.15,1.53,2.64,64.95,20.38,30.53,5.0,2.25
5,600755.SH,厦门国贸,1999-12-30,—,—,原材料供应链服务,6.81,23.27,29.66,0.75,4.0,145.57,-18.94,-37.62,-16.06,-22.31
6,600603.SH,广汇物流,2025-08-13,—,—,原材料供应链服务,6.62,15.52,19.49,1.08,,79.0,-24.55,-1.32,-20.09,-20.95
7,600704.SH,物产中大,1999-12-30,—,—,原材料供应链服务,5.69,9.56,7.75,0.73,5.45,294.24,30.87,29.65,-2.03,-1.92
8,600753.SH,*ST海钦,1999-12-30,—,—,原材料供应链服务,8.57,,,88.76,,19.74,135.64,120.41,188.11,50.38
9,002485.SZ,ST雪发,2025-08-13,—,—,原材料供应链服务,4.39,,,2.03,,23.88,-25.47,-9.93,-9.43,-7.77
10,600153.SH,建发股份,1999-12-30,—,—,原材料供应链服务,9.7,9.55,13.81,0.51,3.14,281.26,-44.19,-29.87,-0.63,-1.16
11,000626.SZ,远大控股,1999-12-30,—,—,原材料供应链服务,7.68,,,1.64,,38.91,142.3,172.02,-4.68,-6.93
12,000906.SZ,浙商中拓,1999-12-30,—,—,原材料供应链服务,6.21,11.95,22.38,0.93,3.22,44.07,-47.51,-36.99,15.9,8.51
13,001202.SZ,炬申股份,2021-05-11,—,—,原材料供应链服务,17.98,36.74,40.96,3.58,,29.97,-12.42,3.18,82.46,49.12
