序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002309.SZ,中利集团,2024-12-25,—,—,线缆部件及其他,3.07,,,4.96,,92.34,69.09,73.2,-25.35,-33.59
2,603618.SH,杭电股份,2015-03-03,—,—,线缆部件及其他,12.46,62.48,,3.18,0.48,86.15,-281.19,-46.27,6.89,16.77
3,002533.SZ,金杯电工,2014-02-21,—,—,线缆部件及其他,13.75,17.75,16.65,2.34,1.8,100.92,8.73,7.46,15.92,17.5
4,603577.SH,汇金通,2016-12-29,—,—,线缆部件及其他,10.83,23.74,27.8,1.89,0.8,36.73,-21.55,11.87,-10.31,-2.68
5,002882.SZ,金龙羽,2017-07-24,—,—,线缆部件及其他,31.3,96.69,114.22,6.4,0.96,135.5,-17.0,-20.19,41.34,32.98
6,002879.SZ,长缆科技,2017-07-14,—,—,线缆部件及其他,21.35,55.21,78.51,2.34,0.9,41.23,-39.86,-30.99,32.21,44.09
7,000720.SZ,新能泰山,2022-08-01,—,—,线缆部件及其他,3.69,,,1.97,,46.37,90.78,115.31,30.38,38.66
8,002953.SZ,日丰股份,2019-05-16,—,—,线缆部件及其他,12.54,38.37,35.48,2.84,0.74,61.64,10.4,27.33,14.93,13.22
9,605196.SH,华通线缆,2021-05-18,—,—,线缆部件及其他,40.91,65.47,69.96,6.33,0.15,209.05,-7.38,-29.3,13.3,12.95
10,300265.SZ,通光线缆,2014-02-21,—,—,线缆部件及其他,16.03,159.92,277.44,3.21,0.24,74.96,-38.19,-59.49,0.29,7.01
11,301082.SZ,久盛电气,2021-11-03,—,—,线缆部件及其他,18.6,,,4.07,0.54,42.09,61.1,-28.18,32.89,35.95
12,600577.SH,精达股份,2019-07-08,—,—,线缆部件及其他,13.67,52.31,49.24,4.91,0.59,293.8,8.42,6.03,10.5,14.28
13,002276.SZ,万马股份,2014-02-21,—,—,线缆部件及其他,16.79,49.76,34.08,2.79,0.3,169.76,61.57,21.8,8.36,8.58
14,001208.SZ,华菱线缆,2021-07-01,—,—,线缆部件及其他,23.03,134.81,127.88,5.08,0.23,147.01,6.85,4.74,8.68,12.35
15,002606.SZ,大连电瓷,2014-02-21,—,—,线缆部件及其他,11.6,24.13,29.79,2.8,0.26,50.93,-25.82,-41.07,5.98,2.16
16,600067.SH,冠城新材,2024-08-09,—,—,线缆部件及其他,4.25,,,1.05,5.07,59.15,214.84,172.54,33.85,4.94
17,002471.SZ,中超控股,2014-02-21,—,—,线缆部件及其他,9.53,,,7.48,,130.44,-266.4,132.95,-2.21,10.28
18,603606.SH,东方电缆,2014-10-22,—,—,线缆部件及其他,55.7,38.0,38.69,5.0,0.81,383.06,-1.95,-26.57,11.93,8.95
19,002498.SZ,汉缆股份,2014-02-21,—,—,线缆部件及其他,5.67,28.79,34.47,2.19,0.71,188.63,-18.55,-24.61,9.68,5.93
20,001382.SZ,新亚电缆,2025-03-28,—,—,线缆部件及其他,20.62,62.99,69.79,5.34,1.21,84.95,-14.56,-0.42,10.05,28.98
21,600869.SH,远东股份,2014-02-21,—,—,线缆部件及其他,13.03,,,6.79,,289.18,268.86,210.6,10.91,14.38
22,601700.SH,风范股份,2014-02-21,—,—,线缆部件及其他,5.54,69.32,231.62,2.48,0.35,63.28,-74.93,-89.05,-20.93,-29.4
23,605222.SH,起帆电缆,2020-08-07,—,—,线缆部件及其他,20.34,61.98,56.46,1.8,0.2,83.98,6.3,-12.56,-1.28,-1.19
24,603530.SH,神马电力,2019-08-12,—,—,线缆部件及其他,46.63,64.78,54.09,12.33,0.98,201.29,28.49,13.6,29.91,27.74
25,002300.SZ,太阳电缆,2014-02-21,—,—,线缆部件及其他,9.32,74.05,83.48,3.56,1.18,67.32,-10.77,-4.56,-12.33,-9.32
26,600973.SH,宝胜股份,2014-02-21,—,—,线缆部件及其他,7.1,,,2.72,,97.37,138.08,256.54,6.22,12.53
27,300069.SZ,金利华电,2014-02-21,—,—,线缆部件及其他,18.77,68.48,94.56,7.78,,21.96,-54.94,10.72,-13.63,8.59
28,002451.SZ,摩恩电气,2014-02-21,—,—,线缆部件及其他,10.29,253.72,344.25,5.85,0.1,45.34,-40.0,-39.53,28.02,39.32
29,603897.SH,长城科技,2018-04-17,—,—,线缆部件及其他,26.03,22.76,20.5,2.23,6.92,53.74,13.8,18.86,-0.68,-0.56
30,688226.SH,威腾电气,2023-09-25,—,—,线缆部件及其他,37.85,75.32,,4.25,0.4,71.45,-87.47,-79.07,-5.4,-6.48
31,603333.SH,尚纬股份,2014-02-21,—,—,线缆部件及其他,7.98,303.48,,2.4,0.12,49.6,-235.22,-1131.88,-21.12,-24.79
32,002560.SZ,通达股份,2014-02-21,—,—,线缆部件及其他,10.24,211.18,63.0,2.01,,53.84,83.29,68.24,40.78,37.28
33,002692.SZ,远程股份,2014-02-21,—,—,线缆部件及其他,5.48,56.05,57.69,3.24,0.37,39.35,-3.88,-1.67,0.89,18.46
34,301439.SZ,泓淋电力,2023-03-24,—,—,线缆部件及其他,16.18,32.04,31.31,2.13,1.24,62.96,3.32,-8.62,16.69,23.75
35,300933.SZ,中辰股份,2021-01-29,—,—,线缆部件及其他,8.74,125.43,223.61,2.23,0.29,47.82,-35.09,-43.5,-2.86,6.98
