序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600418.SH,江淮汽车,2021-12-13,—,—,商用载货车,53.6,,,11.79,,1170.63,-329.43,-356.89,-4.14,-9.1
2,600166.SH,福田汽车,1998-06-02,—,—,商用载货车,3.16,310.63,32.88,1.63,,250.19,157.45,87.57,27.09,26.71
3,000951.SZ,中国重汽,2005-07-01,—,—,商用载货车,19.3,15.32,14.21,1.49,3.71,226.75,12.45,8.1,20.55,7.22
4,301039.SZ,中集车辆,2021-07-15,—,—,商用载货车,10.06,17.37,21.81,1.3,2.78,188.54,-26.23,-28.48,-5.13,-8.85
5,000800.SZ,一汽解放,2021-12-13,—,—,商用载货车,6.98,55.19,54.45,1.3,0.72,343.51,-12.21,-96.12,-3.12,-23.0
6,600375.SH,汉马科技,2024-12-27,—,—,商用载货车,6.03,61.48,16.96,2.89,,96.67,110.92,118.18,44.54,50.03
7,600006.SH,东风股份,1999-07-27,—,—,商用载货车,6.92,474.59,56.41,1.65,0.07,138.4,188.57,48.66,-12.13,-13.22
8,000550.SZ,江铃汽车,1993-12-01,—,—,商用载货车,17.95,10.08,13.04,1.32,3.97,154.95,-35.76,-18.17,-1.59,0.96
