序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,000985.SZ,大庆华科,2000-08-02,—,—,其他石化,21.21,185.85,,4.47,0.31,27.5,-57.52,12.98,-4.88,-0.85
2,002986.SZ,宇新股份,2020-06-09,—,—,其他石化,12.08,14.95,,1.2,2.51,45.92,-124.42,-89.24,-6.12,-7.62
3,300055.SZ,万邦达,2024-07-31,—,—,其他石化,7.4,174.1,111.64,1.2,0.2,61.92,390.47,0.07,-5.56,-5.64
4,000637.SZ,茂化实华,1999-12-30,—,—,其他石化,4.68,,,4.39,,24.33,18.15,12.15,-19.24,-22.83
5,000819.SZ,岳阳兴长,1999-12-30,—,—,其他石化,16.32,95.53,,2.84,0.61,60.3,-143.88,-155.58,-9.7,-19.17
6,002408.SZ,齐翔腾达,2010-05-25,—,—,其他石化,5.65,507.02,,1.41,0.53,160.62,-174.19,-83.34,-0.77,-4.09
7,300839.SZ,博汇股份,2020-07-07,—,—,其他石化,12.27,,,4.81,,36.19,59.85,43.8,34.24,-1.73
8,002476.SZ,宝莫股份,2010-09-27,—,—,其他石化,6.3,68.37,54.39,4.02,0.16,38.56,62.06,129.3,17.29,26.16
9,002221.SZ,东华能源,2008-03-13,—,—,其他石化,8.18,29.04,33.24,1.16,,128.93,-42.64,-39.8,-1.79,13.28
10,002377.SZ,国创高新,2024-07-31,—,—,其他石化,3.44,,,7.12,,31.52,42.99,101.28,42.32,35.8
11,601233.SH,桐昆股份,2011-05-25,—,—,其他石化,20.88,41.7,28.74,1.32,0.48,501.17,53.83,2.93,-11.38,-8.41
12,603798.SH,康普顿,2016-04-13,—,—,其他石化,15.77,74.01,77.95,3.5,0.69,40.44,-4.79,16.91,-10.85,-4.95
13,600800.SH,渤海化学,1999-12-30,—,—,其他石化,4.47,,,4.18,,49.62,-7.85,-13.68,-16.82,-21.73
14,300135.SZ,宝利国际,2010-11-02,—,—,其他石化,4.03,166.53,714.39,3.93,0.25,37.14,-245.22,-170.28,-36.42,-54.61
