序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,601021.SH,春秋航空,2015-01-28,—,—,航空运输,59.44,25.58,29.01,3.27,2.09,581.52,-10.32,-14.11,4.98,4.35
2,600029.SH,南方航空,2003-07-25,—,—,航空运输,8.25,,,4.04,,1494.98,17.4,-24.84,2.23,1.77
3,600221.SH,海航控股,2021-12-08,—,—,航空运输,1.74,,,13.97,,751.95,30.93,108.95,3.3,4.22
4,603885.SH,吉祥航空,2015-06-03,—,—,航空运输,15.4,36.79,45.9,3.42,0.64,336.34,-14.28,3.29,-0.06,1.02
5,601111.SH,中国国航,2006-08-31,—,—,航空运输,9.08,,585.09,3.42,,1584.32,37.31,35.11,1.31,1.56
6,000099.SZ,中信海直,2000-07-31,—,—,航空运输,20.05,51.3,44.06,2.87,0.94,155.54,25.53,15.86,9.05,7.9
7,002928.SZ,华夏航空,2018-03-09,—,—,航空运输,11.82,56.38,25.99,3.79,,151.09,102.17,858.95,11.25,12.41
8,600115.SH,中国东航,1997-11-05,—,—,航空运输,6.37,,,8.77,,1406.99,1623.91,48.3,3.73,4.09
