序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600802.SH,福建水泥,1999-12-30,—,—,水泥制造,6.47,,,2.68,,29.65,95.49,119.7,-0.42,8.26
2,000877.SZ,天山股份,1999-12-30,—,—,水泥制造,5.25,,18.96,0.46,,373.3,68.5,72.99,-10.64,-9.4
3,600449.SH,宁夏建材,2003-09-05,—,—,水泥制造,13.31,26.36,21.8,0.86,1.58,63.65,29.62,101.24,-40.27,-40.56
4,000672.SZ,上峰水泥,2013-05-02,—,—,水泥制造,14.94,23.08,19.28,1.63,4.15,144.83,30.56,44.53,-5.69,-5.02
5,002233.SZ,塔牌集团,2008-05-23,—,—,水泥制造,10.02,22.21,16.04,1.0,4.42,119.47,54.23,92.47,-0.49,4.05
6,600425.SH,青松建化,2003-07-31,—,—,水泥制造,4.59,20.83,28.2,1.13,2.18,73.66,-22.81,-48.98,-11.44,-14.03
7,600668.SH,尖峰集团,2022-08-01,—,—,水泥制造,11.06,42.29,6.65,0.79,0.75,45.67,820.76,1196.93,-5.05,-4.42
8,000789.SZ,万年青,1999-12-30,—,—,水泥制造,5.66,342.74,330.03,0.7,2.52,45.13,7.27,2601.49,-17.18,-14.56
9,601992.SH,金隅集团,2011-03-08,—,—,水泥制造,2.1,,,0.55,2.38,224.23,-226.44,-85.4,-9.8,0.01
10,600326.SH,西藏天路,2001-02-06,—,—,水泥制造,10.65,,,3.6,,145.1,134.26,-66.21,18.02,19.88
11,600585.SH,海螺水泥,2002-02-28,—,—,水泥制造,25.2,17.35,15.17,0.7,3.77,1335.42,21.28,31.34,-10.06,-9.38
12,600678.SH,四川金顶,1999-12-30,—,—,水泥制造,12.6,,231.02,15.6,,43.97,620.08,335.66,84.41,84.75
13,600801.SH,华新建材,1999-12-30,—,—,水泥制造,23.98,20.63,15.19,1.62,3.33,498.54,76.01,51.05,1.27,-1.17
14,000401.SZ,金隅冀东,1999-12-30,—,—,水泥制造,5.3,,,0.52,1.89,140.89,113.6,80.94,0.1,4.82
