序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,000895.SZ,双汇发展,2011-10-10,—,—,肉制品,26.69,18.54,17.98,4.57,5.25,924.72,4.05,1.17,1.19,2.97
2,002840.SZ,华统股份,2017-01-17,—,—,肉制品,9.78,107.41,86.56,1.95,,78.45,32.93,163.98,-6.13,1.89
3,002726.SZ,龙大美食,2014-07-03,—,—,肉制品,4.11,,,4.11,,44.35,-422.95,-39.52,-4.85,-1.38
4,002330.SZ,得利斯,2011-10-10,—,—,肉制品,5.26,,,1.46,,33.42,-18.5,-27.24,14.95,17.04
5,600073.SH,光明肉业,2019-07-08,—,—,肉制品,6.52,28.3,2244.14,1.22,1.07,61.14,-55.94,-30.52,2.87,4.03
6,000529.SZ,广弘控股,2023-05-18,—,—,肉制品,6.24,29.91,35.08,1.15,1.92,36.43,-21.09,3.94,-10.27,-6.3
7,002515.SZ,金字火腿,2011-10-10,—,—,肉制品,5.94,115.66,132.34,2.75,0.51,71.91,-26.25,-25.11,-13.97,-14.73
