序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002059.SZ,云南旅游,2021-12-13,—,—,人工景区,5.4,,,4.26,,54.67,-196.83,-110.85,-58.72,-61.22
2,600593.SH,大连圣亚,2002-07-11,—,—,人工景区,40.72,,,21.98,,53.12,-37.27,-229.45,0.38,-7.43
3,600706.SH,曲江文旅,2021-12-13,—,—,人工景区,11.01,,113.88,4.42,,28.08,86.26,92.58,-30.68,-30.95
4,600138.SH,中青旅,2021-12-13,—,—,人工景区,10.17,45.88,87.75,1.16,0.69,73.61,-21.06,-7.88,13.89,11.84
5,300144.SZ,宋城演艺,2010-12-17,—,—,人工景区,9.11,22.8,30.09,2.86,2.19,239.11,-25.22,-27.4,-8.98,-8.3
