序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600469.SH,风神股份,2003-10-28,—,—,轮胎轮毂,7.39,19.19,23.56,1.53,0.54,53.91,-18.91,-55.38,13.58,11.71
2,002085.SZ,万丰奥威,2006-12-05,—,—,轮胎轮毂,15.68,50.96,40.66,4.51,1.28,332.93,29.38,25.73,0.4,1.66
3,601058.SH,赛轮轮胎,2011-07-07,—,—,轮胎轮毂,16.62,13.45,14.81,2.59,2.29,546.48,-11.47,-14.9,16.76,16.05
4,601500.SH,通用股份,2016-09-26,—,—,轮胎轮毂,4.69,19.94,71.57,1.21,,74.54,-71.01,-77.56,24.59,30.39
5,603049.SH,中策橡胶,2025-06-12,—,—,轮胎轮毂,55.69,12.86,11.92,2.02,2.33,487.0,9.3,-8.56,14.98,18.02
6,002488.SZ,金固股份,2010-10-28,—,—,轮胎轮毂,13.22,567.67,400.98,3.75,0.08,131.6,29.77,45.36,6.91,10.04
7,001233.SZ,海安集团,2025-12-04,—,—,轮胎轮毂,77.63,21.26,22.57,3.16,2.58,144.37,-7.88,13.84,-4.77,0.83
8,002984.SZ,森麒麟,2020-09-18,—,—,轮胎轮毂,21.2,10.05,14.88,1.66,2.78,219.63,-41.17,-37.64,1.54,0.24
9,301539.SZ,宏鑫科技,2024-04-22,—,—,轮胎轮毂,21.04,62.12,50.95,3.82,0.48,31.14,33.66,57.11,4.08,6.63
10,601163.SH,三角轮胎,2016-09-20,—,—,轮胎轮毂,15.56,11.29,13.81,0.91,3.41,124.48,-22.77,-35.31,-3.83,-4.5
11,601966.SH,玲珑轮胎,2016-07-13,—,—,轮胎轮毂,15.35,12.82,18.6,0.98,1.69,224.65,-31.81,-7.66,13.87,13.8
12,300695.SZ,兆丰股份,2017-09-15,—,—,轮胎轮毂,76.93,56.32,22.43,2.76,0.19,78.67,230.34,7.18,5.17,5.88
13,300428.SZ,立中集团,2015-03-26,—,—,轮胎轮毂,22.5,21.81,18.38,1.79,1.39,154.26,26.77,4.97,18.34,15.41
14,600182.SH,S佳通,1999-12-30,—,—,轮胎轮毂,14.92,29.11,36.33,4.91,5.83,50.73,-22.17,-36.79,4.75,4.77
15,603335.SH,迪生力,2017-06-27,—,—,轮胎轮毂,6.11,,,12.09,,26.16,44.22,-110.2,-11.34,-13.06
16,002725.SZ,跃岭股份,2014-02-12,—,—,轮胎轮毂,14.87,80.66,51.9,3.7,,38.07,410.47,194.12,-4.87,-12.81
17,000589.SZ,贵州轮胎,1999-12-30,—,—,轮胎轮毂,5.12,12.93,15.76,0.9,3.31,79.6,-19.72,-41.75,1.44,0.36
18,000599.SZ,青岛双星,1999-12-30,—,—,轮胎轮毂,7.42,,,4.61,,60.6,-44.0,-226.4,5.12,-0.31
19,002863.SZ,今飞凯达,2017-04-25,—,—,轮胎轮毂,6.01,53.78,45.62,1.27,0.28,36.03,19.78,3.71,20.09,18.46
20,300652.SZ,雷迪克,2017-05-23,—,—,轮胎轮毂,50.5,56.06,40.87,4.45,0.23,67.36,48.02,50.04,56.52,54.04
21,002355.SZ,兴民智通,2010-02-23,—,—,轮胎轮毂,7.48,28.04,,4.09,,50.0,-234.26,-3219.23,19.06,3.48
