行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
851922.SI,金融控股,多元金融,9,25.17,23.62,1.11,1.42
851927.SI,资产管理,多元金融,4,57.24,45.81,2.85,0.37
852311.SI,综合Ⅲ,综合Ⅱ,15,87.2,57.55,2.85,0.58
857111.SI,水泥制造,水泥,14,19.39,15.68,0.87,3.36
857112.SI,水泥制品,水泥,7,88.24,41.53,1.75,1.51
857121.SI,玻璃制造,玻璃玻纤,7,59.56,40.01,1.57,0.72
857122.SI,玻纤制造,玻璃玻纤,8,61.32,39.11,3.8,1.2
850615.SI,耐火材料,装修建材,6,28.59,39.14,2.15,1.88
850616.SI,管材,装修建材,7,21.27,25.14,2.2,3.32
850614.SI,其他建材,装修建材,17,20.6,24.39,1.93,1.94
850623.SI,房屋建设Ⅲ,房屋建设Ⅱ,8,5.57,5.97,0.51,4.25
857221.SI,装修装饰Ⅲ,装修装饰Ⅱ,23,23.65,24.06,1.27,2.85
857236.SI,基建市政工程,基础建设,24,7.1,7.7,0.61,3.22
857251.SI,园林工程,基础建设,21,262.33,158.62,5.0,0.2
857241.SI,钢结构,专业工程,9,35.05,36.23,1.67,1.15
857242.SI,化学工程,专业工程,7,11.69,11.1,1.05,2.04
857243.SI,国际工程,专业工程,4,12.22,13.23,1.2,3.02
857244.SI,其他专业工程,专业工程,19,24.65,37.51,1.65,1.13
857261.SI,工程咨询服务Ⅲ,工程咨询服务Ⅱ,41,27.24,30.23,2.16,1.35
850741.SI,电机Ⅲ,电机Ⅱ,25,65.34,57.54,4.27,0.7
857334.SI,火电设备,其他电源设备Ⅱ,3,30.58,38.5,2.56,0.75
857336.SI,其他电源设备Ⅲ,其他电源设备Ⅱ,24,69.59,62.45,4.03,0.53
857352.SI,光伏电池组件,光伏设备,21,23.42,27.0,2.71,1.71
857354.SI,光伏辅材,光伏设备,17,39.71,76.5,2.76,0.99
857355.SI,光伏加工设备,光伏设备,10,35.38,46.16,5.58,0.68
857362.SI,风电零部件,风电设备,24,61.95,36.4,2.65,0.51
857371.SI,锂电池,电池,26,33.87,26.9,4.37,1.65
857372.SI,电池化学品,电池,42,59.02,52.42,3.01,0.66
857373.SI,锂电专用设备,电池,17,100.67,82.57,5.57,0.29
857375.SI,蓄电池及其他电池,电池,9,27.75,28.28,2.16,1.19
857381.SI,输变电设备,电网设备,26,50.35,40.02,3.85,0.73
857382.SI,配电设备,电网设备,25,23.73,21.34,2.15,2.43
857321.SI,电网自动化设备,电网设备,25,32.78,30.72,4.09,1.63
857323.SI,电工仪器仪表,电网设备,12,22.31,21.37,2.76,1.87
857344.SI,线缆部件及其他,电网设备,35,47.45,47.27,3.59,0.84
850711.SI,机床工具,通用设备,18,57.63,55.04,3.8,0.91
850713.SI,磨具磨料,通用设备,12,79.25,98.67,3.67,0.74
850715.SI,制冷空调设备,通用设备,17,36.54,41.59,3.31,1.39
850716.SI,其他通用设备,通用设备,46,39.56,37.71,3.67,0.91
850731.SI,仪器仪表,通用设备,53,57.26,54.86,4.1,0.79
850751.SI,金属制品,通用设备,71,58.05,55.37,4.06,0.82
850725.SI,能源及重型设备,专用设备,54,29.77,28.04,2.49,1.64
850728.SI,楼宇设备,专用设备,14,25.93,29.35,2.01,2.28
850721.SI,纺织服装设备,专用设备,12,29.89,31.8,3.02,1.38
850726.SI,印刷包装机械,专用设备,10,60.44,42.25,3.18,0.54
850727.SI,其他专用设备,专用设备,79,57.44,50.99,5.32,0.74
850936.SI,轨交设备Ⅲ,轨交设备Ⅱ,31,19.55,17.35,1.39,3.17
850771.SI,工程机械整机,工程机械,19,24.67,20.97,2.2,2.29
850772.SI,工程机械器件,工程机械,9,66.18,58.36,7.66,0.78
850781.SI,机器人,自动化设备,17,87.41,88.3,5.56,0.69
850782.SI,工控设备,自动化设备,27,53.14,48.65,5.06,0.68
850783.SI,激光设备,自动化设备,10,52.88,53.53,4.74,0.39
850784.SI,其他自动化设备,自动化设备,24,75.48,65.3,4.63,0.53
857411.SI,航天装备Ⅲ,航天装备Ⅱ,8,319.48,572.7,8.55,0.1
857421.SI,航空装备Ⅲ,航空装备Ⅱ,46,73.38,84.74,4.18,0.53
