序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,003031.SZ,中瓷电子,2021-01-11,—,—,通信终端及配件,74.93,62.69,55.11,5.37,0.56,337.97,20.07,30.92,13.62,14.37
2,002313.SZ,日海智能,2009-12-10,—,—,通信终端及配件,9.76,,,273.12,,36.54,31.01,-14.4,-13.22,-18.51
3,600198.SH,大唐电信,2022-08-01,—,—,通信终端及配件,9.64,450.53,182.48,45.83,,125.67,45.25,-31.31,22.63,-3.32
4,002017.SZ,东信和平,2004-07-20,—,—,通信终端及配件,22.63,69.2,71.65,7.43,0.72,131.35,-5.45,1.48,-9.77,-11.24
5,600775.SH,南京熊猫,1999-12-30,—,—,通信终端及配件,14.36,,,4.34,,131.23,9.31,33.16,-14.67,-16.61
6,300628.SZ,亿联网络,2017-04-13,—,—,通信终端及配件,36.77,17.59,18.33,5.37,4.88,465.78,-5.16,-8.84,4.59,-0.64
7,603118.SH,共进股份,2015-03-04,—,—,通信终端及配件,11.5,,,1.8,,90.54,529.94,449.23,8.15,4.05
8,300590.SZ,移为通信,2017-01-18,—,—,通信终端及配件,12.38,35.9,65.98,3.12,1.77,56.94,-53.99,-68.57,-16.06,-24.62
9,688100.SH,威胜信息,2023-09-25,—,—,通信终端及配件,40.22,31.36,28.98,5.92,1.9,197.76,12.24,12.24,8.8,11.88
10,688592.SH,司南导航,2024-03-26,—,—,通信终端及配件,50.0,,,4.35,0.18,40.23,-189.27,-218.32,22.16,41.82
11,300615.SZ,欣天科技,2017-02-22,—,—,通信终端及配件,13.98,,195.63,5.07,0.36,27.01,181.9,148.82,96.2,104.99
12,300638.SZ,广和通,2017-04-20,—,—,通信终端及配件,28.75,38.71,77.82,4.1,1.22,258.54,-51.5,-34.66,-13.69,-9.02
13,003040.SZ,楚天龙,2021-03-29,—,—,通信终端及配件,17.99,384.87,1412.87,5.92,0.17,82.96,-55.45,-213.07,-1.52,-4.83
14,600355.SH,*ST精伦,2002-06-20,—,—,通信终端及配件,1.53,,,7.14,,7.53,7.57,-1.66,120.09,23.45
15,300504.SZ,天邑股份,2018-04-10,—,—,通信终端及配件,14.86,,,1.9,,40.27,-243.57,-224.95,-32.16,-36.45
16,301191.SZ,菲菱科思,2022-06-02,—,—,通信终端及配件,104.76,61.83,121.42,4.37,0.95,72.64,-55.26,-71.32,-1.81,-12.39
17,300205.SZ,*ST天喻,2011-04-28,—,—,通信终端及配件,4.39,,,1.92,,18.88,-10.1,-126.52,-83.15,-85.63
18,300627.SZ,华测导航,2021-12-13,—,—,通信终端及配件,37.88,51.09,43.43,7.43,0.94,298.07,26.41,29.94,15.47,23.54
19,300555.SZ,ST路通,2016-10-25,—,—,通信终端及配件,14.3,,,6.02,,28.6,1.25,4.18,-26.68,-25.88
20,300689.SZ,澄天伟业,2017-08-16,—,—,通信终端及配件,55.4,553.39,271.54,9.27,,64.04,2925.45,562.05,24.48,32.91
21,603083.SH,剑桥科技,2017-11-17,—,—,通信终端及配件,102.5,216.86,131.81,4.77,0.25,361.47,70.88,51.12,21.57,15.48
22,002104.SZ,恒宝股份,2007-01-17,—,—,通信终端及配件,18.1,134.93,313.36,5.99,0.44,128.21,-59.19,-44.41,-9.99,-8.64
23,603803.SH,瑞斯康达,2017-04-27,—,—,通信终端及配件,10.07,,,2.72,,42.79,27.61,-13.02,-17.88,-25.99
24,600734.SH,实达集团,2022-02-17,—,—,通信终端及配件,4.41,1699.12,,30.95,,96.06,-339.62,-208.15,111.97,217.87
25,688027.SH,国盾量子,2023-09-25,—,—,通信终端及配件,669.01,,,21.42,,688.15,51.98,32.69,90.27,74.54
26,688159.SH,有方科技,2023-09-25,—,—,通信终端及配件,47.92,44.41,50.37,4.69,0.21,44.52,-12.44,-22.1,18.14,39.06
27,002881.SZ,美格智能,2024-07-31,—,—,通信终端及配件,46.01,88.83,76.52,7.3,0.28,120.43,23.88,151.38,29.3,44.5
28,603236.SH,移远通信,2019-07-23,—,—,通信终端及配件,87.15,42.64,25.99,3.72,1.01,250.84,105.65,125.03,34.96,39.98
