序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002060.SZ,广东建工,2022-08-01,—,—,电能综合服务,3.79,12.18,13.15,1.03,3.69,142.29,-13.35,-23.44,5.29,10.64
2,600310.SH,广西能源,2001-03-07,—,—,电能综合服务,3.91,90.98,,1.88,0.77,57.31,-82.6,-719.96,-9.69,-14.75
3,000883.SZ,湖北能源,1999-12-30,—,—,电能综合服务,4.58,17.87,17.1,0.87,2.0,324.24,-5.07,-32.91,-12.24,-13.52
4,600979.SH,广安爱众,2004-09-13,—,—,电能综合服务,4.59,24.57,39.44,1.25,1.24,57.91,-37.0,-35.67,-7.01,-0.32
5,000875.SZ,电投绿能,2002-10-11,—,—,电能综合服务,6.88,22.7,53.28,1.44,0.83,249.56,-44.63,-33.72,-4.42,-4.63
6,600101.SH,明星电力,1999-12-30,—,—,电能综合服务,10.02,26.23,29.85,1.78,1.2,54.9,-20.43,-13.08,9.17,13.73
7,003035.SZ,南网能源,2021-01-26,—,—,电能综合服务,6.97,,199.82,3.8,0.1,264.02,125.08,4.48,15.37,21.13
8,600644.SH,乐山电力,1999-12-30,—,—,电能综合服务,10.92,279.78,269.86,3.05,,63.15,6.22,-14.55,3.27,1.94
9,600483.SH,福能股份,2004-06-07,—,—,电能综合服务,9.18,9.14,8.48,0.97,4.17,255.22,12.17,12.48,-4.29,-4.44
10,600969.SH,郴电国际,2004-04-15,—,—,电能综合服务,11.85,,,1.2,,43.85,33.93,29.55,-7.16,1.26
11,600995.SH,南网储能,2004-06-22,—,—,电能综合服务,13.37,37.93,28.21,1.91,0.89,427.31,37.13,32.93,17.72,13.38
12,600452.SH,涪陵电力,2004-03-10,—,—,电能综合服务,11.53,34.44,45.4,3.24,0.78,177.16,-29.58,-14.95,-5.43,-3.86
13,300040.SZ,九洲集团,2024-07-31,—,—,电能综合服务,6.72,,,1.67,0.84,43.24,-41.09,-46.54,-2.75,-7.6
14,600116.SH,三峡水利,1999-12-30,—,—,电能综合服务,6.7,41.37,46.25,1.13,0.59,128.11,-8.53,-79.07,-6.06,-6.1
15,600505.SH,西昌电力,2002-06-06,—,—,电能综合服务,13.73,603.5,318.76,4.1,0.15,50.06,149.66,112.7,9.04,7.26
