序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,601598.SH,中国外运,2019-01-25,—,—,跨境物流,5.87,10.75,11.16,1.1,4.94,421.1,-5.17,0.08,-12.62,-10.42
2,601156.SH,东航物流,2021-06-17,—,—,跨境物流,18.58,10.98,11.25,1.55,1.55,294.97,-3.19,0.9,-2.4,-0.26
3,001391.SZ,国货航,2025-01-07,—,—,跨境物流,5.98,37.38,27.2,2.8,1.09,730.09,66.21,86.15,16.92,21.92
4,001228.SZ,永泰运,2022-05-11,—,—,跨境物流,30.52,36.11,34.16,1.89,1.88,31.7,5.55,-12.6,33.76,21.14
5,603128.SH,华贸物流,2012-06-05,—,—,跨境物流,5.94,14.43,20.84,1.28,2.93,77.76,-35.07,-24.87,-4.84,2.0
6,603535.SH,嘉诚国际,2017-08-15,—,—,跨境物流,9.99,24.94,27.24,1.94,0.61,51.04,-10.41,0.29,-3.4,3.93
7,603871.SH,嘉友国际,2018-02-13,—,—,跨境物流,13.89,14.89,17.9,3.46,3.5,190.02,-19.72,-26.15,0.4,-11.99
8,603117.SH,万林物流,2015-07-06,—,—,跨境物流,5.39,236.56,462.47,3.14,,32.3,-32.13,-38.96,-14.78,-15.55
9,600119.SH,长江投资,2006-01-05,—,—,跨境物流,6.93,,,21.21,,25.31,47.85,36.24,-67.35,-74.63
10,603836.SH,海程邦达,2021-06-02,—,—,跨境物流,14.49,36.06,87.64,1.68,1.02,29.74,-59.15,-74.85,-13.74,-6.4
11,603967.SH,中创物流,2019-05-09,—,—,跨境物流,12.86,17.64,17.23,1.91,4.67,44.58,3.05,6.9,-27.84,-22.58
