序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,000688.SZ,国城矿业,2014-02-21,—,—,铅锌,26.09,,108.17,7.56,,309.18,765.89,1111.34,24.6,39.74
2,600961.SH,株冶集团,2014-02-21,—,—,铅锌,19.93,27.19,20.12,5.84,,213.82,47.51,57.83,11.54,14.89
3,000426.SZ,兴业银锡,2014-02-21,—,—,铅锌,50.02,58.06,55.72,9.7,0.14,888.17,4.94,-9.93,24.36,12.5
4,600338.SH,西藏珠峰,2014-02-21,—,—,铅锌,17.44,69.44,35.67,3.66,0.32,159.44,99.13,135.08,46.08,53.53
5,603132.SH,金徽股份,2022-03-01,—,—,铅锌,16.08,32.97,33.25,4.99,2.61,157.26,0.36,19.62,7.01,10.5
6,000751.SZ,锌业股份,2014-08-07,—,—,铅锌,5.55,421.29,130.99,2.49,,89.67,1110.26,99.07,19.19,23.92
7,000060.SZ,中金岭南,2014-02-21,—,—,铅锌,6.87,28.2,27.16,1.61,1.07,305.11,5.18,3.12,11.79,1.54
8,600497.SH,驰宏锌锗,2014-02-21,—,—,铅锌,8.69,33.88,38.33,2.64,1.85,438.01,-10.18,3.27,17.24,7.67
9,600531.SH,豫光金铅,2014-02-21,—,—,铅锌,16.54,24.78,22.89,3.08,1.23,200.01,11.99,15.12,20.12,18.93
10,601020.SH,华钰矿业,2022-08-01,—,—,铅锌,30.74,99.5,27.95,5.89,0.13,252.06,423.89,66.79,57.6,35.47
11,000603.SZ,盛达资源,2014-02-21,—,—,铅锌,48.33,85.5,64.94,10.13,0.21,333.46,61.97,-15.03,18.29,6.34
12,000758.SZ,中色股份,2014-02-21,—,—,铅锌,7.35,36.36,26.77,2.45,0.63,146.3,42.84,40.0,-0.21,6.9
13,002114.SZ,罗平锌电,2014-02-21,—,—,铅锌,9.34,,,3.57,,30.21,-36.75,-3964.0,-1.71,-25.97
