序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002211.SZ,ST宏达,2008-02-15,—,—,有机硅,3.45,,,109.97,,14.92,41.0,37.1,47.36,87.39
2,603281.SH,江瀚新材,2023-02-07,—,—,有机硅,31.32,19.42,25.03,2.49,3.16,116.93,-29.5,-32.6,-16.38,-19.53
3,300727.SZ,润禾材料,2017-12-04,—,—,有机硅,33.84,63.34,50.12,4.69,0.68,60.96,36.34,38.61,3.56,4.16
4,603260.SH,合盛硅业,2022-08-01,—,—,有机硅,48.57,32.99,,1.79,0.92,574.2,-122.1,-140.6,-25.35,-26.34
5,300041.SZ,回天新材,2010-01-15,—,—,有机硅,11.91,65.42,43.08,2.3,1.26,66.63,32.38,4.18,8.49,7.72
6,300019.SZ,硅宝科技,2009-11-06,—,—,有机硅,21.17,35.04,29.61,3.07,1.42,83.22,44.63,51.56,24.3,47.36
7,605399.SH,晨光新材,2020-08-11,—,—,有机硅,14.74,111.26,,2.15,0.68,46.02,-173.67,-110.23,-9.06,-10.39
8,002909.SZ,集泰股份,2017-11-02,—,—,有机硅,7.26,146.86,5260.48,3.15,1.36,28.31,-129.87,-245.98,-12.57,-10.7
9,300821.SZ,东岳硅材,2020-03-19,—,—,有机硅,11.88,251.16,,2.91,0.13,142.56,-96.78,-35.3,-24.76,-14.98
10,603155.SH,新亚强,2020-09-08,—,—,有机硅,16.77,46.31,56.24,2.44,3.28,52.96,-20.39,-27.75,-19.05,-18.58
