序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,688556.SH,高测股份,2023-09-25,—,—,光伏加工设备,14.2,,,3.02,0.83,117.97,-139.76,-132.47,-29.17,-45.16
2,000821.SZ,ST京机,2022-08-01,—,—,光伏加工设备,15.32,22.25,34.01,2.23,0.46,95.42,-34.23,-23.71,-18.29,-8.59
3,300776.SZ,帝尔激光,2019-05-24,—,—,光伏加工设备,83.4,43.31,35.69,6.08,0.47,228.52,29.39,38.37,23.69,29.2
4,603396.SH,金辰股份,2017-10-25,—,—,光伏加工设备,48.15,104.71,145.18,2.58,0.31,66.7,-26.01,-25.94,3.11,6.64
5,688516.SH,奥特维,2023-09-25,—,—,光伏加工设备,108.98,27.0,69.1,9.45,1.93,343.65,-66.2,-59.54,-32.67,-23.57
6,300724.SZ,捷佳伟创,2018-08-17,—,—,光伏加工设备,129.4,16.31,13.14,3.36,0.92,450.69,32.9,49.26,6.17,26.41
7,300751.SZ,迈为股份,2018-11-16,—,—,光伏加工设备,294.21,88.78,98.97,10.46,0.37,822.04,-12.56,-14.59,-20.13,-13.48
8,688147.SH,微导纳米,2023-09-25,—,—,光伏加工设备,71.73,145.91,101.95,11.45,0.06,330.79,64.83,348.95,11.48,33.42
9,300316.SZ,晶盛机电,2012-05-18,—,—,光伏加工设备,56.08,29.26,162.86,4.21,0.71,734.39,-69.56,-69.52,-42.86,-42.85
10,688726.SH,拉普拉斯,2024-11-05,—,—,光伏加工设备,66.66,37.05,36.45,6.72,0.56,270.19,2.07,12.94,0.43,20.49
