序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,603890.SH,春秋电子,2017-12-19,—,—,消费电子零部件及组装,14.71,31.74,22.25,2.12,0.96,67.07,63.91,248.44,7.21,2.62
2,002055.SZ,ST得润,2006-08-01,—,—,消费电子零部件及组装,6.13,,,2.59,,37.06,157.68,154.98,-15.7,-21.0
3,300735.SZ,光弘科技,2018-01-08,—,—,消费电子零部件及组装,24.7,68.76,58.17,3.84,1.01,189.56,33.73,0.46,20.81,0.17
4,603380.SH,易德龙,2017-06-29,—,—,消费电子零部件及组装,37.01,32.25,26.83,3.88,2.7,59.38,26.8,31.06,11.03,15.64
5,300793.SZ,佳禾智能,2019-10-25,—,—,消费电子零部件及组装,15.73,144.85,,2.0,0.75,59.86,-60.03,-38.12,-15.91,-10.82
6,300812.SZ,易天股份,2022-08-01,—,—,消费电子零部件及组装,29.95,,,5.35,,41.95,348.82,189.19,12.71,92.41
7,301285.SZ,鸿日达,2022-10-12,—,—,消费电子零部件及组装,69.92,,,14.18,0.07,144.5,-163.25,-144.42,7.61,12.41
8,688678.SH,福立旺,2023-09-25,—,—,消费电子零部件及组装,21.49,108.96,255.45,2.83,0.44,59.41,-47.99,-138.73,52.87,27.45
9,300976.SZ,达瑞电子,2021-04-26,—,—,消费电子零部件及组装,59.84,33.2,27.61,2.27,1.29,80.25,26.84,25.32,28.59,28.04
10,300787.SZ,海能实业,2019-09-06,—,—,消费电子零部件及组装,12.68,51.82,34.99,2.64,1.31,39.74,72.3,131.96,55.1,60.48
11,301067.SZ,显盈科技,2021-09-29,—,—,消费电子零部件及组装,34.48,416.11,2517.19,4.04,0.14,33.53,-119.64,266.48,-11.64,0.34
12,688260.SH,昀冢科技,2023-09-25,—,—,消费电子零部件及组装,29.18,,,28.41,,35.02,-82.94,-262.76,-3.46,-17.66
13,300956.SZ,英力股份,2021-04-02,—,—,消费电子零部件及组装,17.43,365.7,270.57,2.73,0.48,37.55,58.57,23.06,29.61,39.62
14,603327.SH,福蓉科技,2019-05-30,—,—,消费电子零部件及组装,10.11,66.19,106.82,4.42,1.81,105.7,-42.69,-60.3,10.23,13.13
15,002925.SZ,盈趣科技,2018-01-22,—,—,消费电子零部件及组装,20.14,61.79,60.34,3.4,1.47,155.41,3.52,1.66,13.51,15.54
16,301329.SZ,信音电子,2023-07-24,—,—,消费电子零部件及组装,24.51,59.8,59.43,2.69,1.53,41.72,0.88,-10.98,11.57,11.62
17,603626.SH,科森科技,2017-02-16,—,—,消费电子零部件及组装,22.03,,,5.73,,122.24,50.94,34.51,-6.45,-9.13
18,300256.SZ,星星科技,2022-09-01,—,—,消费电子零部件及组装,3.95,,,9.66,,89.6,95.57,87.01,41.32,39.12
19,300686.SZ,智动力,2017-08-11,—,—,消费电子零部件及组装,15.33,,,4.24,,39.95,19.96,31.55,6.03,7.62
20,300647.SZ,超频三,2017-05-10,—,—,消费电子零部件及组装,6.79,,,5.42,,31.05,104.67,163.01,16.6,18.47
21,002861.SZ,瀛通通讯,2017-04-20,—,—,消费电子零部件及组装,19.38,268.33,342.54,3.28,0.52,36.1,-8.9,-33.91,5.75,9.81
22,002993.SZ,奥海科技,2020-08-24,—,—,消费电子零部件及组装,47.5,28.21,25.07,2.74,3.12,131.12,19.32,1.27,14.14,7.77
23,300322.SZ,硕贝德,2012-06-15,—,—,消费电子零部件及组装,26.07,,,12.03,,119.93,1290.66,981.11,50.25,48.5
24,300709.SZ,精研科技,2017-10-26,—,—,消费电子零部件及组装,38.68,60.14,42.14,3.14,0.28,71.97,51.33,36.37,43.86,41.19
25,603629.SH,利通电子,2019-01-02,—,—,消费电子零部件及组装,43.16,460.03,60.28,5.96,0.3,113.24,309.76,21.78,65.18,70.67
26,601138.SH,工业富联,2018-06-15,—,—,消费电子零部件及组装,53.88,46.09,35.01,6.9,1.8,10699.6,48.52,38.61,38.4,35.58
27,301491.SZ,汉桑科技,2025-08-13,—,—,消费电子零部件及组装,56.8,28.89,33.55,3.5,,73.27,-18.4,-15.75,9.53,4.77
28,002866.SZ,传艺科技,2017-05-04,—,—,消费电子零部件及组装,19.32,,,2.69,,55.94,49.45,28.31,13.03,13.33
29,605277.SH,新亚电子,2021-01-13,—,—,消费电子零部件及组装,24.47,51.79,37.68,4.91,0.61,79.28,56.63,31.83,15.89,19.57
30,002660.SZ,茂硕电源,2012-03-23,—,—,消费电子零部件及组装,9.47,50.05,,2.81,1.06,33.77,-252.32,-168.17,2.95,9.97
31,002241.SZ,歌尔股份,2008-05-29,—,—,消费电子零部件及组装,26.44,35.18,32.25,2.66,1.11,937.47,10.33,15.65,-2.21,-7.01
32,301123.SZ,奕东电子,2022-02-08,—,—,消费电子零部件及组装,57.61,,,4.71,0.17,135.18,68.39,-74.52,34.99,27.77
33,300602.SZ,飞荣达,2017-02-09,—,—,消费电子零部件及组装,32.32,99.56,50.65,4.74,0.12,188.06,119.36,118.54,29.95,27.42
34,002855.SZ,捷荣技术,2017-03-28,—,—,消费电子零部件及组装,16.18,,,12.19,,39.87,-60.11,-55.52,29.04,45.96
