序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,603001.SH,奥康国际,2012-05-07,—,—,鞋帽及其他,9.87,,,1.66,1.52,39.58,-54.02,-364.28,-21.65,-21.39
2,300577.SZ,开润股份,2021-12-13,—,—,鞋帽及其他,21.09,13.28,14.96,2.36,1.64,50.58,-13.38,-24.77,22.95,32.53
3,603116.SH,红蜻蜓,2015-07-06,—,—,鞋帽及其他,6.58,,,1.45,3.73,37.91,-316.41,-204.62,-9.84,-11.76
4,603307.SH,扬州金泉,2023-02-23,—,—,鞋帽及其他,42.11,19.94,23.76,2.05,2.37,28.67,-21.18,-28.85,6.86,13.42
5,300591.SZ,万里马,2017-01-17,—,—,鞋帽及其他,8.91,,,14.23,,36.15,-1.02,-39.64,-15.68,-17.18
6,603958.SH,哈森股份,2016-07-06,—,—,鞋帽及其他,20.19,,,6.43,,44.29,55.41,85.57,86.36,67.03
7,603908.SH,牧高笛,2021-12-13,—,—,鞋帽及其他,25.27,28.1,84.1,4.42,2.58,23.53,-60.35,-40.35,-24.21,-27.45
8,603608.SH,天创时尚,2016-02-25,—,—,鞋帽及其他,10.36,,,4.11,,43.48,83.01,171.21,-7.12,-9.79
9,603665.SH,康隆达,2021-12-13,—,—,鞋帽及其他,37.8,,,8.55,,60.9,307.75,323.61,7.11,3.63
10,300952.SZ,恒辉安防,2021-12-13,—,—,鞋帽及其他,46.66,69.1,77.1,4.75,0.46,80.53,-12.85,11.82,0.97,15.43
11,603557.SH,ST起步,2017-08-25,—,—,鞋帽及其他,3.16,,,25.16,,19.7,-46.33,-20.13,-35.22,-33.53
