序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,603590.SH,康辰药业,2018-09-03,—,—,其他生物制品,41.45,156.12,115.39,2.07,1.45,65.91,13.19,14.95,7.1,13.79
2,300009.SZ,安科生物,2009-11-06,—,—,其他生物制品,9.94,23.5,24.84,3.99,1.51,166.13,-6.48,-11.92,2.15,-0.51
3,300357.SZ,我武生物,2014-01-28,—,—,其他生物制品,27.74,45.7,37.2,5.62,0.79,145.24,26.67,18.61,16.86,12.81
4,688177.SH,百奥泰,2023-09-25,—,—,其他生物制品,23.74,,,20.3,,98.3,38.72,47.25,17.57,9.84
5,688687.SH,凯因科技,2023-09-25,—,—,其他生物制品,21.86,26.25,27.31,2.08,1.34,37.37,-5.14,11.75,-8.29,-5.05
6,688278.SH,特宝生物,2023-09-25,—,—,其他生物制品,69.77,34.41,30.31,9.3,0.89,284.79,20.21,40.6,26.85,26.96
7,600211.SH,西藏药业,2023-07-06,—,—,其他生物制品,42.17,12.93,13.85,3.83,3.82,135.92,-8.85,-8.96,-3.96,2.23
8,688137.SH,近岸蛋白,2023-09-25,—,—,其他生物制品,43.28,,,1.46,,30.37,-58.06,-172.0,21.48,20.85
9,600867.SH,通化东宝,1999-12-30,—,—,其他生物制品,8.99,,14.36,2.47,2.76,176.07,1911.35,194.48,50.55,85.6
10,300485.SZ,赛升药业,2015-07-03,—,—,其他生物制品,10.98,,65.13,1.55,,52.89,152.81,145.45,-4.41,-8.4
11,688443.SH,智翔金泰-U,2023-09-25,—,—,其他生物制品,27.92,,,5.73,,102.38,39.12,20.07,1562.05,358429.65
12,000661.SZ,长春高新,1999-12-30,—,—,其他生物制品,91.15,14.4,38.77,1.62,2.81,371.84,-58.23,-42.85,-5.6,-0.54
13,000518.SZ,*ST四环,1999-12-30,—,—,其他生物制品,2.67,,,7.66,,27.49,13.13,8.67,88.71,71.91
14,688336.SH,三生国健,2023-09-25,—,—,其他生物制品,58.75,51.54,41.72,6.16,0.21,363.13,71.15,46.96,18.8,7.61
15,301080.SZ,百普赛斯,2022-08-01,—,—,其他生物制品,49.58,66.93,47.98,3.14,0.58,82.89,58.61,47.81,32.26,29.38
16,301166.SZ,优宁维,2022-01-05,—,—,其他生物制品,33.44,285.56,,1.43,0.68,28.98,-207.11,-188.64,-6.24,-8.63
17,688180.SH,君实生物-U,2023-09-25,—,—,其他生物制品,35.09,,,5.8,,360.27,35.72,36.01,42.06,48.64
18,002773.SZ,康弘药业,2024-07-31,—,—,其他生物制品,29.0,22.43,21.37,2.91,2.07,267.18,6.08,5.41,6.23,6.95
19,688105.SH,诺唯赞,2023-09-25,—,—,其他生物制品,20.99,,,2.17,0.71,83.48,-63.57,-80.63,-3.4,-6.63
20,603087.SH,甘李药业,2020-07-06,—,—,其他生物制品,66.1,64.23,42.65,3.5,1.51,394.82,61.32,101.96,35.73,57.18
21,688520.SH,神州细胞,2023-09-25,—,—,其他生物制品,39.73,158.04,,,,176.93,-267.17,-126.87,-32.27,-25.5
22,300239.SZ,东宝生物,2011-07-13,—,—,其他生物制品,6.15,42.46,53.56,2.16,0.4,36.51,-26.89,-28.0,-15.84,-16.93
23,301393.SZ,昊帆生物,2023-07-19,—,—,其他生物制品,54.0,43.51,42.58,2.5,0.73,58.32,3.01,15.31,32.47,20.1
24,688331.SH,荣昌生物,2023-09-25,—,—,其他生物制品,100.2,,,24.02,,565.61,48.6,42.4,42.27,48.02
25,688136.SH,科兴制药,2023-09-25,—,—,其他生物制品,30.34,193.96,48.63,3.56,0.26,61.06,547.7,576.45,10.54,-7.82
26,688293.SH,奥浦迈,2023-09-25,—,—,其他生物制品,52.42,283.41,137.98,2.83,0.82,59.66,81.48,55.55,25.79,23.77
27,688163.SH,赛伦生物,2023-09-25,—,—,其他生物制品,26.18,63.97,62.2,2.52,1.22,28.33,2.01,2.07,1.07,2.82
28,002581.SZ,ST未名,2011-05-27,—,—,其他生物制品,7.38,,,2.6,,48.69,-570.46,-127.26,-32.62,-66.42
29,301047.SZ,义翘神州,2022-08-01,—,—,其他生物制品,73.7,73.52,67.51,1.7,6.78,89.65,10.94,-4.59,10.0,6.15
30,688488.SH,艾迪药业,2023-09-25,—,—,其他生物制品,17.23,,,7.41,,72.5,88.78,120.23,84.83,100.19
31,000534.SZ,万泽股份,1999-12-30,—,—,其他生物制品,29.86,78.94,67.96,9.72,0.16,152.15,22.45,21.84,21.0,24.4
