序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600824.SH,益民集团,2021-12-13,—,—,多业态零售,4.73,141.12,266.56,2.07,0.38,49.86,-46.39,-43.09,-28.74,-29.03
2,600697.SH,欧亚集团,2014-02-21,—,—,多业态零售,14.13,,,0.98,0.71,22.48,0.66,0.66,-2.0,0.32
3,603101.SH,汇嘉时代,2023-07-06,—,—,多业态零售,9.88,79.63,52.49,3.28,0.5,46.48,60.05,62.64,1.18,2.29
4,600858.SH,银座股份,2014-02-21,—,—,多业态零售,7.06,54.27,94.64,1.36,0.54,36.72,-24.67,-8.33,-2.31,-0.87
5,600785.SH,新华百货,2014-02-21,—,—,多业态零售,24.4,40.8,41.24,2.42,1.43,55.05,-1.29,-2.52,-1.11,-0.99
6,600827.SH,百联股份,2014-02-21,—,—,多业态零售,9.23,10.51,67.83,0.83,2.87,164.68,-81.78,14.06,-11.86,-12.63
7,601010.SH,文峰股份,2021-12-13,—,—,多业态零售,2.7,31.36,46.76,1.17,3.77,49.9,-75.5,-48.19,-14.58,-14.34
8,002356.SZ,赫美集团,2022-01-05,—,—,多业态零售,4.0,,131.27,8.44,,52.45,262.26,53.93,190.21,375.31
9,000419.SZ,通程控股,2014-02-21,—,—,多业态零售,6.72,24.31,28.43,1.04,2.23,36.53,-14.89,-26.86,5.68,16.2
10,000417.SZ,合百集团,2023-07-06,—,—,多业态零售,8.65,35.4,43.78,1.43,1.27,67.46,-17.48,-9.93,-4.33,0.02
11,600778.SH,友好集团,2014-02-21,—,—,多业态零售,8.38,821.86,426.37,11.35,,26.1,26.33,52.93,-9.79,-8.54
12,600729.SH,重庆百货,2014-02-21,—,—,多业态零售,24.89,8.34,10.74,1.4,6.11,109.63,7.38,8.74,-10.56,-10.45
13,601366.SH,利群股份,2017-04-19,—,—,多业态零售,5.07,173.68,312.05,1.17,0.36,47.31,-46.79,-65.94,-4.83,-3.08
14,600838.SH,上海九百,2014-02-21,—,—,多业态零售,12.81,122.18,119.89,3.26,0.25,51.35,2.91,0.24,-3.81,-1.09
15,600694.SH,大商股份,2014-02-21,—,—,多业态零售,18.55,10.9,12.77,0.73,4.95,63.88,-16.22,-13.57,-8.63,-6.89
