序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600419.SH,天润乳业,2018-07-16,—,—,乳品,10.12,73.13,296.32,1.34,0.21,31.93,-147.66,21.68,-3.81,-3.3
2,300898.SZ,熊猫乳品,2020-10-23,—,—,乳品,29.53,35.72,38.1,3.74,2.03,36.62,-8.17,-12.76,3.0,-2.16
3,605388.SH,均瑶健康,2021-12-13,—,—,乳品,7.11,,,2.49,1.1,42.69,-104.79,-78.52,-6.95,1.38
4,600597.SH,光明乳业,2011-10-10,—,—,乳品,8.04,15.35,16.0,1.17,1.99,110.83,-25.05,-22.53,-0.99,-1.9
5,600882.SH,妙可蓝多,2017-07-03,—,—,乳品,23.17,104.01,57.78,2.56,,118.18,106.88,86.27,10.09,7.98
6,002329.SZ,皇氏集团,2011-10-10,—,—,乳品,3.87,,,3.6,,32.21,-236.02,-549.66,-12.97,-13.07
7,002570.SZ,贝因美,2011-10-10,—,—,乳品,6.17,64.74,48.48,3.87,,66.64,48.07,43.68,-2.59,-4.37
8,300106.SZ,西部牧业,2021-12-13,—,—,乳品,11.65,,,6.38,,24.62,11.85,-26.48,-5.01,-12.45
9,002946.SZ,新乳业,2019-02-01,—,—,乳品,19.75,31.61,24.75,4.83,1.62,169.98,31.48,33.76,3.49,3.01
10,600887.SH,伊利股份,2011-10-10,—,—,乳品,27.21,20.36,21.49,3.23,6.25,1721.13,-4.07,-4.39,1.81,3.49
11,002732.SZ,燕塘乳业,2014-12-12,—,—,乳品,17.91,27.42,37.61,1.87,0.84,28.18,-34.32,-37.91,-9.55,-10.26
12,600429.SH,三元股份,2011-10-10,—,—,乳品,5.4,147.98,43.28,1.55,0.22,81.11,124.84,43.33,-10.06,-13.77
13,300892.SZ,品渥食品,2022-08-01,—,—,乳品,32.62,466.77,131.17,3.11,0.3,32.62,312.18,181.65,-7.69,-8.69
14,605179.SH,一鸣食品,2021-01-05,—,—,乳品,20.73,287.2,216.22,7.38,0.19,83.13,25.74,21.73,4.26,2.12
15,002910.SZ,庄园牧场,2017-11-07,—,—,乳品,12.84,,,2.41,,25.11,59.08,68.5,-3.1,-1.31
16,001318.SZ,阳光乳业,2022-05-27,—,—,乳品,15.43,38.07,37.44,3.02,1.17,43.61,2.24,8.27,-7.62,-7.03
17,300915.SZ,海融科技,2021-12-13,—,—,乳品,25.72,29.21,415.49,2.1,1.11,32.37,-117.72,-95.42,-4.59,-1.33
18,605300.SH,佳禾食品,2021-12-13,—,—,乳品,11.8,63.88,196.53,1.87,0.5,53.62,-68.54,-82.1,5.27,10.43
