序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,688616.SH,西力科技,2023-09-25,—,—,电工仪器仪表,13.33,23.05,25.14,2.81,2.21,23.91,-11.48,8.85,-14.19,-8.43
2,002980.SZ,华盛昌,2021-12-13,—,—,电工仪器仪表,22.26,30.46,45.12,3.91,2.33,42.16,-40.94,-32.28,-5.49,4.91
3,300360.SZ,炬华科技,2014-02-21,—,—,电工仪器仪表,17.24,13.34,14.71,2.18,4.06,88.65,-11.45,1.0,-19.14,-12.88
4,002121.SZ,科陆电子,2014-02-21,—,—,电工仪器仪表,8.4,,,18.84,,139.51,251.1,579.14,23.42,34.66
5,300514.SZ,友讯达,2017-05-04,—,—,电工仪器仪表,14.15,14.28,24.81,2.68,2.12,28.3,-52.81,-38.25,-29.01,-25.34
6,002857.SZ,三晖电气,2021-12-13,—,—,电工仪器仪表,23.03,166.22,279.24,5.77,0.06,30.09,-34.39,-4.37,79.31,41.64
7,300882.SZ,万胜智能,2020-09-17,—,—,电工仪器仪表,21.89,52.68,35.76,4.78,0.23,62.65,52.18,12.96,36.4,16.35
8,300880.SZ,迦南智能,2020-09-08,—,—,电工仪器仪表,19.08,19.28,41.84,3.55,2.36,37.23,-60.39,-44.48,-34.92,-26.79
9,002546.SZ,新联电子,2014-02-21,—,—,电工仪器仪表,8.82,27.59,10.52,1.96,1.36,73.56,421.43,555.38,-0.37,9.93
10,603556.SH,海兴电力,2021-12-13,—,—,电工仪器仪表,37.06,17.98,19.11,2.44,1.87,180.21,-7.48,-25.74,-1.19,-14.67
11,688597.SH,煜邦电力,2023-09-25,—,—,电工仪器仪表,9.32,28.13,34.92,3.74,1.09,31.32,-37.3,-37.91,6.9,0.35
12,300286.SZ,安科瑞,2014-02-21,—,—,电工仪器仪表,27.04,39.93,33.31,3.03,1.47,67.81,21.31,24.83,2.6,1.54
