序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002090.SZ,金智科技,2014-02-21,—,—,电网自动化设备,12.24,67.85,59.67,3.21,0.53,49.03,27.09,11.32,-5.35,-7.58
2,688681.SH,科汇股份,2023-09-25,—,—,电网自动化设备,19.48,66.86,40.51,3.38,0.51,20.39,128.04,170.15,24.95,22.73
3,300510.SZ,金冠股份,2021-12-13,—,—,电网自动化设备,4.39,,,1.63,,36.2,-323.73,-148.21,-11.3,-5.39
4,300407.SZ,凯发电气,2014-12-10,—,—,电网自动化设备,13.34,45.47,44.3,2.22,0.74,42.69,3.73,-53.88,26.97,24.11
5,688330.SH,宏力达,2023-09-25,—,—,电网自动化设备,44.09,27.71,28.22,1.59,0.76,61.73,-2.68,2.56,-31.96,-16.58
6,688248.SH,南网科技,2023-09-25,—,—,电网自动化设备,50.12,77.53,76.06,9.06,0.53,283.03,2.52,-5.38,-0.51,-9.66
7,601126.SH,四方股份,2014-02-21,—,—,电网自动化设备,36.42,42.41,37.44,6.42,1.98,303.45,15.57,12.41,20.39,15.62
8,688611.SH,杭州柯林,2023-09-25,—,—,电网自动化设备,59.86,125.71,222.83,10.56,0.24,91.82,-98.14,-44.31,-47.48,-51.49
9,000682.SZ,东方电子,2014-02-21,—,—,电网自动化设备,12.92,25.33,22.86,3.15,0.63,173.22,17.53,19.65,11.53,12.18
10,688663.SH,新风光,2023-09-25,—,—,电网自动化设备,54.16,43.95,55.47,5.6,1.09,76.62,-33.55,-23.7,-6.62,6.57
11,300853.SZ,申昊科技,2022-08-01,—,—,电网自动化设备,21.32,,,5.14,,31.33,-8.79,-3.24,89.44,91.79
12,001388.SZ,信通电子,2025-07-08,—,—,电网自动化设备,44.26,48.36,50.16,4.95,1.36,69.05,-6.78,5.83,4.05,10.85
13,002169.SZ,智光电气,2021-12-13,—,—,电网自动化设备,12.99,,,3.85,0.62,101.67,63.67,38.88,32.03,31.71
14,300018.SZ,中元股份,2014-02-21,—,—,电网自动化设备,11.72,73.9,46.23,4.11,0.59,56.88,69.27,78.63,18.65,17.56
15,600406.SH,国电南瑞,2014-02-21,—,—,电网自动化设备,25.24,26.64,25.36,4.12,2.3,2027.22,8.43,8.82,18.45,19.54
16,300427.SZ,红相股份,2015-03-03,—,—,电网自动化设备,14.6,,,5.8,,74.24,219.56,118.87,9.59,-12.29
17,600885.SH,宏发股份,2021-12-13,—,—,电网自动化设备,29.1,27.61,24.59,3.72,1.19,450.35,15.78,14.19,18.82,15.43
18,688191.SH,智洋创新,2023-09-25,—,—,电网自动化设备,,,,,,,24.97,-24.71,11.38,6.55
19,300222.SZ,科大智能,2021-12-13,—,—,电网自动化设备,11.53,128.13,80.57,5.23,,89.74,136.62,214.85,1.13,7.17
20,301609.SZ,山大电力,2025-07-30,—,—,电网自动化设备,47.32,60.86,58.04,6.26,,77.07,7.6,20.57,10.34,13.91
21,002339.SZ,积成电子,2014-02-21,—,—,电网自动化设备,11.6,185.04,126.01,3.39,0.17,58.47,16.28,26.63,23.11,23.75
22,301179.SZ,泽宇智能,2021-12-15,—,—,电网自动化设备,16.91,31.31,47.2,2.82,1.6,68.39,-55.89,-66.27,-16.1,-24.8
23,600268.SH,国电南自,2014-02-21,—,—,电网自动化设备,12.48,37.22,28.4,3.69,1.12,126.78,100.86,197.03,13.89,25.23
24,000400.SZ,许继电气,2014-02-21,—,—,电网自动化设备,29.5,26.9,26.74,2.59,1.32,300.49,0.75,0.96,-1.38,-5.68
25,603050.SH,科林电气,2017-04-21,—,—,电网自动化设备,20.49,46.47,33.56,4.52,0.66,82.64,45.9,13.29,23.63,21.89
