序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002193.SZ,如意集团,2024-07-31,—,—,非运动服装,7.06,,,3.37,,18.48,-65.37,-105.0,-31.27,-32.25
2,002634.SZ,棒杰股份,2024-07-31,—,—,非运动服装,6.27,,,,,28.8,-373.2,-5.5,-56.68,-60.45
3,001209.SZ,洪兴股份,2021-07-30,—,—,非运动服装,22.99,37.67,118.13,2.35,0.85,30.24,-76.05,-81.7,6.13,8.09
4,002875.SZ,安奈儿,2017-06-08,—,—,非运动服装,17.46,,,5.79,,37.19,19.32,4.59,-18.41,-23.47
5,002569.SZ,*ST步森,2011-04-19,—,—,非运动服装,13.9,,,69.38,,20.02,56.15,-66.92,-12.49,-25.19
6,301276.SZ,嘉曼服饰,2022-09-19,—,—,非运动服装,29.25,22.14,28.11,1.82,2.05,37.91,-34.99,-30.65,3.09,3.51
7,300901.SZ,中胤时尚,2020-11-05,—,—,非运动服装,19.02,,,4.71,,45.65,50.1,83.85,-8.48,-7.04
8,003016.SZ,欣贺股份,2020-11-02,—,—,非运动服装,9.21,,,1.45,,38.73,135.47,214.92,3.65,0.78
9,600400.SH,红豆股份,2001-01-15,—,—,非运动服装,2.38,,,2.34,,54.53,-6741.62,-346.53,-23.87,-19.73
10,603877.SH,太平鸟,2017-01-16,—,—,非运动服装,15.94,29.05,41.97,1.75,2.51,75.09,-73.79,-54.61,-7.15,-7.86
11,002154.SZ,报喜鸟,2007-08-23,—,—,非运动服装,4.1,12.09,18.95,1.32,1.22,59.83,-43.18,-42.66,-1.59,-3.58
12,002563.SZ,森马服饰,2011-03-18,—,—,非运动服装,5.68,13.45,16.65,1.38,8.8,153.02,-28.9,-41.17,4.74,3.26
13,002269.SZ,美邦服饰,2008-09-04,—,—,非运动服装,1.87,,,25.0,,46.98,-233.12,-87.07,-37.31,-45.23
14,600177.SH,雅戈尔,1999-12-30,—,—,非运动服装,7.41,12.38,13.15,0.81,6.19,342.6,-6.48,-8.04,-19.32,-10.5
15,601566.SH,九牧王,2011-06-07,—,—,非运动服装,13.1,42.72,21.43,1.85,2.29,75.28,129.63,248.54,-6.02,-5.02
16,301088.SZ,戎美股份,2021-11-04,—,—,非运动服装,16.9,36.1,45.82,1.55,3.38,38.52,-34.34,-19.33,-9.99,-13.91
17,002762.SZ,*ST金比,2015-06-17,—,—,非运动服装,6.88,46.71,,3.16,0.73,24.36,-693.46,-550.84,89.91,101.99
18,600630.SH,龙头股份,1999-12-30,—,—,非运动服装,9.12,96.89,122.51,5.03,0.42,38.75,-22.15,-47.04,3.9,-3.41
19,300840.SZ,酷特智能,2020-07-15,—,—,非运动服装,19.14,51.83,,3.59,0.52,45.94,-73.53,-70.17,-5.83,-4.51
20,600137.SH,浪莎股份,2024-07-31,—,—,非运动服装,21.67,90.02,76.7,3.88,0.86,21.07,26.15,22.7,1.08,-4.41
21,603839.SH,安正时尚,2017-02-21,—,—,非运动服装,8.13,,,1.75,1.22,31.63,64.91,282.36,11.71,12.38
22,002763.SZ,汇洁股份,2024-07-31,—,—,非运动服装,8.22,42.63,43.07,1.81,5.47,33.7,-0.66,-10.84,2.4,1.37
23,603518.SH,锦泓集团,2014-12-10,—,—,非运动服装,10.11,11.4,13.49,0.96,3.08,34.92,-29.4,-23.03,-3.03,-4.04
24,002494.SZ,华斯股份,2010-11-09,—,—,非运动服装,5.75,97.64,144.24,1.77,,21.7,-259.21,-235.26,-30.09,-39.52
25,002612.SZ,朗姿股份,2011-09-06,—,—,非运动服装,19.4,33.37,8.28,2.52,2.06,85.83,366.95,64.09,0.89,-4.3
26,002832.SZ,比音勒芬,2016-12-30,—,—,非运动服装,15.6,11.4,13.95,1.63,3.33,89.03,-18.7,-13.56,6.71,8.63
27,002687.SZ,乔治白,2012-07-20,—,—,非运动服装,5.17,29.54,44.0,1.75,,26.1,-54.88,-68.09,2.51,1.46
28,603587.SH,地素时尚,2018-06-29,—,—,非运动服装,13.21,20.63,24.04,1.74,3.74,62.63,-15.41,-23.54,-4.23,-5.54
29,600107.SH,ST尔雅,1999-12-30,—,—,非运动服装,6.12,,,4.83,,22.03,26.51,20.46,-33.12,-36.93
30,603808.SH,歌力思,2015-04-29,—,—,非运动服装,10.77,,,1.53,0.46,39.75,427.34,45.27,-6.22,-5.28
31,600398.SH,海澜之家,2001-01-05,—,—,非运动服装,6.36,14.15,14.45,1.7,2.83,305.46,-2.37,-3.42,2.23,1.73
32,605138.SH,盛泰集团,2021-11-03,—,—,非运动服装,7.54,89.8,91.59,1.74,0.71,41.89,-2.29,21.47,-7.09,-6.17
33,603196.SH,日播时尚,2017-06-07,—,—,非运动服装,24.64,,,5.2,,103.16,206.96,239.33,-7.25,-7.92
34,002404.SZ,嘉欣丝绸,2024-07-31,—,—,非运动服装,7.51,26.17,26.12,2.13,3.99,42.06,0.19,0.47,0.78,1.13
35,002029.SZ,七匹狼,2004-08-13,—,—,非运动服装,12.49,30.95,19.49,1.29,0.77,88.06,70.98,-13.93,-7.69,-5.93
36,603511.SH,爱慕股份,2024-07-31,—,—,非运动服装,15.41,38.11,50.52,1.43,2.61,62.26,-28.4,-31.37,-2.06,-2.91
37,601718.SH,际华集团,2010-08-23,—,—,非运动服装,3.35,,,1.19,,146.1,-320.5,-319.75,-37.68,-38.36
38,002656.SZ,*ST摩登,2012-03-06,—,—,非运动服装,2.68,,,4.49,,19.1,-164.83,66.45,200.07,110.41
