序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,300957.SZ,贝泰妮,2021-04-01,—,—,品牌化妆品,47.44,39.95,55.8,3.31,1.26,200.96,-34.45,-49.01,-13.78,-15.43
2,300740.SZ,水羊股份,2018-02-22,—,—,品牌化妆品,23.55,83.53,60.63,4.44,,91.85,44.01,16.54,11.96,9.02
3,600315.SH,上海家化,2001-03-22,—,—,品牌化妆品,22.31,,,2.14,0.17,149.97,149.12,11.66,10.83,4.75
4,603605.SH,珀莱雅,2017-11-22,—,—,品牌化妆品,76.15,19.43,19.1,5.69,2.6,301.54,2.65,13.8,1.89,7.21
5,603630.SH,拉芳家化,2017-03-20,—,—,品牌化妆品,21.33,116.12,,2.51,0.42,48.04,-77.01,-82.89,-6.37,-4.27
6,600223.SH,福瑞达,2024-02-06,—,—,品牌化妆品,7.58,31.64,35.99,1.84,0.79,77.06,-17.19,-15.16,-7.34,-7.05
7,301371.SZ,敷尔佳,2023-08-08,—,—,品牌化妆品,26.12,20.55,28.75,2.43,2.95,135.85,-36.73,-32.54,-11.54,-8.15
8,603983.SH,丸美生物,2019-08-01,—,—,品牌化妆品,33.0,38.74,38.17,4.11,2.27,132.33,2.13,-1.2,25.51,30.49
